PLANTSPECIES,PLANT_RANGE_SIZE
Pentachondra_pumila,36
Peraxilla_colensoi,1
Peraxilla_sp,1
Peraxilla_tetrapetala,2
Phoenix_canariensis,1
Phormium_colensoi,1
Phormium_tenax,6
Phyllocladus_alpinus,51
Phytolacca_octandra,1
Piper_excelsum,8
Pisonia_brunoniana,1
Pittosporum_crassifolium,1
Pittosporum_eugenioides,6
Pittosporum_sp,1
Pittosporum_tenuifolium,10
Plagianthus_regius,1
Planchonella_costata,1
Podocarpus_cunninghamii,45
Podocarpus_nivalis,28
Podocarpus_sp,1
Podocarpus_totara,6
Prumnopitys_ferruginea,68
Prumnopitys_taxifolia,12
Prunus_avium,1
Prunus_cerasifera,1
Prunus_domestica,1
Prunus_laurocerasus,1
Prunus_persica,1
Prunus_sp,1
Pseudopanax_arboreus,13
Pseudopanax_chathamicus,1
Pseudopanax_colensoi_var_colensoi,28
Pseudopanax_colensoi_var_ternatus,28
Pseudopanax_crassifolius,74
Pseudopanax_lessonii,1
Pseudopanax_sp,1
Pseudowintera_axillaris,14
Pseudowintera_colorata,74
Psidium_cattleianum,1
Psidium_guajava,1
Pyrus_communis,1
Raukaua_edgerleyi,4
Raukaua_simplex,90
Rhamnus_alaternus,1
Rhaphiolepis_sp,1
Rhopalostylis_sapida,19
Ribes_sanguineum,1
Ripogonum_scandens,45
Rosa_rubiginosa,17
Rubus_australis,6
Rubus_cissoides,49
Rubus_fruticosus,5
Rubus_sp,1
Rubus_squarrosus,1
Sambucus_nigra,1
Schefflera_digitata,30
Solanum_aviculare,1
Solanum_laciniatum,1
Solanum_mauritianum,1
Solanum_nigrum,1
Solanum_nodiflorum,1
Solanum_pseudocapsicum,1
Sorbus_aucuparia,1
Streblus_heterophyllus,1
Syzygium_australe,1
Syzygium_smithii,1
Taxus_baccata,1
Toronia_toru,1
Trachycarpus_fortunei,1
Tropaeolum_speciosum,1
Tupeia_antarctica,1
Vitex_lucens,1
Vitis_vinifera,1
Weinmannia_racemosa,99
