PLANTSPECIES,SUBSP_OR_VARIETY,FRUIT_LENGTH_mm,FRUIT_DIAMETER_mm,PLANT_MAX_MEAN_VEGETATIVE_HEIGHT_m,FRUIT_SIZE_REFERENCE,PLANT_HEIGHT_REFERENCE_IF_DIFFERENT_FROM_THAT_OF_FRUIT_SIZE,NOTES
Alepis_flavida,,4.7,3.5,30,University of Canterbury herbarium specimen number 20222,NZ Plant Conservation Network ,Fruit 1. Fruit length also available from Eco Traits NZ Flora (fruit length = 4.5mm).
Alepis_flavida,,4,3,30,University of Canterbury herbarium specimen number 20222,NZ Plant Conservation Network ,Fruit 2. Fruit length also available from Eco Traits NZ Flora (fruit length = 4.5mm).
Alepis_flavida,,5.5,3.3,30,University of Canterbury herbarium specimen number 3522,NZ Plant Conservation Network ,Fruit 1. Fruit length also available from Eco Traits NZ Flora (fruit length = 4.5mm).
Alepis_flavida,,4.8,2.7,30,University of Canterbury herbarium specimen number 3522,NZ Plant Conservation Network ,Fruit 2. Fruit length also available from Eco Traits NZ Flora (fruit length = 4.5mm).
Alnus_glutinosa,,13,13,20,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,Fruit is more elongated than oblong. Fruit diameter estimated from length as no diameter data was found.
Alseuosmia_macrophylla,,10,6,2,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Androstoma_empetrifolium,,2.5,1.75,0.2,NZ Plant Conservation Network,,
Arbutus_unedo,,18,18,13.5,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,"Fruit has global/lobed/round shape, i.e. fruit length and diameter are equal."
Archontophoenix_cunninghamiana,,12.5,12.5,14,"R.J. Green ‘Avian seed dispersal in and near subtropical rainforests’, Wildlife Research, 1993, vol20, 535-557; Mengardo  A.L. & Pivello V. R. ‘Phenology and fruit traits of archontophoenix cunninghamiana, an invasive palm tree in the atlantic forest of Brazil’ Ecotropica, 2012, vol18, 45-54; Christianini, A. 2006. Fecundidade, dispersão e predação de sementes de Archontophoenix cunninghamiana H. Wendl. & Drude, uma palmeira invasora da Mata Atlântica. Revista Brasileira de Botânica 29: 587–594.","NZ Botanical Society Newsletter, number 60, June 2000.","Fruit diameter use as fruit length, as fruit is globose. "
Aristotelia_fruticosa,,4,3.5,2,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database – NZ Plant Conservation Network,,
Aristotelia_serrata,,5,4,10,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Ascarina_lucida,,2.3,1.8,8,"C.J. Burrows ‘Germination behaviour of seeds of the New Zealand woody species Ascarina lucida, Coprosma grandifolia, Melicytus lanceolatus, and Solanum Laciniatum’ NZ J Botany. 1996, 34:4, 509-515",,
Asparagus_asparagoides,,8,7,4,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database – Weeds of Australia – Queensland Government,https://keyserver.lucidcentral.org/weeds/data/media/Html/asparagus_asparagoides.htm,
Asparagus_scandens,,8,7,4,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,Plant height estimated from Asparagus_asparagoides height.
Astelia_banksii,,8,6.5,1.25,Flora of NZ Series H. H. Allan,,
