"protocol";"basisOfRecord";"species";"decimalLongitude";"decimalLatitude";"year";"countryCode";"gbifID";"institutionCode"
"DWC_ARCHIVE";"PRESERVED_SPECIMEN";"Actinidia chinensis";175,100867;-39,91291;2016;"NZL";"1314596736";"CHR"
"DWC_ARCHIVE";"PRESERVED_SPECIMEN";"Actinidia chinensis";176,217839;-37,715679;2016;"NZL";"1249259090";"CHR"
"DWC_ARCHIVE";"PRESERVED_SPECIMEN";"Actinidia chinensis";176,217839;-37,715679;2016;"NZL";"1262421175";"CHR"
"DWC_ARCHIVE";"PRESERVED_SPECIMEN";"Actinidia chinensis";175,099698;-39,912931;2010;"NZL";"1091300334";"CHR"
