network;lon;lat;sampling_focus;sampling_hours;coverage;locality;reference
Burrows_1994;173,0;-43,75;plants_frugivores;-;-;Banks Peninsula, NZ;Burrows 1994 NZ Nat Sci 21, 87-108.
MacFarlane_2016;173,36;-42,22;frugivores;-;complete;Kowai Bush, NZ;MacFarlane et al. 2016. NZ J Ecol 40.
