"net_id";"bird.sp";"plant.sp";"interaction"
"NZ02";"Prosthemadera_novaeseelandiae";"Neopanax_arboreus";1
"NZ02";"Prosthemadera_novaeseelandiae";"Schefflera_digitata";1
"NZ02";"Zosterops_lateralis";"Aristotelia_serrata";1
"NZ02";"Zosterops_lateralis";"Coprosma_grandifolia";1
"NZ02";"Zosterops_lateralis";"Coprosma_repens";0
"NZ02";"Zosterops_lateralis";"Coprosma_robusta";1
"NZ02";"Zosterops_lateralis";"Fuchsia_excorticata";1
"NZ02";"Zosterops_lateralis";"Geniostoma_rupestre";1
"NZ02";"Zosterops_lateralis";"Macropiper_excelsum";0
"NZ02";"Zosterops_lateralis";"Melicytus_ramiflorus";1
"NZ02";"Zosterops_lateralis";"Myoporum_laetum";1
"NZ02";"Zosterops_lateralis";"Neopanax_arboreus";1
"NZ02";"Zosterops_lateralis";"Schefflera_digitata";0
"NZ02";"Mohoua_albicilla";"Aristotelia_serrata";0
"NZ02";"Mohoua_albicilla";"Coprosma_grandifolia";1
"NZ02";"Mohoua_albicilla";"Coprosma_repens";0
"NZ02";"Mohoua_albicilla";"Coprosma_robusta";1
"NZ02";"Mohoua_albicilla";"Fuchsia_excorticata";0
"NZ02";"Mohoua_albicilla";"Geniostoma_rupestre";0
"NZ02";"Mohoua_albicilla";"Macropiper_excelsum";0
"NZ02";"Mohoua_albicilla";"Melicytus_ramiflorus";1
"NZ02";"Mohoua_albicilla";"Myoporum_laetum";0
"NZ02";"Mohoua_albicilla";"Neopanax_arboreus";1
"NZ02";"Mohoua_albicilla";"Schefflera_digitata";0
"NZ03";"Turdus_merula";"Coriaria_arborea";0
"NZ03";"Turdus_merula";"Coprosma_grandifolia";1
"NZ03";"Turdus_merula";"Coprosma_robusta";0
"NZ03";"Turdus_merula";"Fuchsia_excorticata";0
"NZ03";"Turdus_merula";"Geniostoma_rupestre";0
"NZ03";"Turdus_merula";"Melicytus_ramiflorus";1
"NZ03";"Turdus_merula";"Muehlenbeckia_australis";0
"NZ03";"Turdus_merula";"Rapanea_australis";1
"NZ03";"Turdus_merula";"Myoporum_laetum";0
"NZ03";"Turdus_merula";"Rubus_fruticosus";1
"NZ03";"Turdus_merula";"Solanum_americanum";1
"NZ03";"Sturnus_vulgaris";"Coriaria_arborea";0
"NZ03";"Sturnus_vulgaris";"Coprosma_grandifolia";1
"NZ03";"Sturnus_vulgaris";"Coprosma_robusta";0
"NZ03";"Sturnus_vulgaris";"Fuchsia_excorticata";0
"NZ03";"Sturnus_vulgaris";"Geniostoma_rupestre";0
"NZ03";"Sturnus_vulgaris";"Melicytus_ramiflorus";1
"NZ03";"Sturnus_vulgaris";"Muehlenbeckia_australis";0
"NZ03";"Sturnus_vulgaris";"Rapanea_australis";1
"NZ03";"Sturnus_vulgaris";"Myoporum_laetum";0
"NZ03";"Sturnus_vulgaris";"Rubus_fruticosus";0
"NZ03";"Sturnus_vulgaris";"Solanum_americanum";0
"NZ03";"Prosthemadera_novaeseelandiae";"Coriaria_arborea";0
"NZ03";"Prosthemadera_novaeseelandiae";"Coprosma_grandifolia";1
"NZ03";"Prosthemadera_novaeseelandiae";"Coprosma_robusta";1
"NZ03";"Prosthemadera_novaeseelandiae";"Fuchsia_excorticata";1
"NZ03";"Prosthemadera_novaeseelandiae";"Geniostoma_rupestre";0
"NZ03";"Prosthemadera_novaeseelandiae";"Melicytus_ramiflorus";1
"NZ03";"Prosthemadera_novaeseelandiae";"Muehlenbeckia_australis";1
"NZ03";"Prosthemadera_novaeseelandiae";"Rapanea_australis";0
"NZ03";"Prosthemadera_novaeseelandiae";"Myoporum_laetum";0
"NZ03";"Prosthemadera_novaeseelandiae";"Rubus_fruticosus";0
"NZ03";"Prosthemadera_novaeseelandiae";"Solanum_americanum";0
"NZ03";"Zosterops_lateralis";"Coriaria_arborea";1
"NZ03";"Zosterops_lateralis";"Coprosma_grandifolia";1
"NZ03";"Zosterops_lateralis";"Coprosma_robusta";0
"NZ03";"Zosterops_lateralis";"Fuchsia_excorticata";0
"NZ03";"Zosterops_lateralis";"Geniostoma_rupestre";1
"NZ03";"Zosterops_lateralis";"Melicytus_ramiflorus";1
"NZ03";"Zosterops_lateralis";"Muehlenbeckia_australis";0
"NZ03";"Zosterops_lateralis";"Rapanea_australis";1
"NZ03";"Zosterops_lateralis";"Myoporum_laetum";1
"NZ03";"Zosterops_lateralis";"Rubus_fruticosus";0
"NZ03";"Zosterops_lateralis";"Solanum_americanum";1
"NZ03";"Mohoua_albicilla";"Coriaria_arborea";0
"NZ03";"Mohoua_albicilla";"Coprosma_grandifolia";1
"NZ03";"Mohoua_albicilla";"Coprosma_robusta";0
"NZ03";"Mohoua_albicilla";"Fuchsia_excorticata";0
"NZ03";"Mohoua_albicilla";"Geniostoma_rupestre";0
"NZ03";"Mohoua_albicilla";"Melicytus_ramiflorus";1
"NZ03";"Mohoua_albicilla";"Muehlenbeckia_australis";0
"NZ03";"Mohoua_albicilla";"Rapanea_australis";0
"NZ03";"Mohoua_albicilla";"Myoporum_laetum";0
"NZ03";"Mohoua_albicilla";"Rubus_fruticosus";0
"NZ03";"Mohoua_albicilla";"Solanum_americanum";0
"NZ04";"Turdus_merula";"Coprosma_grandifolia";0
"NZ04";"Turdus_merula";"Coprosma_repens";0
"NZ04";"Turdus_merula";"Coprosma_robusta";1
"NZ04";"Turdus_merula";"Crataegus_monogyna";1
"NZ04";"Turdus_merula";"Laurus_nobilis";0
"NZ04";"Turdus_merula";"Macropiper_excelsum";1
"NZ04";"Turdus_merula";"Melicytus_ramiflorus";0
"NZ04";"Turdus_merula";"Muehlenbeckia_australis";0
"NZ04";"Turdus_merula";"Myoporum_laetum";1
"NZ04";"Turdus_merula";"Neopanax_arboreus";0
"NZ04";"Turdus_merula";"Rubus_fruticosus";1
"NZ04";"Turdus_merula";"Solanum_americanum";0
"NZ04";"Petroica_australis";"Coprosma_grandifolia";1
"NZ04";"Petroica_australis";"Coprosma_repens";0
"NZ04";"Petroica_australis";"Coprosma_robusta";0
"NZ04";"Petroica_australis";"Crataegus_monogyna";0
"NZ04";"Petroica_australis";"Laurus_nobilis";0
"NZ04";"Petroica_australis";"Macropiper_excelsum";0
"NZ04";"Petroica_australis";"Melicytus_ramiflorus";0
"NZ04";"Petroica_australis";"Muehlenbeckia_australis";0
"NZ04";"Petroica_australis";"Myoporum_laetum";0
"NZ04";"Petroica_australis";"Neopanax_arboreus";0
"NZ04";"Petroica_australis";"Rubus_fruticosus";0
"NZ04";"Petroica_australis";"Solanum_americanum";0
"NZ04";"Turdus_philomelos";"Coprosma_grandifolia";1
"NZ04";"Turdus_philomelos";"Coprosma_repens";0
"NZ04";"Turdus_philomelos";"Coprosma_robusta";0
"NZ04";"Turdus_philomelos";"Crataegus_monogyna";0
"NZ04";"Turdus_philomelos";"Laurus_nobilis";0
"NZ04";"Turdus_philomelos";"Macropiper_excelsum";0
"NZ04";"Turdus_philomelos";"Melicytus_ramiflorus";0
"NZ04";"Turdus_philomelos";"Muehlenbeckia_australis";0
"NZ04";"Turdus_philomelos";"Myoporum_laetum";0
"NZ04";"Turdus_philomelos";"Neopanax_arboreus";0
"NZ04";"Turdus_philomelos";"Rubus_fruticosus";0
"NZ04";"Turdus_philomelos";"Solanum_americanum";0
"NZ04";"Sturnus_vulgaris";"Coprosma_grandifolia";0
"NZ04";"Sturnus_vulgaris";"Coprosma_repens";0
"NZ04";"Sturnus_vulgaris";"Coprosma_robusta";0
"NZ04";"Sturnus_vulgaris";"Crataegus_monogyna";0
"NZ04";"Sturnus_vulgaris";"Laurus_nobilis";1
"NZ04";"Sturnus_vulgaris";"Macropiper_excelsum";0
"NZ04";"Sturnus_vulgaris";"Melicytus_ramiflorus";0
"NZ04";"Sturnus_vulgaris";"Muehlenbeckia_australis";0
"NZ04";"Sturnus_vulgaris";"Myoporum_laetum";1
"NZ04";"Sturnus_vulgaris";"Neopanax_arboreus";0
"NZ04";"Sturnus_vulgaris";"Rubus_fruticosus";0
"NZ04";"Sturnus_vulgaris";"Solanum_americanum";0
"NZ04";"Prosthemadera_novaeseelandiae";"Coprosma_grandifolia";1
"NZ04";"Prosthemadera_novaeseelandiae";"Coprosma_repens";1
"NZ04";"Prosthemadera_novaeseelandiae";"Coprosma_robusta";1
"NZ04";"Prosthemadera_novaeseelandiae";"Crataegus_monogyna";1
"NZ04";"Prosthemadera_novaeseelandiae";"Laurus_nobilis";1
"NZ04";"Prosthemadera_novaeseelandiae";"Macropiper_excelsum";1
"NZ04";"Prosthemadera_novaeseelandiae";"Melicytus_ramiflorus";1
"NZ04";"Prosthemadera_novaeseelandiae";"Muehlenbeckia_australis";0
"NZ04";"Prosthemadera_novaeseelandiae";"Myoporum_laetum";1
"NZ04";"Prosthemadera_novaeseelandiae";"Neopanax_arboreus";0
"NZ04";"Prosthemadera_novaeseelandiae";"Rubus_fruticosus";0
"NZ04";"Prosthemadera_novaeseelandiae";"Solanum_americanum";0
"NZ04";"Zosterops_lateralis";"Coprosma_grandifolia";0
"NZ04";"Zosterops_lateralis";"Coprosma_repens";1
"NZ04";"Zosterops_lateralis";"Coprosma_robusta";1
"NZ04";"Zosterops_lateralis";"Crataegus_monogyna";0
"NZ04";"Zosterops_lateralis";"Laurus_nobilis";0
"NZ04";"Zosterops_lateralis";"Macropiper_excelsum";1
"NZ04";"Zosterops_lateralis";"Melicytus_ramiflorus";1
"NZ04";"Zosterops_lateralis";"Muehlenbeckia_australis";1
"NZ04";"Zosterops_lateralis";"Myoporum_laetum";1
"NZ04";"Zosterops_lateralis";"Neopanax_arboreus";1
"NZ04";"Zosterops_lateralis";"Rubus_fruticosus";0
"NZ04";"Zosterops_lateralis";"Solanum_americanum";1
"NZ05";"Turdus_merula";"Aristotelia_serrata";1
"NZ05";"Turdus_merula";"Coprosma_grandifolia";1
"NZ05";"Turdus_merula";"Coprosma_robusta";0
"NZ05";"Turdus_merula";"Geniostoma_rupestre";0
"NZ05";"Turdus_merula";"Macropiper_excelsum";1
"NZ05";"Turdus_merula";"Melicytus_ramiflorus";0
"NZ05";"Turdus_merula";"Myoporum_laetum";0
"NZ05";"Turdus_merula";"Neopanax_arboreus";1
"NZ05";"Turdus_philomelos";"Aristotelia_serrata";0
"NZ05";"Turdus_philomelos";"Coprosma_grandifolia";1
"NZ05";"Turdus_philomelos";"Coprosma_robusta";0
"NZ05";"Turdus_philomelos";"Geniostoma_rupestre";0
"NZ05";"Turdus_philomelos";"Macropiper_excelsum";0
"NZ05";"Turdus_philomelos";"Melicytus_ramiflorus";0
"NZ05";"Turdus_philomelos";"Myoporum_laetum";0
"NZ05";"Turdus_philomelos";"Neopanax_arboreus";0
"NZ05";"Prosthemadera_novaeseelandiae";"Aristotelia_serrata";1
"NZ05";"Prosthemadera_novaeseelandiae";"Coprosma_grandifolia";1
"NZ05";"Prosthemadera_novaeseelandiae";"Coprosma_robusta";0
"NZ05";"Prosthemadera_novaeseelandiae";"Geniostoma_rupestre";0
"NZ05";"Prosthemadera_novaeseelandiae";"Macropiper_excelsum";1
"NZ05";"Prosthemadera_novaeseelandiae";"Melicytus_ramiflorus";1
"NZ05";"Prosthemadera_novaeseelandiae";"Myoporum_laetum";1
"NZ05";"Prosthemadera_novaeseelandiae";"Neopanax_arboreus";0
"NZ05";"Zosterops_lateralis";"Aristotelia_serrata";0
"NZ05";"Zosterops_lateralis";"Coprosma_grandifolia";1
"NZ05";"Zosterops_lateralis";"Coprosma_robusta";1
"NZ05";"Zosterops_lateralis";"Geniostoma_rupestre";1
"NZ05";"Zosterops_lateralis";"Macropiper_excelsum";0
"NZ05";"Zosterops_lateralis";"Melicytus_ramiflorus";1
"NZ05";"Zosterops_lateralis";"Myoporum_laetum";0
"NZ05";"Zosterops_lateralis";"Neopanax_arboreus";1
"NZ06";"Anthornis_melanura";"Aristotelia_serrata";0
"NZ06";"Anthornis_melanura";"Coprosma_grandifolia";1
"NZ06";"Anthornis_melanura";"Coprosma_robusta";0
"NZ06";"Anthornis_melanura";"Macropiper_excelsum";0
"NZ06";"Anthornis_melanura";"Melicytus_ramiflorus";1
"NZ06";"Anthornis_melanura";"Pittosporum_eugenioides";0
"NZ06";"Anthornis_melanura";"Neopanax_arboreus";0
"NZ06";"Turdus_merula";"Aristotelia_serrata";0
"NZ06";"Turdus_merula";"Coprosma_grandifolia";1
"NZ06";"Turdus_merula";"Coprosma_robusta";0
"NZ06";"Turdus_merula";"Macropiper_excelsum";0
"NZ06";"Turdus_merula";"Melicytus_ramiflorus";0
"NZ06";"Turdus_merula";"Pittosporum_eugenioides";0
"NZ06";"Turdus_merula";"Neopanax_arboreus";1
"NZ06";"Hemiphaga_novaeseelandiae";"Aristotelia_serrata";1
"NZ06";"Hemiphaga_novaeseelandiae";"Coprosma_grandifolia";1
"NZ06";"Hemiphaga_novaeseelandiae";"Coprosma_robusta";0
"NZ06";"Hemiphaga_novaeseelandiae";"Macropiper_excelsum";0
"NZ06";"Hemiphaga_novaeseelandiae";"Melicytus_ramiflorus";0
