"cell_id";"bird.sp";"bird.sp.prob";"plant.sp";"plant.sp.prob";"metaweb_interaction"
"1419";"Acanthis_flammea";0,514;"Acrothamnus_colensoi";0;0
"1419";"Acanthis_flammea";0,514;"Alectryon_excelsus";0,26;0
"1419";"Acanthis_flammea";0,514;"Alepis_flavida";0;0
"1419";"Acanthis_flammea";0,514;"Alseuosmia_macrophylla";0,013;0
"1419";"Acanthis_flammea";0,514;"Androstoma_empetrifolia";0;0
"1419";"Acanthis_flammea";0,514;"Aristotelia_fruticosa";0,001;0
"1419";"Acanthis_flammea";0,514;"Aristotelia_serrata";0,923;0
"1419";"Acanthis_flammea";0,514;"Ascarina_lucida";0,023;0
"1419";"Acanthis_flammea";0,514;"Asparagus_scandens";0,099;0
"1419";"Acanthis_flammea";0,514;"Astelia_fragrans";0,156;0
"1419";"Acanthis_flammea";0,514;"Astelia_nervosa";0;0
"1419";"Acanthis_flammea";0,514;"Astelia_nivicola";0;0
"1419";"Acanthis_flammea";0,514;"Beilschmiedia_tawa";0,412;0
"1419";"Acanthis_flammea";0,514;"Berberis_glaucocarpa";0,204;0
"1419";"Acanthis_flammea";0,514;"Carpodetus_serratus";0,994;0
"1419";"Acanthis_flammea";0,514;"Coprosma_acerosa";0;0
"1419";"Acanthis_flammea";0,514;"Coprosma_arborea";0,004;0
"1419";"Acanthis_flammea";0,514;"Coprosma_areolata";0,449;0
"1419";"Acanthis_flammea";0,514;"Coprosma_cheesemanii";0;0
"1419";"Acanthis_flammea";0,514;"Coprosma_colensoi";0,003;0
"1419";"Acanthis_flammea";0,514;"Coprosma_crassifolia";0,169;0
"1419";"Acanthis_flammea";0,514;"Coprosma_cuneata";0;0
"1419";"Acanthis_flammea";0,514;"Coprosma_depressa";0,001;0
"1419";"Acanthis_flammea";0,514;"Coprosma_foetidissima";0,006;0
"1419";"Acanthis_flammea";0,514;"Coprosma_fowerakeri";0,001;0
"1419";"Acanthis_flammea";0,514;"Coprosma_linariifolia";0,042;0
"1419";"Acanthis_flammea";0,514;"Coprosma_lucida";0,543;0
"1419";"Acanthis_flammea";0,514;"Coprosma_macrocarpa";0,013;0
"1419";"Acanthis_flammea";0,514;"Coprosma_parviflora";0,005;0
"1419";"Acanthis_flammea";0,514;"Coprosma_perpusilla";0,001;0
"1419";"Acanthis_flammea";0,514;"Coprosma_petriei";0,001;0
"1419";"Acanthis_flammea";0,514;"Coprosma_propinqua";0,491;0
"1419";"Acanthis_flammea";0,514;"Coprosma_pseudocuneata";0;0
"1419";"Acanthis_flammea";0,514;"Coprosma_repens";0;0
"1419";"Acanthis_flammea";0,514;"Coprosma_rhamnoides";0,896;0
"1419";"Acanthis_flammea";0,514;"Coprosma_rigida";0,057;0
"1419";"Acanthis_flammea";0,514;"Coprosma_robusta";0,637;0
"1419";"Acanthis_flammea";0,514;"Coprosma_rotundifolia";0,591;0
"1419";"Acanthis_flammea";0,514;"Coprosma_rugosa";0,003;0
"1419";"Acanthis_flammea";0,514;"Coprosma_serrulata";0;0
"1419";"Acanthis_flammea";0,514;"Coprosma_tenuifolia";0;0
"1419";"Acanthis_flammea";0,514;"Cordyline_australis";0,303;0
"1419";"Acanthis_flammea";0,514;"Coriaria_arborea";0,182;0
"1419";"Acanthis_flammea";0,514;"Coriaria_sarmentosa";0,001;0
"1419";"Acanthis_flammea";0,514;"Corokia_cotoneaster";0,001;0
"1419";"Acanthis_flammea";0,514;"Corynocarpus_laevigatus";0,213;0
"1419";"Acanthis_flammea";0,514;"Crataegus_monogyna";0,213;0
"1419";"Acanthis_flammea";0,514;"Dacrycarpus_dacrydioides";0,817;0
"1419";"Acanthis_flammea";0,514;"Dacrydium_cupressinum";0,291;1
"1419";"Acanthis_flammea";0,514;"Dracophyllum_longifolium";0;0
"1419";"Acanthis_flammea";0,514;"Elaeocarpus_dentatus";0,234;0
"1419";"Acanthis_flammea";0,514;"Elaeocarpus_hookerianus";0,003;0
