"plot";"x";"y";"year";"species_group";"species";"records"
"AA138";"1274032.4728";"5131414.91619999";"2015";"mammals";"Deer";2
"AA138";"1274032.4728";"5131414.91619999";"2015";"mammals";"Possum";11
"AA138";"1274032.4728";"5131414.91619999";"2015";"mammals";"Unknown ungulate";2
"AA138";"1274032.4728";"5131414.91619999";"2020";"mammals";"Horse";2
"AA138";"1274032.4728";"5131414.91619999";"2020";"mammals";"Possum";1
"AA138";"1274032.4728";"5131414.91619999";"2020";"mammals";"Unknown ungulate";5
"AA139";"1274035.6177";"5123396.3342";"2014";"mammals";"Deer";2
"AA139";"1274035.6177";"5123396.3342";"2014";"mammals";"Possum";17
"AA139";"1274035.6177";"5123396.3342";"2014";"mammals";"Unknown ungulate";23
"AA139";"1274035.6177";"5123396.3342";"2019";"mammals";"Chamois";1
"AA139";"1274035.6177";"5123396.3342";"2019";"mammals";"Deer";2
"AA139";"1274035.6177";"5123396.3342";"2019";"mammals";"Possum";14
"AA139";"1274035.6177";"5123396.3342";"2019";"mammals";"Unknown ungulate";26
"AA140";"1274026.374";"5115410.9517";"2017";"mammals";"Unknown ungulate";5
"AA140";"1274026.374";"5115410.9517";"2021";"mammals";"Chamois";2
"AA140";"1274026.374";"5115410.9517";"2021";"mammals";"Red deer";6
"AA140";"1274026.374";"5115410.9517";"2021";"mammals";"Unknown ungulate";1
"AA141";"1273625.1425";"5107381.3645";"2018";"mammals";"Possum";1
"AA141";"1273625.1425";"5107381.3645";"2018";"mammals";"Red deer";1
"AA141";"1273625.1425";"5107381.3645";"2018";"mammals";"Unknown ungulate";3
"AA142";"1274032.68449999";"5099398.4269";"2016";"mammals";"Deer";2
"AA142";"1274032.68449999";"5099398.4269";"2016";"mammals";"Possum";7
"AA142";"1274032.68449999";"5099398.4269";"2021";"mammals";"Possum";6
"AA142";"1274032.68449999";"5099398.4269";"2021";"mammals";"Unknown ungulate";2
"AA144";"1274482.02429999";"5083783.3578";"2013";"mammals";"Chamois";1
"AA144";"1274482.02429999";"5083783.3578";"2013";"mammals";"Hare";24
"AA144";"1274482.02429999";"5083783.3578";"2013";"mammals";"Possum";6
"AA144";"1274482.02429999";"5083783.3578";"2013";"mammals";"Unknown ungulate";12
"AA144";"1274482.02429999";"5083783.3578";"2016";"mammals";"Deer";1
"AA144";"1274482.02429999";"5083783.3578";"2016";"mammals";"Hare";13
"AA144";"1274482.02429999";"5083783.3578";"2016";"mammals";"Possum";17
"AA144";"1274482.02429999";"5083783.3578";"2016";"mammals";"Unknown ungulate";8
"AA144";"1274482.02429999";"5083783.3578";"2021";"mammals";"Hare";26
"AA144";"1274482.02429999";"5083783.3578";"2021";"mammals";"Possum";11
"AA144";"1274482.02429999";"5083783.3578";"2021";"mammals";"Unknown ungulate";3
"AA145";"1274032.9317";"5075372.5975";"2016";"mammals";"Chamois";10
"AA145";"1274032.9317";"5075372.5975";"2016";"mammals";"Deer";1
"AA145";"1274032.9317";"5075372.5975";"2016";"mammals";"Hare";20
"AA145";"1274032.9317";"5075372.5975";"2016";"mammals";"Unknown ungulate";9
"AA145";"1274032.9317";"5075372.5975";"2021";"mammals";"Chamois";1
"AA145";"1274032.9317";"5075372.5975";"2021";"mammals";"Hare";44
"AA145";"1274032.9317";"5075372.5975";"2021";"mammals";"Unknown ungulate";2
"AA146";"1274038.583";"5067368.01099999";"2014";"mammals";"Hare";113
"AA146";"1274038.583";"5067368.01099999";"2014";"mammals";"Possum";1
"AA146";"1274038.583";"5067368.01099999";"2014";"mammals";"Unknown ungulate";1
"AA146";"1274038.583";"5067368.01099999";"2019";"mammals";"Chamois";7
"AA146";"1274038.583";"5067368.01099999";"2019";"mammals";"Hare";105
"AA146";"1274038.583";"5067368.01099999";"2019";"mammals";"Unknown ungulate";5
"AA154";"1274086.40899999";"5003306.53619999";"2015";"mammals";"Deer";1
"AA154";"1274086.40899999";"5003306.53619999";"2015";"mammals";"Hare";77
"AA154";"1274086.40899999";"5003306.53619999";"2015";"mammals";"Red deer";2
"AA154";"1274086.40899999";"5003306.53619999";"2015";"mammals";"Unknown ungulate";1
"AA154";"1274086.40899999";"5003306.53619999";"2020";"mammals";"Hare";78
"AA155";"1274092.79239999";"4995290.49129999";"2014";"mammals";"Chamois";1
"AA155";"1274092.79239999";"4995290.49129999";"2014";"mammals";"Deer";4
"AA155";"1274092.79239999";"4995290.49129999";"2014";"mammals";"Hare";67
"AA155";"1274092.79239999";"4995290.49129999";"2014";"mammals";"Unknown ungulate";9
"AA155";"1274092.79239999";"4995290.49129999";"2019";"mammals";"Deer";1
"AA155";"1274092.79239999";"4995290.49129999";"2019";"mammals";"Hare";91
"AA155";"1274092.79239999";"4995290.49129999";"2019";"mammals";"Rabbit";1
"AA155";"1274092.79239999";"4995290.49129999";"2019";"mammals";"Red deer";1
"AA155";"1274092.79239999";"4995290.49129999";"2019";"mammals";"Unknown ungulate";1
"AA156";"1274100.01359999";"4987287.92569999";"2016";"mammals";"Deer";13
"AA156";"1274100.01359999";"4987287.92569999";"2016";"mammals";"Hare";28
"AA156";"1274100.01359999";"4987287.92569999";"2016";"mammals";"Possum";1
"AA156";"1274100.01359999";"4987287.92569999";"2016";"mammals";"Sheep";1
"AA156";"1274100.01359999";"4987287.92569999";"2016";"mammals";"Unknown ungulate";28
"AA156";"1274100.01359999";"4987287.92569999";"2022";"mammals";"Deer";3
"AA156";"1274100.01359999";"4987287.92569999";"2022";"mammals";"Hare";48
"AA156";"1274100.01359999";"4987287.92569999";"2022";"mammals";"Unknown ungulate";48
"AB138";"1282041.00919999";"5131425.7629";"2014";"mammals";"Deer";1
"AB138";"1282041.00919999";"5131425.7629";"2014";"mammals";"Possum";4
"AB138";"1282041.00919999";"5131425.7629";"2014";"mammals";"Unknown ungulate";3
"AB138";"1282041.00919999";"5131425.7629";"2019";"mammals";"Deer";2
"AB138";"1282041.00919999";"5131425.7629";"2019";"mammals";"Goat";1
"AB138";"1282041.00919999";"5131425.7629";"2019";"mammals";"Possum";3
"AB138";"1282041.00919999";"5131425.7629";"2019";"mammals";"Unknown ungulate";2
"AB139";"1282047.74019999";"5123410.2273";"2016";"mammals";"Deer";2
"AB139";"1282047.74019999";"5123410.2273";"2016";"mammals";"Possum";6
"AB139";"1282047.74019999";"5123410.2273";"2016";"mammals";"Red deer";1
"AB139";"1282047.74019999";"5123410.2273";"2016";"mammals";"Unknown ungulate";2
"AB139";"1282047.74019999";"5123410.2273";"2021";"mammals";"Cattle";5
"AB139";"1282047.74019999";"5123410.2273";"2021";"mammals";"Deer";2
"AB139";"1282047.74019999";"5123410.2273";"2021";"mammals";"Hare";1
"AB139";"1282047.74019999";"5123410.2273";"2021";"mammals";"Possum";17
"AB139";"1282047.74019999";"5123410.2273";"2021";"mammals";"Unknown ungulate";11
"AB141";"1281857.4439";"5107494.09509999";"2018";"mammals";"Unknown ungulate";6
"AB142";"1282137.30799999";"5099226.67349999";"2013";"mammals";"Chamois";2
"AB142";"1282137.30799999";"5099226.67349999";"2013";"mammals";"Unknown ungulate";1
"AB142";"1282137.30799999";"5099226.67349999";"2016";"mammals";"Chamois";7
"AB142";"1282137.30799999";"5099226.67349999";"2016";"mammals";"Possum";1
"AB142";"1282137.30799999";"5099226.67349999";"2016";"mammals";"Unknown ungulate";4
"AB142";"1282137.30799999";"5099226.67349999";"2021";"mammals";"Chamois";2
"AB142";"1282137.30799999";"5099226.67349999";"2021";"mammals";"Hare";25
"AB142";"1282137.30799999";"5099226.67349999";"2021";"mammals";"Unknown ungulate";2
"AB143";"1282807.08639999";"5093458.96669999";"2014";"mammals";"Deer";4
"AB143";"1282807.08639999";"5093458.96669999";"2014";"mammals";"Possum";23
"AB143";"1282807.08639999";"5093458.96669999";"2014";"mammals";"Unknown ungulate";20
"AB143";"1282807.08639999";"5093458.96669999";"2018";"mammals";"Deer";3
"AB143";"1282807.08639999";"5093458.96669999";"2018";"mammals";"Possum";8
"AB143";"1282807.08639999";"5093458.96669999";"2018";"mammals";"Unknown ungulate";15
"AB144";"1282040.33379999";"5083386.52819999";"2014";"mammals";"Deer";4
"AB144";"1282040.33379999";"5083386.52819999";"2014";"mammals";"Mouse";1
"AB144";"1282040.33379999";"5083386.52819999";"2014";"mammals";"Possum";25
"AB144";"1282040.33379999";"5083386.52819999";"2014";"mammals";"Unknown ungulate";28
"AB144";"1282040.33379999";"5083386.52819999";"2019";"mammals";"Deer";2
"AB144";"1282040.33379999";"5083386.52819999";"2019";"mammals";"Possum";49
"AB144";"1282040.33379999";"5083386.52819999";"2019";"mammals";"Unknown ungulate";23
"AB146";"1282053.01249999";"5067367.75409999";"2016";"mammals";"Hare";16
"AB146";"1282053.01249999";"5067367.75409999";"2016";"mammals";"Possum";20
"AB146";"1282053.01249999";"5067367.75409999";"2016";"mammals";"Sheep";6
"AB146";"1282053.01249999";"5067367.75409999";"2016";"mammals";"Unknown ungulate";1
"AB146";"1282053.01249999";"5067367.75409999";"2021";"mammals";"Chamois";1
"AB146";"1282053.01249999";"5067367.75409999";"2021";"mammals";"Hare";21
"AB146";"1282053.01249999";"5067367.75409999";"2021";"mammals";"Possum";32
