"";"cell_id";"lat_centroid";"lon_centroid"
"1";1;6189224,14464992;1564971,00093169
"2";2;6189224,14464992;1574971,00093169
"3";3;6189224,14464992;1584971,00093169
"4";4;6189224,14464992;1594971,00093169
"5";5;6189224,14464992;1604971,00093169
"6";6;6179224,14464992;1564971,00093169
"7";7;6179224,14464992;1574971,00093169
"8";8;6179224,14464992;1584971,00093169
"9";9;6179224,14464992;1594971,00093169
"10";10;6179224,14464992;1604971,00093169
"11";11;6169224,14464992;1584971,00093169
"12";12;6169224,14464992;1594971,00093169
"13";13;6169224,14464992;1604971,00093169
"14";14;6159224,14464992;1584971,00093169
"15";15;6159224,14464992;1594971,00093169
"16";16;6159224,14464992;1604971,00093169
"17";17;6159224,14464992;1614971,00093169
"18";18;6149224,14464992;1594971,00093169
"19";19;6149224,14464992;1604971,00093169
"20";20;6149224,14464992;1614971,00093169
"21";21;6149224,14464992;1634971,00093169
"22";22;6149224,14464992;1644971,00093169
"23";23;6139224,14464992;1604971,00093169
"24";24;6139224,14464992;1614971,00093169
"25";25;6139224,14464992;1624971,00093169
"26";26;6139224,14464992;1634971,00093169
"27";27;6139224,14464992;1644971,00093169
"28";28;6139224,14464992;1654971,00093169
"29";29;6129224,14464992;1614971,00093169
"30";30;6129224,14464992;1624971,00093169
"31";31;6129224,14464992;1634971,00093169
"32";32;6129224,14464992;1644971,00093169
"33";33;6129224,14464992;1654971,00093169
"34";34;6129224,14464992;1664971,00093169
"35";35;6129224,14464992;1674971,00093169
"36";36;6129224,14464992;1684971,00093169
"37";37;6119224,14464992;1614971,00093169
"38";38;6119224,14464992;1624971,00093169
"39";39;6119224,14464992;1634971,00093169
"40";40;6119224,14464992;1644971,00093169
"41";41;6119224,14464992;1654971,00093169
"42";42;6119224,14464992;1664971,00093169
"43";43;6119224,14464992;1674971,00093169
"44";44;6119224,14464992;1684971,00093169
"45";45;6109224,14464992;1604971,00093169
"46";46;6109224,14464992;1614971,00093169
"47";47;6109224,14464992;1624971,00093169
"48";48;6109224,14464992;1634971,00093169
"49";49;6109224,14464992;1644971,00093169
"50";50;6109224,14464992;1654971,00093169
"51";51;6109224,14464992;1664971,00093169
"52";52;6109224,14464992;1674971,00093169
"53";53;6109224,14464992;1684971,00093169
"54";54;6109224,14464992;1694971,00093169
"55";55;6109224,14464992;1704971,00093169
"56";56;6109224,14464992;1714971,00093169
"57";57;6109224,14464992;1724971,00093169
"58";58;6099224,14464992;1604971,00093169
"59";59;6099224,14464992;1614971,00093169
"60";60;6099224,14464992;1624971,00093169
"61";61;6099224,14464992;1634971,00093169
"62";62;6099224,14464992;1644971,00093169
"63";63;6099224,14464992;1654971,00093169
"64";64;6099224,14464992;1664971,00093169
"65";65;6099224,14464992;1674971,00093169
"66";66;6099224,14464992;1684971,00093169
"67";67;6099224,14464992;1694971,00093169
"68";68;6099224,14464992;1704971,00093169
"69";69;6099224,14464992;1714971,00093169
"70";70;6099224,14464992;1724971,00093169
"71";71;6089224,14464992;1614971,00093169
"72";72;6089224,14464992;1624971,00093169
"73";73;6089224,14464992;1634971,00093169
"74";74;6089224,14464992;1644971,00093169
"75";75;6089224,14464992;1654971,00093169
"76";76;6089224,14464992;1664971,00093169
"77";77;6089224,14464992;1674971,00093169
"78";78;6089224,14464992;1684971,00093169
"79";79;6089224,14464992;1694971,00093169
"80";80;6089224,14464992;1704971,00093169
"81";81;6089224,14464992;1714971,00093169
"82";82;6089224,14464992;1724971,00093169
"83";83;6079224,14464992;1624971,00093169
"84";84;6079224,14464992;1634971,00093169
"85";85;6079224,14464992;1644971,00093169
"86";86;6079224,14464992;1654971,00093169
"87";87;6079224,14464992;1664971,00093169
"88";88;6079224,14464992;1674971,00093169
"89";89;6079224,14464992;1684971,00093169
"90";90;6079224,14464992;1694971,00093169
"91";91;6079224,14464992;1704971,00093169
"92";92;6079224,14464992;1714971,00093169
"93";93;6079224,14464992;1724971,00093169
"94";94;6079224,14464992;1734971,00093169
"95";95;6069224,14464992;1624971,00093169
"96";96;6069224,14464992;1634971,00093169
"97";97;6069224,14464992;1644971,00093169
"98";98;6069224,14464992;1654971,00093169
"99";99;6069224,14464992;1664971,00093169
"100";100;6069224,14464992;1674971,00093169
"101";101;6069224,14464992;1684971,00093169
"102";102;6069224,14464992;1694971,00093169
"103";103;6069224,14464992;1704971,00093169
"104";104;6069224,14464992;1714971,00093169
"105";105;6069224,14464992;1724971,00093169
"106";106;6069224,14464992;1734971,00093169
"107";107;6059224,14464992;1634971,00093169
"108";108;6059224,14464992;1644971,00093169
"109";109;6059224,14464992;1654971,00093169
"110";110;6059224,14464992;1664971,00093169
"111";111;6059224,14464992;1674971,00093169
"112";112;6059224,14464992;1684971,00093169
"113";113;6059224,14464992;1694971,00093169
"114";114;6059224,14464992;1704971,00093169
"115";115;6059224,14464992;1714971,00093169
"116";116;6059224,14464992;1724971,00093169
"117";117;6059224,14464992;1734971,00093169
"118";118;6049224,14464992;1644971,00093169
"119";119;6049224,14464992;1654971,00093169
"120";120;6049224,14464992;1664971,00093169
"121";121;6049224,14464992;1674971,00093169
"122";122;6049224,14464992;1684971,00093169
"123";123;6049224,14464992;1694971,00093169
"124";124;6049224,14464992;1704971,00093169
"125";125;6049224,14464992;1714971,00093169
"126";126;6049224,14464992;1724971,00093169
"127";127;6049224,14464992;1734971,00093169
"128";128;6049224,14464992;1744971,00093169
"129";129;6039224,14464992;1644971,00093169
"130";130;6039224,14464992;1654971,00093169
"131";131;6039224,14464992;1664971,00093169
"132";132;6039224,14464992;1674971,00093169
"133";133;6039224,14464992;1684971,00093169
"134";134;6039224,14464992;1694971,00093169
"135";135;6039224,14464992;1704971,00093169
"136";136;6039224,14464992;1714971,00093169
"137";137;6039224,14464992;1724971,00093169
"138";138;6039224,14464992;1734971,00093169
"139";139;6039224,14464992;1744971,00093169
"140";140;6029224,14464992;1654971,00093169
"141";141;6029224,14464992;1664971,00093169
"142";142;6029224,14464992;1674971,00093169
"143";143;6029224,14464992;1684971,00093169
"144";144;6029224,14464992;1694971,00093169
"145";145;6029224,14464992;1704971,00093169
"146";146;6029224,14464992;1714971,00093169
"147";147;6029224,14464992;1724971,00093169
"148";148;6029224,14464992;1734971,00093169
"149";149;6029224,14464992;1744971,00093169
"150";150;6019224,14464992;1664971,00093169
"151";151;6019224,14464992;1674971,00093169
"152";152;6019224,14464992;1684971,00093169
"153";153;6019224,14464992;1694971,00093169
"154";154;6019224,14464992;1704971,00093169
"155";155;6019224,14464992;1714971,00093169
"156";156;6019224,14464992;1724971,00093169
"157";157;6019224,14464992;1734971,00093169
"158";158;6009224,14464992;1674971,00093169
"159";159;6009224,14464992;1684971,00093169
"160";160;6009224,14464992;1694971,00093169
"161";161;6009224,14464992;1704971,00093169
"162";162;6009224,14464992;1714971,00093169
"163";163;6009224,14464992;1724971,00093169
"164";164;6009224,14464992;1734971,00093169
"165";165;6009224,14464992;1744971,00093169
"166";166;5999224,14464992;1674971,00093169
"167";167;5999224,14464992;1684971,00093169
"168";168;5999224,14464992;1694971,00093169
"169";169;5999224,14464992;1704971,00093169
"170";170;5999224,14464992;1714971,00093169
"171";171;5999224,14464992;1724971,00093169
"172";172;5999224,14464992;1734971,00093169
"173";173;5999224,14464992;1744971,00093169
"174";174;5989224,14464992;1684971,00093169
"175";175;5989224,14464992;1694971,00093169
"176";176;5989224,14464992;1704971,00093169
"177";177;5989224,14464992;1714971,00093169
"178";178;5989224,14464992;1724971,00093169
"179";179;5989224,14464992;1734971,00093169
"180";180;5989224,14464992;1744971,00093169
"181";181;5989224,14464992;1754971,00093169
"182";182;5989224,14464992;1764971,00093169
"183";183;5979224,14464992;1694971,00093169
"184";184;5979224,14464992;1704971,00093169
"185";185;5979224,14464992;1714971,00093169
"186";186;5979224,14464992;1724971,00093169
"187";187;5979224,14464992;1734971,00093169
"188";188;5979224,14464992;1744971,00093169
"189";189;5979224,14464992;1754971,00093169
"190";190;5979224,14464992;1764971,00093169
"191";191;5969224,14464992;1694971,00093169
"192";192;5969224,14464992;1704971,00093169
"193";193;5969224,14464992;1714971,00093169
"194";194;5969224,14464992;1724971,00093169
"195";195;5969224,14464992;1734971,00093169
"196";196;5969224,14464992;1744971,00093169
"197";197;5969224,14464992;1754971,00093169
"198";198;5969224,14464992;1764971,00093169
"199";199;5959224,14464992;1704971,00093169
"200";200;5959224,14464992;1714971,00093169
"201";201;5959224,14464992;1724971,00093169
"202";202;5959224,14464992;1734971,00093169
"203";203;5959224,14464992;1744971,00093169
"204";204;5959224,14464992;1754971,00093169
"205";205;5959224,14464992;1804971,00093169
"206";206;5959224,14464992;1814971,00093169
"207";207;5959224,14464992;1824971,00093169
"208";208;5949224,14464992;1704971,00093169
"209";209;5949224,14464992;1714971,00093169
"210";210;5949224,14464992;1724971,00093169
"211";211;5949224,14464992;1734971,00093169
"212";212;5949224,14464992;1744971,00093169
"213";213;5949224,14464992;1754971,00093169
"214";214;5949224,14464992;1764971,00093169
"215";215;5949224,14464992;1804971,00093169
"216";216;5949224,14464992;1814971,00093169
"217";217;5949224,14464992;1824971,00093169
"218";218;5949224,14464992;1834971,00093169
"219";219;5939224,14464992;1714971,00093169
"220";220;5939224,14464992;1724971,00093169
"221";221;5939224,14464992;1734971,00093169
"222";222;5939224,14464992;1744971,00093169
"223";223;5939224,14464992;1754971,00093169
"224";224;5939224,14464992;1814971,00093169
"225";225;5939224,14464992;1824971,00093169
"226";226;5939224,14464992;1834971,00093169
"227";227;5939224,14464992;1844971,00093169
"228";228;5929224,14464992;1724971,00093169
"229";229;5929224,14464992;1734971,00093169
"230";230;5929224,14464992;1744971,00093169
"231";231;5929224,14464992;1754971,00093169
"232";232;5929224,14464992;1764971,00093169
"233";233;5929224,14464992;1814971,00093169
"234";234;5929224,14464992;1824971,00093169
"235";235;5929224,14464992;1834971,00093169
"236";236;5929224,14464992;1844971,00093169
"237";237;5929224,14464992;1854971,00093169
"238";238;5919224,14464992;1724971,00093169
"239";239;5919224,14464992;1734971,00093169
"240";240;5919224,14464992;1744971,00093169
"241";241;5919224,14464992;1754971,00093169
"242";242;5919224,14464992;1764971,00093169
"243";243;5919224,14464992;1774971,00093169
"244";244;5919224,14464992;1784971,00093169
"245";245;5919224,14464992;1814971,00093169
"246";246;5919224,14464992;1824971,00093169
"247";247;5919224,14464992;1834971,00093169
"248";248;5919224,14464992;1844971,00093169
"249";249;5919224,14464992;1854971,00093169
"250";250;5909224,14464992;1724971,00093169
"251";251;5909224,14464992;1734971,00093169
"252";252;5909224,14464992;1744971,00093169
"253";253;5909224,14464992;1754971,00093169
"254";254;5909224,14464992;1764971,00093169
"255";255;5909224,14464992;1774971,00093169
"256";256;5909224,14464992;1784971,00093169
"257";257;5909224,14464992;1794971,00093169
"258";258;5909224,14464992;1804971,00093169
"259";259;5909224,14464992;1814971,00093169
"260";260;5909224,14464992;1824971,00093169
"261";261;5909224,14464992;1834971,00093169
"262";262;5909224,14464992;1844971,00093169
"263";263;5909224,14464992;1854971,00093169
"264";264;5899224,14464992;1734971,00093169
"265";265;5899224,14464992;1744971,00093169
"266";266;5899224,14464992;1754971,00093169
"267";267;5899224,14464992;1764971,00093169
"268";268;5899224,14464992;1774971,00093169
"269";269;5899224,14464992;1784971,00093169
"270";270;5899224,14464992;1794971,00093169
"271";271;5899224,14464992;1804971,00093169
"272";272;5899224,14464992;1824971,00093169
"273";273;5899224,14464992;1834971,00093169
"274";274;5899224,14464992;1844971,00093169
"275";275;5899224,14464992;1854971,00093169
"276";276;5889224,14464992;1734971,00093169
"277";277;5889224,14464992;1744971,00093169
