"cell_id";"Acanthis_flammea";"Acanthisitta_chloris";"Acridotheres_tristis";"Alseuosmia_macrophylla";"Anas_chlorotis";"Anthornis_melanura";"Anthus_novaeseelandiae";"Beilschmiedia_tarairi";"Branta_canadensis";"Callaeas_cinereus";"Carduelis_carduelis";"Chloris_chloris";"Chroicocephalus_novaehollandiae";"Coprosma_arborea";"Coprosma_grandifolia";"Coprosma_lucida";"Coprosma_parviflora";"Cordyline_australis";"Dacrydium_cupressinum";"Dysoxylum_spectabile";"Freycinetia_banksii";"Fringilla_coelebs";"Geniostoma_ligustrifolium";"Gerygone_igata";"Hemiphaga_novaeseelandiae";"Knightia_excelsa";"Leptecophylla_juniperina";"Leptospermum_scoparium";"Leucopogon_fasciculatus";"Meleagris_gallopavo";"Melicytus_ramiflorus";"Mida_salicifolia";"Myrsine_australis";"Myrsine_salicina";"Nestegis_lanceolata";"Nestor_meridionalis";"Passer_domesticus";"Petroica_australis";"Petroica_macrocephala";"Phasianus_colchicus";"Phyllocladus_trichomanoides";"Pittosporum_tenuifolium";"Platycercus_eximius";"Porphyrio_melanotus";"Prosthemadera_novaeseelandiae";"Prumnopitys_ferruginea";"Pseudopanax_crassifolius";"Pseudowintera_axillaris";"Rhipidura_fuliginosa";"Rhopalostylis_sapida";"Rubus_australis";"Sturnus_vulgaris";"Tadorna_variegata";"Turdus_merula";"Turdus_philomelos";"Zosterops_lateralis";"Aristotelia_serrata";"Beilschmiedia_tawa";"Carpodetus_serratus";"Coprosma_areolata";"Coprosma_macrocarpa";"Coprosma_rhamnoides";"Coprosma_rigida";"Coprosma_robusta";"Coprosma_rotundifolia";"Coprosma_tenuifolia";"Corynocarpus_laevigatus";"Cyanoramphus_novaezelandiae";"Dacrycarpus_dacrydioides";"Elaeocarpus_dentatus";"Gallirallus_australis";"Gaultheria_antipoda";"Geniostoma_rupestre";"Griselinia_littoralis";"Griselinia_lucida";"Hedycarya_arborea";"Lantana_camara";"Ligustrum_sinense";"Litsea_calicaris";"Lonicera_japonica";"Macropiper_excelsum";"Muehlenbeckia_australis";"Muehlenbeckia_complexa";"Nestegis_cunninghamii";"Paratrophis_microphylla";"Passiflora_tarminiana";"Phormium_colensoi";"Phormium_tenax";"Podocarpus_cunninghamii";"Podocarpus_totara";"Pseudopanax_arboreus";"Pseudopanax_lessonii";"Raukaua_edgerleyi";"Ripogonum_scandens";"Rubus_cissoides";"Rubus_fruticosus";"Schefflera_digitata";"Solanum_americanum";"Solanum_mauritianum";"Styphelia_nesophila";"Toronia_toru";"Vitex_lucens";"Astelia_banksii";"Coprosma_acerosa";"Coprosma_cheesemanii";"Coprosma_repens";"Hedychium_gardnerianum";"Mohoua_albicilla";"Philesturnus_carunculatus";"Pittosporum_crassifolium";"Pittosporum_eugenioides";"Syzygium_smithii";"Aristotelia_fruticosa";"Ascarina_lucida";"Cacatua_galerita";"Coriaria_arborea";"Lophomyrtus_bullata";"Myrsine_divaricata";"Neomyrtus_pedunculata";"Parsonsia_heterophylla";"Passiflora_tetrandra";"Pennantia_corymbosa";"Pseudowintera_colorata";"Solanum_nigrum";"Weinmannia_racemosa";"Alectryon_excelsus";"Cestrum_nocturnum";"Coprosma_propinqua";"Fuchsia_excorticata";"Hedera_helix";"Lophomyrtus_obcordata";"Myoporum_laetum";"Notiomystis_cincta";"Planchonella_costata";"Strigops_habroptila";"Archontophoenix_cunninghamiana";"Asparagus_asparagoides";"Asparagus_scandens";"Astelia_fragrans";"Coprosma_crassifolia";"Coprosma_depressa";"Corokia_cotoneaster";"Corokia_macrocarpa";"Cotoneaster_coriaceus";"Cotoneaster_glaucophyllus";"Crataegus_monogyna";"Cyanoramphus_auriceps";"Dracaena_draco";"Ileostylus_micranthus";"Ligustrum_lucidum";"Metrosideros_umbellata";"Phoenix_canariensis";"Phytolacca_icosandra";"Pisonia_brunoniana";"Prumnopitys_taxifolia";"Prunus_domestica";"Rhamnus_alaternus";"Solanum_aviculare";"Solanum_laciniatum";"Solanum_pseudocapsicum";"Trachycarpus_fortunei";"Astelia_nervosa";"Coprosma_foetidissima";"Leycesteria_formosa";"Malus_domestica";"Melicytus_lanceolatus";"Neopanax_colensoi";"Psidium_cattleianum";"Raukaua_simplex";"Rhaphiolepis_loquata";"Rosa_rubiginosa";"Berberis_glaucocarpa";"Elaeocarpus_hookerianus";"Isolepis_habra";"Plagianthus_regius";"Actinidia_chinensis";"Coprosma_colensoi";"Coprosma_cuneata";"Cotoneaster_franchetii";"Cyanoramphus_malherbi";"Hymenolaimus_malacorhynchos";"Luzuriaga_parviflora";"Meryta_sinclairii";"Mohoua_ochrocephala";"Prunus_avium";"Coprosma_linariifolia";"Coprosma_pseudocuneata";"Halocarpus_biformis";"Androstoma_empetrifolia";"Berberis_darwinii";"Ilex_aquifolium";"Lepidothamnus_intermedius";"Muehlenbeckia_axillaris";"Passiflora_tripartita";"Alepis_flavida";"Tupeia_antarctica";"Rubus_squarrosus";"Dracophyllum_longifolium";"Gunnera_tinctoria";"Arbutus_unedo";"Coprosma_perpusilla";"Coriaria_plumosa";"Ficus_macrophylla";"Gaultheria_depressa";"Laurus_nobilis";"Lycium_ferocissimum";"Olea_europaea";"Syzygium_australe";"Acrothamnus_colensoi";"Coprosma_rugosa";"Euonymus_europaeus";"Fuchsia_perscandens";"Gaultheria_macrostigma";"Lepidothamnus_laxifolius";"Melicytus_alpinus";"Pentachondra_pumila";"Peraxilla_tetrapetala";"Podocarpus_nivalis";"Pyrus_communis";"Taxus_baccata";"Finschia_novaeseelandiae";"Nestor_notabilis";"Alnus_glutinosa";"Prunus_laurocerasus";"Vitis_vinifera";"Acer_pseudoplatanus";"Astelia_nivicola";"Cornus_capitata";"Muehlenbeckia_astonii";"Prunus_cerasifera";"Coprosma_fowerakeri";"Coprosma_serrulata";"Coriaria_sarmentosa";"Jasminum_officinale";"Melicytus_obovatus";"Ligustrum_ovalifolium";"Sambucus_nigra";"Actinidia_arguta";"Coprosma_petriei";"Peraxilla_colensoi";"Sorbus_aucuparia";"Melicytus_chathamicus";"Myrsine_chathamica";"Pseudopanax_chathamicus";"Coriaria_angustissima";"Ficus_carica";"Coprosma_intertexta";"Tropaeolum_speciosum";"Ribes_sanguineum"
11;14;0;495;1;7;30;10;0;291;5;397;186;788;0;0;7;0;7;0;1;0;247;23;182;52;1;1;0;9;7;24;0;3;0;0;8;585;14;9;179;0;2;55;412;179;0;0;0;252;0;0;494;342;478;236;315;3;1;1;0;15;0;0;23;0;0;1;6;0;0;0;0;1;0;0;1;0;0;1;0;3;0;6;0;0;0;0;0;0;0;9;7;0;0;0;0;0;0;0;2;0;1;0;0;0;11;0;2;8;9;0;1;0;0;0;0;0;0;0;0;1;0;0;6;1;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;5;12;226;3;0;188;25;0;30;1;100;59;119;2;18;13;1;3;9;4;9;239;14;150;44;24;1;7;13;17;20;3;16;3;10;5;166;6;35;58;8;7;0;43;80;12;14;11;142;10;0;158;169;136;68;125;7;17;19;4;0;9;0;5;2;6;0;0;2;8;6;4;8;7;9;19;0;0;0;1;6;4;0;2;1;0;2;1;2;2;11;0;1;17;5;3;13;0;0;0;1;0;0;0;0;0;1;28;0;0;0;0;0;0;0;2;1;2;1;6;0;3;1;1;17;2;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;4;0;0;1;2;0;9;0;0;0;1;0;1;0;3;0;0;0;0;2;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;15;28;283;38;0;183;30;0;71;5;308;176;248;0;39;40;0;15;21;11;47;537;37;639;288;41;1;9;20;175;55;5;19;13;18;5;543;60;288;210;5;0;166;217;663;39;43;14;690;26;2;409;467;556;276;503;7;48;33;2;0;14;1;5;3;10;5;1;15;35;0;1;16;23;26;59;0;0;19;0;13;12;0;9;2;0;0;2;14;10;12;0;4;58;24;3;37;0;0;0;0;2;0;0;0;0;0;103;0;0;0;0;0;0;0;0;5;1;4;13;5;4;15;0;32;4;0;0;9;0;0;0;0;0;0;0;0;0;9;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;11;0;0;0;6;0;8;0;0;0;2;1;1;0;7;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;332;248;2047;74;0;1377;120;0;372;243;1318;962;1205;4;178;106;2;8;190;0;38;2811;89;2501;1103;100;25;35;126;145;189;5;88;143;71;989;3268;1295;1175;493;66;22;606;1315;3098;235;200;66;3133;21;7;2414;862;3387;1617;2441;157;181;199;0;0;45;1;31;6;107;2;6;57;169;3;20;13;227;22;110;0;2;45;2;34;92;4;123;7;0;0;1;176;48;108;2;84;160;224;25;165;2;0;6;4;0;0;0;0;0;0;1019;175;0;3;0;2;0;2;3;0;10;141;44;13;78;258;1;278;21;0;7;72;3;0;0;112;0;0;0;0;0;25;0;0;2;0;0;2;0;573;0;0;0;0;0;0;0;95;0;0;0;2;0;0;9;56;5;0;19;45;0;58;0;1;1;87;1;1;1;29;0;0;0;15;4;0;0;0;1;0;1;7;1;1;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;85;165;1345;17;0;1538;56;3;451;36;942;534;1210;3;43;82;1;0;118;14;50;2041;179;2125;771;222;17;32;110;42;215;2;155;5;17;350;2155;654;984;330;11;25;446;1049;2221;121;90;48;2450;79;1;1265;806;2192;1006;1798;32;216;107;1;0;28;0;43;8;37;3;0;40;107;246;14;22;52;60;177;0;3;84;1;71;29;0;12;5;0;1;0;9;9;22;0;10;200;45;18;79;0;0;8;1;7;0;1;0;0;0;750;0;0;8;0;0;1;0;4;0;2;16;27;2;27;38;2;62;37;0;12;14;0;2;0;0;0;0;0;0;0;34;0;0;0;0;0;4;2;52;0;1;1;1;0;1;0;37;0;0;0;0;0;0;0;18;0;0;0;11;0;14;0;1;7;14;0;0;0;16;0;0;0;69;7;0;1;0;3;0;0;8;0;0;0;7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;12;25;447;8;1;321;43;0;39;0;297;132;234;0;27;20;5;5;49;2;14;465;27;418;245;41;2;16;41;87;54;1;16;6;13;11;710;48;101;197;20;14;6;190;508;63;47;53;596;8;0;519;469;671;334;439;14;55;78;7;0;17;4;18;3;17;0;0;9;29;97;5;16;44;17;23;0;1;0;0;6;6;0;2;2;0;1;0;18;4;12;0;3;41;41;2;30;0;0;0;0;2;0;0;0;0;0;84;0;0;2;0;0;0;0;4;0;5;3;5;1;4;42;1;28;5;0;13;5;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;3;32;0;0;0;1;0;6;0;1;1;4;0;1;0;22;0;0;0;2;4;0;0;0;1;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;7;9;165;42;0;88;26;0;61;0;555;209;398;0;1;34;3;0;15;0;27;193;38;483;159;24;0;0;4;2;37;0;6;28;1;3;859;4;68;164;0;0;117;431;454;40;46;30;511;15;5;671;440;924;265;441;5;28;34;1;0;1;0;5;0;32;3;0;2;27;0;4;1;29;14;44;0;0;0;0;9;3;5;14;0;0;0;0;0;0;1;0;6;42;25;0;25;0;0;0;0;2;0;0;0;0;0;10;0;0;2;0;0;0;1;1;1;1;2;28;1;0;30;0;1;2;0;0;3;0;0;0;2;0;0;0;0;2;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;8;3;18;0;0;0;2;0;0;0;0;0;0;0;3;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;46;169;1133;64;35;766;96;0;593;0;1348;874;689;0;44;99;6;0;68;0;116;1767;63;2322;1416;204;20;44;114;48;171;0;88;49;37;11;2437;704;972;492;2;4;649;1245;2511;131;128;87;2443;32;6;2020;1360;3093;1549;1883;16;222;115;5;1;47;0;22;6;51;5;1;33;154;0;21;44;82;103;226;0;0;0;1;17;20;9;103;6;1;3;0;32;52;13;0;15;221;93;2;63;4;1;1;0;2;0;1;0;0;1;500;111;0;4;0;0;3;6;1;5;7;3;40;27;25;70;2;70;13;0;0;16;0;0;1;87;0;0;0;0;5;46;6;4;0;0;0;0;0;13;0;0;0;1;0;0;0;13;0;0;2;0;0;1;1;2;0;0;5;17;0;31;0;0;1;12;0;1;0;1;0;0;0;93;8;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;618;582;242;3;0;1372;390;0;260;4;831;527;151;0;51;126;30;4;68;0;0;2908;38;2795;976;22;90;79;176;83;96;0;128;44;56;132;1142;456;1365;128;97;19;197;435;1921;181;179;21;2014;0;1;1194;701;2244;1136;2188;86;17;336;0;0;98;13;13;5;322;0;0;30;36;1;121;3;438;0;16;0;0;0;1;1;40;1;137;2;0;3;2;156;27;8;0;11;34;250;6;53;0;0;111;0;0;2;0;85;0;0;1120;0;0;31;0;47;0;42;1;0;208;199;27;1;49;357;0;142;3;0;7;49;0;1;2;0;0;0;0;0;0;126;4;8;9;0;2;0;3;105;0;1;0;0;0;0;0;69;1;0;0;0;0;0;15;294;1;0;16;60;0;261;0;0;2;137;2;4;0;117;0;1;0;687;56;0;0;0;68;133;10;17;0;0;0;48;0;2;7;1;1;2;0;9;10;0;64;0;0;0;0;27;4;1;3;25;15;6;88;4;47;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;176;173;1616;0;48;745;268;0;551;51;1432;1187;1011;0;34;35;8;20;40;0;1;1681;44;1083;479;63;77;73;112;137;89;0;40;12;8;139;2265;260;358;401;3;29;21;1043;1529;21;52;4;1268;11;0;1770;756;2179;1237;1429;57;40;148;6;0;70;1;35;5;82;11;15;43;22;3;72;2;140;2;50;0;0;0;0;31;34;0;34;5;0;29;3;85;16;15;0;4;51;83;12;32;0;0;77;0;0;0;3;13;0;0;387;0;0;22;0;11;0;2;3;0;66;39;37;9;52;135;4;28;29;0;11;22;1;3;2;0;0;0;0;0;0;28;7;7;3;0;1;1;0;7;0;0;0;0;0;0;0;35;0;0;1;0;0;0;6;76;0;0;2;14;0;98;0;1;0;40;0;7;0;72;1;0;0;17;4;0;0;0;16;20;0;29;0;0;0;9;0;0;0;2;1;0;0;2;0;1;47;0;0;0;0;0;5;0;0;0;14;0;5;0;14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;9;5;101;0;0;65;47;0;73;0;95;75;129;0;0;0;0;0;0;0;0;124;0;119;49;4;0;3;0;22;0;0;0;0;0;0;182;0;24;83;1;0;2;74;114;0;0;0;121;0;0;161;121;133;61;107;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;51;2;0;1;0;198;37;0;51;0;177;77;329;0;0;2;0;1;2;0;0;277;0;206;89;0;0;3;3;1;4;0;1;2;0;4;170;21;45;0;1;1;0;173;197;1;2;0;218;1;2;107;193;281;185;244;0;0;2;3;0;3;0;1;0;0;0;0;1;0;38;0;0;2;0;2;0;0;0;0;3;2;5;0;0;0;0;1;1;0;0;0;0;2;0;4;0;0;0;1;0;0;0;3;1;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;1;1;0;1;0;0;5;0;0;3;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;4;0;0;0;0;1;17;0;6;0;19;5;41;0;0;0;0;0;0;0;0;18;0;24;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;30;0;0;3;27;31;9;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;107;1;638;0;0;678;178;2;621;0;1767;1144;2050;3;0;0;0;13;0;0;0;1896;0;1693;661;1;0;1;0;43;2;0;1;1;0;23;3248;267;89;501;0;0;313;1757;1696;0;0;0;1917;1;0;2972;510;2834;1623;1781;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;2;2;2;2;2;2;2;2;8;0;0;2;0;0;0;0;0;2;0;0;0;1;0;3;0;0;0;1;0;4;0;1;0;24;235;1;0;2;0;0;83;0;1;0;0;0;1;0;0;3;0;0;0;0;0;1;0;1;169;0;0;0;2;4;0;0;0;2;0;2;0;0;1;0;1;0;0;0;0;0;0;0;3;1;2;0;1;0;0;0;1;0;0;1;0;3;0;0;0;0;0;2;0;0;3;0;1;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;3;0;0;0;1;0;2;0;0;2;0;0;1;1;0;0;0;0;0;0;0;4;0;0;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;379;232;165;2;1;3418;255;0;599;0;5806;3293;191;0;18;14;5;0;7;0;8;8384;13;9106;1907;17;2;6;9;143;23;1;10;7;1;9;9271;14;1054;818;5;1;1447;2427;8805;19;15;25;8401;4;0;7499;2557;10941;7116;8248;1;12;16;2;0;12;1;1;2;9;5;0;4;5;0;4;6;23;1;22;0;0;0;0;5;17;7;4;4;0;5;1;9;3;3;0;1;17;12;0;21;0;0;0;0;0;0;0;2;0;0;801;0;0;5;0;1;0;35;0;4;12;7;8;1;6;26;0;11;1;0;1;2;0;4;0;0;0;0;0;1;0;10;1;1;0;0;0;0;0;5;0;1;0;0;0;0;0;3;0;1;0;0;0;0;7;14;1;0;7;3;0;16;5;0;1;1;1;4;1;4;0;1;0;56;8;0;0;0;3;8;5;0;1;0;0;1;4;0;0;0;1;0;0;1;1;0;5;2;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;100;18;207;0;0;95;146;0;52;0;712;593;278;0;0;0;0;1;0;0;0;721;0;529;100;2;1;2;1;106;1;0;1;0;0;2;763;11;0;179;0;0;56;200;380;0;1;0;696;0;0;618;566;761;523;492;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;238;1190;0;28;0;3472;143;0;4;0;518;168;484;0;48;102;5;2;138;0;84;2246;0;1900;599;0;27;35;198;5;92;0;47;161;1;665;706;1412;2391;5;61;14;1;423;1527;176;257;90;1591;19;27;517;617;1374;911;1755;91;0;200;4;0;192;2;42;21;4;3;0;67;26;2136;48;2;381;26;126;0;0;0;1;7;45;28;0;3;0;52;7;90;3;1;0;47;129;157;13;83;0;0;3;0;0;0;10;6;1;0;0;0;1;12;0;11;29;0;28;0;185;132;13;0;25;170;0;146;0;0;101;46;0;5;1;0;0;0;0;0;0;120;0;16;0;0;0;0;1;284;0;4;0;138;0;0;0;21;0;0;0;0;0;0;105;339;6;0;3;143;0;180;0;0;3;66;4;0;0;184;4;0;0;226;51;0;2;0;19;108;34;12;0;0;26;10;0;0;0;0;26;0;0;0;0;0;30;0;0;0;0;2;41;0;0;3;14;5;19;1;9;0;0;345;384;0;0;0;0;11;0;0;0;8;5;29;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;1771;240;3;1;20;7883;375;0;982;0;7688;6151;5480;0;31;69;0;45;24;8;2;11467;22;6110;2355;26;55;69;73;24;75;0;70;28;0;80;14044;476;849;172;2;48;0;4277;5577;56;84;21;10154;31;29;10176;4430;14114;9434;13180;49;41;74;8;1;92;4;74;32;22;23;0;38;38;2067;31;0;78;5;67;0;3;0;30;34;57;37;0;32;0;6;22;41;8;52;0;2;55;47;50;35;2;0;6;0;0;0;0;0;27;0;0;9;22;37;0;24;1;0;25;11;11;15;36;22;56;47;14;33;34;0;50;36;23;12;3;0;0;2;0;3;25;11;9;0;3;0;0;23;38;63;0;5;0;8;0;23;0;47;0;0;25;2;3;0;4;18;27;0;22;4;0;27;0;20;58;17;0;0;0;15;1;24;2;27;1;0;5;0;17;6;0;0;0;23;0;2;1;1;4;1;2;0;2;0;0;0;1;2;1;0;0;0;0;1;1;0;0;6;0;0;0;0;2;314;92;0;0;0;24;0;1;0;1;1;0;2;0;0;1;32;0;0;0;0;0;0;0;0;0;0;0;0
29;605;2435;32;1;272;8512;826;1;1390;314;4264;2810;6048;0;65;127;5;31;71;20;31;7831;71;11267;5553;115;39;48;96;12;123;3;71;89;10;1401;8140;2208;5077;893;0;39;2245;3954;15218;121;116;97;8659;52;26;7561;4257;13313;4656;11449;55;83;118;21;0;111;3;48;31;24;44;1219;52;125;1817;52;6;108;32;145;0;0;0;25;71;48;11;11;24;1;14;4;48;1;56;0;12;123;73;28;77;0;0;1;0;0;0;0;0;28;0;4909;2093;26;33;0;24;3;44;26;14;13;11;80;37;88;71;6;54;42;0;43;40;24;0;2;419;0;0;0;0;27;21;4;0;0;0;0;24;24;724;0;0;0;3;0;24;0;48;0;1;24;0;0;0;21;61;26;0;25;4;0;52;0;0;24;22;1;0;0;50;0;24;252;1;31;0;27;2;4;1;0;0;4;24;0;0;0;0;0;0;5;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;324;0;0;0;0;24;0;0;1;0;0;0;0;0;3;0;24;0;0;0;0;0;0;0;0;0;0;0;0
30;331;306;90;1;1;1457;407;0;387;37;2695;1693;997;1;32;35;0;9;24;0;4;3300;14;2892;892;46;10;7;26;69;56;1;22;38;16;214;2706;5;727;30;0;1;751;546;2475;43;42;28;2707;2;1;2702;1430;3221;1571;2377;8;15;51;13;0;45;1;9;5;1;0;12;9;38;0;9;4;46;9;53;0;0;0;0;20;16;3;33;1;0;6;0;9;13;11;0;10;40;18;7;31;0;0;0;1;0;0;0;0;0;0;699;1;0;8;0;0;0;7;1;0;22;5;15;2;27;42;4;25;11;0;9;17;0;4;7;4;0;0;0;0;0;9;14;2;0;0;2;0;0;29;0;1;0;0;0;0;0;11;0;0;0;1;0;0;7;32;1;0;3;4;0;21;0;0;0;9;1;1;0;33;0;0;0;2;11;0;0;0;11;7;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;3;0;0;1;0;0;0;1;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
31;111;63;0;0;0;544;55;0;40;0;190;79;659;0;13;21;0;10;33;0;26;450;0;519;299;0;2;6;11;0;31;0;7;48;0;66;479;153;350;0;2;0;0;326;485;38;29;0;534;19;7;450;420;620;330;694;14;0;29;2;0;31;0;2;7;0;0;0;17;4;921;4;0;61;2;37;0;0;0;0;5;12;1;0;12;0;11;15;9;2;0;0;3;39;9;9;18;0;0;0;0;0;0;0;2;6;0;1;0;0;1;0;0;2;0;2;0;22;20;16;0;12;34;4;25;0;0;11;3;3;0;0;0;0;0;0;0;0;23;1;4;0;0;0;2;0;18;0;0;0;13;0;0;0;1;0;0;0;0;0;0;13;42;1;0;1;8;0;19;0;0;0;6;1;0;1;36;1;1;0;4;19;0;0;0;0;14;6;1;0;2;1;0;0;0;0;0;9;2;0;0;0;0;3;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;29;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
