"cell_id";"species";"observations";"guild";"status";"record.type"
51;"Acanthis_flammea";14;"birds";"Exotic";"TIER1"
52;"Acanthis_flammea";4;"birds";"Exotic";"TIER1"
53;"Acanthis_flammea";44;"birds";"Exotic";"TIER1"
54;"Acanthis_flammea";17;"birds";"Exotic";"TIER1"
55;"Acanthis_flammea";11;"birds";"Exotic";"TIER1"
1;"Acanthisitta_chloris";1;"birds";"Native";"TIER1"
4;"Acanthisitta_chloris";2;"birds";"Native";"TIER1"
7;"Acanthisitta_chloris";1;"birds";"Native";"TIER1"
8;"Acanthisitta_chloris";2;"birds";"Native";"TIER1"
9;"Acanthisitta_chloris";3;"birds";"Native";"TIER1"
10;"Acanthisitta_chloris";5;"birds";"Native";"TIER1"
12;"Acanthisitta_chloris";6;"birds";"Native";"TIER1"
13;"Acanthisitta_chloris";9;"birds";"Native";"TIER1"
14;"Acanthisitta_chloris";8;"birds";"Native";"TIER1"
15;"Acanthisitta_chloris";28;"birds";"Native";"TIER1"
16;"Acanthisitta_chloris";17;"birds";"Native";"TIER1"
18;"Acanthisitta_chloris";13;"birds";"Native";"TIER1"
19;"Acanthisitta_chloris";35;"birds";"Native";"TIER1"
20;"Acanthisitta_chloris";9;"birds";"Native";"TIER1"
25;"Acanthisitta_chloris";6;"birds";"Native";"TIER1"
27;"Acanthisitta_chloris";96;"birds";"Native";"TIER1"
28;"Acanthisitta_chloris";19;"birds";"Native";"TIER1"
29;"Acanthisitta_chloris";8;"birds";"Native";"TIER1"
30;"Acanthisitta_chloris";26;"birds";"Native";"TIER1"
31;"Acanthisitta_chloris";12;"birds";"Native";"TIER1"
32;"Acanthisitta_chloris";117;"birds";"Native";"TIER1"
33;"Acanthisitta_chloris";23;"birds";"Native";"TIER1"
36;"Acanthisitta_chloris";4;"birds";"Native";"TIER1"
37;"Acanthisitta_chloris";40;"birds";"Native";"TIER1"
38;"Acanthisitta_chloris";48;"birds";"Native";"TIER1"
40;"Acanthisitta_chloris";18;"birds";"Native";"TIER1"
41;"Acanthisitta_chloris";61;"birds";"Native";"TIER1"
42;"Acanthisitta_chloris";4;"birds";"Native";"TIER1"
45;"Acanthisitta_chloris";24;"birds";"Native";"TIER1"
46;"Acanthisitta_chloris";78;"birds";"Native";"TIER1"
47;"Acanthisitta_chloris";8;"birds";"Native";"TIER1"
49;"Acanthisitta_chloris";122;"birds";"Native";"TIER1"
50;"Acanthisitta_chloris";25;"birds";"Native";"TIER1"
51;"Acanthisitta_chloris";10;"birds";"Native";"TIER1"
53;"Acanthisitta_chloris";25;"birds";"Native";"TIER1"
54;"Acanthisitta_chloris";12;"birds";"Native";"TIER1"
55;"Acanthisitta_chloris";14;"birds";"Native";"TIER1"
1;"Acridotheres_tristis";3;"birds";"Exotic";"TIER1"
2;"Acridotheres_tristis";12;"birds";"Exotic";"TIER1"
4;"Acridotheres_tristis";10;"birds";"Exotic";"TIER1"
5;"Acridotheres_tristis";12;"birds";"Exotic";"TIER1"
6;"Acridotheres_tristis";1;"birds";"Exotic";"TIER1"
7;"Acridotheres_tristis";3;"birds";"Exotic";"TIER1"
8;"Acridotheres_tristis";1;"birds";"Exotic";"TIER1"
9;"Acridotheres_tristis";2;"birds";"Exotic";"TIER1"
10;"Acridotheres_tristis";9;"birds";"Exotic";"TIER1"
14;"Acridotheres_tristis";2;"birds";"Exotic";"TIER1"
15;"Acridotheres_tristis";1;"birds";"Exotic";"TIER1"
20;"Acridotheres_tristis";3;"birds";"Exotic";"TIER1"
5;"Anas_chlorotis";2;"birds";"Native";"TIER1"
