"cell_id";"species";"observations"
15;"Chroicocephalus_novaehollandiae";20
15;"Fringilla_coelebs";3
15;"Gerygone_igata";3
15;"Passer_domesticus";4
15;"Rhipidura_fuliginosa";2
15;"Turdus_merula";2
16;"Acridotheres_tristis";12
16;"Anthus_novaeseelandiae";6
16;"Branta_canadensis";5
16;"Carduelis_carduelis";7
16;"Chloris_chloris";1
16;"Chroicocephalus_novaehollandiae";10
16;"Fringilla_coelebs";9
16;"Gerygone_igata";8
16;"Meleagris_gallopavo";8
16;"Passer_domesticus";13
16;"Petroica_macrocephala";1
16;"Phasianus_colchicus";5
16;"Porphyrio_melanotus";4
16;"Prosthemadera_novaeseelandiae";3
16;"Pseudopanax_lessonii";1
16;"Rhipidura_fuliginosa";5
16;"Sturnus_vulgaris";3
16;"Tadorna_variegata";6
16;"Turdus_merula";7
16;"Turdus_philomelos";6
16;"Zosterops_lateralis";2
17;"Acridotheres_tristis";1
17;"Branta_canadensis";1
17;"Chroicocephalus_novaehollandiae";3
17;"Fringilla_coelebs";2
17;"Gerygone_igata";1
17;"Passer_domesticus";1
17;"Phasianus_colchicus";1
17;"Platycercus_eximius";1
17;"Porphyrio_melanotus";1
17;"Rhipidura_fuliginosa";1
17;"Sturnus_vulgaris";1
17;"Tadorna_variegata";1
17;"Turdus_merula";1
17;"Turdus_philomelos";1
17;"Zosterops_lateralis";1
18;"Acridotheres_tristis";3
18;"Anthus_novaeseelandiae";28
18;"Carduelis_carduelis";13
18;"Chloris_chloris";12
18;"Chroicocephalus_novaehollandiae";43
18;"Fringilla_coelebs";15
18;"Gerygone_igata";1
18;"Hemiphaga_novaeseelandiae";1
18;"Meleagris_gallopavo";1
18;"Passer_domesticus";16
18;"Phasianus_colchicus";1
18;"Porphyrio_melanotus";1
18;"Prosthemadera_novaeseelandiae";2
18;"Rhipidura_fuliginosa";1
18;"Sturnus_vulgaris";2
18;"Tadorna_variegata";3
18;"Turdus_merula";1
19;"Acridotheres_tristis";15
19;"Anthus_novaeseelandiae";4
19;"Branta_canadensis";9
19;"Carduelis_carduelis";6
19;"Chloris_chloris";1
19;"Chroicocephalus_novaehollandiae";17
19;"Fringilla_coelebs";13
19;"Gerygone_igata";10
19;"Meleagris_gallopavo";3
19;"Passer_domesticus";20
19;"Phasianus_colchicus";2
19;"Porphyrio_melanotus";2
19;"Rhipidura_fuliginosa";13
19;"Sturnus_vulgaris";11
19;"Tadorna_variegata";8
19;"Turdus_merula";15
19;"Turdus_philomelos";5
19;"Zosterops_lateralis";10
20;"Acanthis_flammea";1
20;"Acridotheres_tristis";36
20;"Anthus_novaeseelandiae";7
20;"Branta_canadensis";2
20;"Carduelis_carduelis";5
20;"Chloris_chloris";2
20;"Chroicocephalus_novaehollandiae";37
20;"Fringilla_coelebs";23
20;"Gerygone_igata";13
20;"Meleagris_gallopavo";3
20;"Passer_domesticus";39
20;"Petroica_macrocephala";2
20;"Phasianus_colchicus";3
20;"Platycercus_eximius";5
20;"Porphyrio_melanotus";4
20;"Prosthemadera_novaeseelandiae";7
20;"Rhipidura_fuliginosa";13
20;"Sturnus_vulgaris";19
20;"Tadorna_variegata";16
20;"Turdus_merula";28
