values,cell_id,X,Y
0,"1",2450138.39959285,6706420.99884731
0,"2",2550138.39959285,6706420.99884731
0,"3",2650138.39959285,6706420.99884731
0,"4",2550138.39959285,6606420.99884731
0,"5",2650138.39959285,6606420.99884731
0,"6",2550138.39959285,6506420.99884731
0,"7",2650138.39959285,6506420.99884731
0,"8",2750138.39959285,6506420.99884731
0,"9",2650138.39959285,6406420.99884731
0,"10",2750138.39959285,6406420.99884731
0,"11",2850138.39959285,6406420.99884731
0,"12",2950138.39959285,6406420.99884731
0,"13",2650138.39959285,6306420.99884731
0,"14",2750138.39959285,6306420.99884731
0,"15",2850138.39959285,6306420.99884731
0,"16",2950138.39959285,6306420.99884731
0,"17",2550138.39959285,6206420.99884731
0,"18",2650138.39959285,6206420.99884731
0,"19",2750138.39959285,6206420.99884731
0,"20",2850138.39959285,6206420.99884731
0,"21",2950138.39959285,6206420.99884731
0,"22",2450138.39959285,6106420.99884731
0,"23",2550138.39959285,6106420.99884731
0,"24",2650138.39959285,6106420.99884731
0,"25",2750138.39959285,6106420.99884731
0,"26",2850138.39959285,6106420.99884731
0,"27",2450138.39959285,6006420.99884731
0,"28",2550138.39959285,6006420.99884731
0,"29",2650138.39959285,6006420.99884731
0,"30",2750138.39959285,6006420.99884731
0,"31",2350138.39959285,5906420.99884731
0,"32",2450138.39959285,5906420.99884731
0,"33",2550138.39959285,5906420.99884731
0,"34",2650138.39959285,5906420.99884731
0,"35",2750138.39959285,5906420.99884731
0,"36",2250138.39959285,5806420.99884731
0,"37",2350138.39959285,5806420.99884731
0,"38",2450138.39959285,5806420.99884731
0,"39",2550138.39959285,5806420.99884731
0,"40",2150138.39959285,5706420.99884731
0,"41",2250138.39959285,5706420.99884731
0,"42",2350138.39959285,5706420.99884731
0,"43",2450138.39959285,5706420.99884731
0,"44",2550138.39959285,5706420.99884731
0,"45",2050138.39959285,5606420.99884731
0,"46",2150138.39959285,5606420.99884731
0,"47",2250138.39959285,5606420.99884731
0,"48",2350138.39959285,5606420.99884731
0,"49",2050138.39959285,5506420.99884731
0,"50",2150138.39959285,5506420.99884731
0,"51",2250138.39959285,5506420.99884731
0,"52",2350138.39959285,5506420.99884731
0,"53",2050138.39959285,5406420.99884731
0,"54",2150138.39959285,5406420.99884731
0,"55",2250138.39959285,5406420.99884731
"0","1","1539971.000931686","6144224.144649919"
"0","2","1639971.000931686","6144224.144649919"
"0","3","1739971.000931686","6144224.144649919"
"0","4","1639971.000931686","6044224.144649919"
"0","5","1739971.000931686","6044224.144649919"
"0","6","1639971.000931686","5944224.144649919"
"0","7","1739971.000931686","5944224.144649919"
"0","8","1839971.000931687","5944224.144649919"
"0","9","1739971.000931686","5844224.144649919"
"0","10","1839971.000931687","5844224.144649919"
"0","11","1939971.000931687","5844224.144649919"
"0","12","2039971.000931687","5844224.144649919"
"0","13","1739971.000931686","5744224.144649919"
"0","14","1839971.000931687","5744224.144649919"
"0","15","1939971.000931687","5744224.144649919"
"0","16","2039971.000931687","5744224.144649919"
"0","17","1639971.000931686","5644224.144649919"
"0","18","1739971.000931686","5644224.144649919"
"0","19","1839971.000931687","5644224.144649919"
"0","20","1939971.000931687","5644224.144649919"
"0","21","2039971.000931687","5644224.144649919"
"0","22","1539971.000931686","5544224.144649919"
"0","23","1639971.000931686","5544224.144649919"
"0","24","1739971.000931686","5544224.144649919"
"0","25","1839971.000931687","5544224.144649919"
"0","26","1939971.000931687","5544224.144649919"
"0","27","1539971.000931686","5444224.144649919"
"0","28","1639971.000931686","5444224.144649919"
"0","29","1739971.000931686","5444224.144649919"
"0","30","1839971.000931687","5444224.144649919"
"0","31","1439971.000931686","5344224.144649919"
"0","32","1539971.000931686","5344224.144649919"
"0","33","1639971.000931686","5344224.144649919"
"0","34","1739971.000931686","5344224.144649919"
"0","35","1839971.000931687","5344224.144649919"
"0","36","1339971.000931686","5244224.144649919"
"0","37","1439971.000931686","5244224.144649919"
"0","38","1539971.000931686","5244224.144649919"
"0","39","1639971.000931686","5244224.144649919"
"0","40","1239971.000931686","5144224.144649919"
"0","41","1339971.000931686","5144224.144649919"
"0","42","1439971.000931686","5144224.144649919"
"0","43","1539971.000931686","5144224.144649919"
"0","44","1639971.000931686","5144224.144649919"
"0","45","1139971.000931686","5044224.144649919"
"0","46","1239971.000931686","5044224.144649919"
"0","47","1339971.000931686","5044224.144649919"
"0","48","1439971.000931686","5044224.144649919"
"0","49","1139971.000931686","4944224.144649919"
"0","50","1239971.000931686","4944224.144649919"
"0","51","1339971.000931686","4944224.144649919"
"0","52","1439971.000931686","4944224.144649919"
"0","53","1139971.000931686","4844224.144649919"
"0","54","1239971.000931686","4844224.144649919"
"0","55","1339971.000931686","4844224.144649919"
