"species";"1";"2";"3";"4";"5";"14";"15";"16";"17";"18";"28";"29";"30";"31";"32";"33";"43";"44";"45";"46";"57";"58";"59";"60";"71";"72";"73";"74";"75";"84";"85";"86";"87";"88";"89";"99";"100";"101";"102";"103";"113";"114";"115";"116";"117";"125";"126";"127";"129";"130";"138";"139";"140";"150";"151";"152";"163"
"Acanthisitta_chloris";39;275;51;70;287;28;1062;24;0;6;35;410;279;91;0;39;24;19;496;4;4;175;75;61;171;695;170;1994;125;0;2;0;2;178;17;111;42;322;194;5;64;169;23;6;0;0;3;20;1;0;1;2;0;0;1;0;0
"Anthornis_melanura";82;227;88;553;684;53;344;118;3;38;41;168;70;152;4;289;61;96;260;851;43;198;331;114;107;650;672;272;82;0;14;0;202;419;15;42;86;116;107;15;40;255;34;33;0;0;15;114;0;0;2;218;22;0;1;3;0
"Anthus_novaeseelandiae";19;142;77;118;53;19;257;195;53;27;6;156;248;90;57;193;21;68;211;359;15;54;422;255;44;158;186;551;282;1;18;1;118;100;85;63;31;343;117;26;93;87;14;15;2;17;359;26;11;4;190;340;2;60;129;79;136
"Branta_canadensis";7;94;32;144;89;8;469;43;20;140;1;50;246;230;192;449;10;45;64;1695;3;38;146;220;3;67;442;565;66;0;15;0;363;136;28;390;12;110;203;23;289;500;48;7;3;2;864;186;3;0;43;163;3;42;9;1;17
"Cyanoramphus_auriceps";27;26;29;16;1;8;474;9;0;0;16;174;6;0;0;0;11;2;98;1;5;65;20;0;37;234;12;66;13;0;0;0;2;5;0;1;13;115;14;0;3;418;29;0;0;0;1;2;0;0;0;0;0;0;0;0;0
"Cyanoramphus_novaezelandiae";1;162;5;6;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;171;2;0;0;0;0;2;5;0;0;1;8;0;0;3;0;0;0;0;16;0;0;0;0;187;0;0;1;0;0
"Finschia_novaeseelandiae";49;1309;466;488;426;233;654;49;0;61;39;236;27;161;0;316;68;130;338;18;30;95;205;202;142;206;389;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Fringilla_coelebs";38;102;103;449;168;17;286;161;29;58;16;108;142;151;77;268;33;53;273;940;19;84;160;131;23;336;968;423;178;0;12;0;212;462;14;137;75;166;88;14;108;333;27;24;0;8;601;138;0;0;39;258;40;10;139;4;6
"Gallirallus_australis";4;6;3;0;0;540;318;5;0;0;105;23;1;1;0;0;21;308;70;0;439;513;109;1;504;1849;682;6;0;0;12;0;0;0;1;0;0;0;0;0;0;1;131;58;0;0;26;0;1;0;1;4;0;0;280;0;0
"Gerygone_igata";47;89;73;289;246;27;251;89;19;49;21;95;111;113;75;204;49;68;182;451;35;105;87;90;63;216;550;388;86;1;11;0;208;524;9;216;107;173;62;21;152;385;32;34;0;9;1228;167;0;0;76;507;28;18;209;13;16
"Hemiphaga_novaeseelandiae";17;117;62;146;740;3;130;66;0;46;15;39;14;94;1;119;59;74;32;304;43;83;37;21;44;450;132;772;81;0;12;0;172;343;17;347;108;103;87;21;127;292;35;28;0;0;1431;206;0;0;116;532;21;0;142;5;0
"Hymenolaimus_malacorhynchos";1;2;0;0;0;17;292;2;0;0;40;33;1;0;0;0;13;72;25;0;4;12;8;0;82;146;0;0;2;0;0;0;2;67;0;41;114;574;65;0;1;8;34;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"Mohoua_ochrocephala";2;1;36;76;0;5;249;3;0;0;67;164;6;0;0;0;0;0;40;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Nestor_meridionalis";33;1;4;1;203;53;338;2;0;0;29;64;11;0;0;0;6;1;40;0;5;64;64;0;93;170;4;45;79;0;0;0;2;4;5;5;2;87;117;0;38;426;107;1;0;1;146;104;0;0;6;770;44;1;3;6;0
"Nestor_notabilis";47;11;1;0;1;322;1411;76;0;0;109;408;174;1;1;1;262;74;1067;0;4;59;29;9;48;274;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Petroica_australis";72;68;1;5;346;11;1061;50;0;0;41;54;1;0;0;0;89;29;377;2;33;409;117;59;401;691;106;4;0;0;10;0;126;17;12;174;218;249;192;0;52;805;125;17;0;0;38;33;1;0;1;381;0;0;20;0;0
"Petroica_macrocephala";222;178;145;139;239;118;746;123;4;11;77;391;185;56;2;138;171;158;391;42;69;203;162;23;356;600;310;470;144;0;8;0;113;428;8;204;189;336;116;14;194;412;128;25;0;0;132;109;0;1;16;400;1;8;215;17;4
"Prosthemadera_novaeseelandiae";5;150;32;117;387;1;199;43;0;12;6;42;10;24;0;31;34;13;2;5;22;29;58;11;63;290;166;610;115;0;7;0;206;561;21;233;102;133;114;16;178;375;36;41;0;12;1671;144;0;0;66;555;14;8;169;13;0
"Rhipidura_fuliginosa";28;124;80;122;331;13;307;93;7;40;14;116;65;77;61;174;66;30;236;640;28;77;71;69;80;389;791;352;128;0;16;0;207;511;10;213;66;119;74;17;172;320;15;40;0;1;937;85;0;0;71;415;14;10;142;11;7
