"species";"1";"2";"3";"4";"5";"14";"15";"16";"17";"18";"28";"29";"30";"31";"32";"33";"43";"44";"45";"46";"57";"58";"59";"60";"71";"72";"73";"74";"75";"84";"85";"87";"88";"89";"99";"100";"101";"102";"103";"113";"114";"115";"116";"117";"125";"126";"127";"129";"130";"138";"139";"140";"150";"151";"152";"163"
"Alepis_flavida";1;1;0;0;0;0;44;6;0;0;2;2;8;0;1;0;0;2;61;3;0;8;19;0;1;1;0;0;0;0;0;0;0;0;0;2;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Androstoma_empetrifolia";1;3;3;20;25;0;19;0;1;0;0;2;0;0;0;0;0;1;6;0;1;20;5;0;7;5;1;30;1;0;0;0;1;0;0;0;25;5;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Aristotelia_serrata";1;18;10;18;120;2;22;12;0;8;5;30;0;14;0;20;5;12;97;103;21;61;8;5;81;51;21;111;5;0;2;3;10;0;20;10;22;22;5;29;57;14;1;0;0;28;18;0;0;3;6;2;0;4;0;0
"Ascarina_lucida";3;0;0;0;0;2;0;0;0;0;7;21;0;0;0;0;17;19;0;0;14;19;0;0;23;24;2;37;1;0;11;0;0;0;1;0;0;0;0;0;2;1;0;0;0;3;1;0;0;0;6;0;0;2;0;0
"Astelia_nervosa";7;3;4;39;25;1;17;12;0;1;0;18;0;1;0;0;0;6;71;3;5;59;32;0;18;26;1;24;5;0;0;0;7;0;5;0;11;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
"Astelia_nivicola";5;1;0;0;0;2;7;7;0;0;0;0;1;1;0;0;1;0;1;0;2;4;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Carpodetus_serratus";2;12;12;16;66;0;20;14;1;6;2;52;0;2;0;21;20;13;85;56;23;44;16;4;143;45;22;134;7;0;2;3;15;0;48;23;46;30;3;48;18;42;7;0;0;208;12;0;0;7;30;1;1;4;0;1
"Coprosma_cheesemanii";3;2;0;16;6;1;17;7;5;0;0;0;4;0;0;0;0;2;8;0;1;9;10;0;3;6;0;1;0;0;0;0;0;0;0;0;22;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Coprosma_colensoi";2;1;2;2;0;0;12;1;0;0;0;20;0;0;0;0;2;3;4;1;2;15;1;0;47;4;1;21;8;0;1;0;0;0;2;0;4;12;0;15;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0
