values,cell_id,X,Y
0,"1",1564971.00093169,6189224.14464992
0,"2",1574971.00093169,6189224.14464992
0,"3",1584971.00093169,6189224.14464992
0,"4",1594971.00093169,6189224.14464992
0,"5",1604971.00093169,6189224.14464992
0,"6",1564971.00093169,6179224.14464992
0,"7",1574971.00093169,6179224.14464992
0,"8",1584971.00093169,6179224.14464992
0,"9",1594971.00093169,6179224.14464992
0,"10",1604971.00093169,6179224.14464992
0,"11",1584971.00093169,6169224.14464992
0,"12",1594971.00093169,6169224.14464992
0,"13",1604971.00093169,6169224.14464992
0,"14",1584971.00093169,6159224.14464992
0,"15",1594971.00093169,6159224.14464992
0,"16",1604971.00093169,6159224.14464992
0,"17",1614971.00093169,6159224.14464992
0,"18",1594971.00093169,6149224.14464992
0,"19",1604971.00093169,6149224.14464992
0,"20",1614971.00093169,6149224.14464992
0,"21",1634971.00093169,6149224.14464992
0,"22",1644971.00093169,6149224.14464992
0,"23",1604971.00093169,6139224.14464992
0,"24",1614971.00093169,6139224.14464992
0,"25",1624971.00093169,6139224.14464992
0,"26",1634971.00093169,6139224.14464992
0,"27",1644971.00093169,6139224.14464992
0,"28",1654971.00093169,6139224.14464992
0,"29",1614971.00093169,6129224.14464992
0,"30",1624971.00093169,6129224.14464992
0,"31",1634971.00093169,6129224.14464992
0,"32",1644971.00093169,6129224.14464992
0,"33",1654971.00093169,6129224.14464992
0,"34",1664971.00093169,6129224.14464992
0,"35",1674971.00093169,6129224.14464992
0,"36",1684971.00093169,6129224.14464992
0,"37",1614971.00093169,6119224.14464992
0,"38",1624971.00093169,6119224.14464992
0,"39",1634971.00093169,6119224.14464992
0,"40",1644971.00093169,6119224.14464992
0,"41",1654971.00093169,6119224.14464992
0,"42",1664971.00093169,6119224.14464992
0,"43",1674971.00093169,6119224.14464992
0,"44",1684971.00093169,6119224.14464992
0,"45",1604971.00093169,6109224.14464992
0,"46",1614971.00093169,6109224.14464992
0,"47",1624971.00093169,6109224.14464992
0,"48",1634971.00093169,6109224.14464992
0,"49",1644971.00093169,6109224.14464992
0,"50",1654971.00093169,6109224.14464992
0,"51",1664971.00093169,6109224.14464992
0,"52",1674971.00093169,6109224.14464992
0,"53",1684971.00093169,6109224.14464992
0,"54",1694971.00093169,6109224.14464992
0,"55",1704971.00093169,6109224.14464992
0,"56",1714971.00093169,6109224.14464992
0,"57",1724971.00093169,6109224.14464992
0,"58",1604971.00093169,6099224.14464992
0,"59",1614971.00093169,6099224.14464992
0,"60",1624971.00093169,6099224.14464992
0,"61",1634971.00093169,6099224.14464992
0,"62",1644971.00093169,6099224.14464992
0,"63",1654971.00093169,6099224.14464992
0,"64",1664971.00093169,6099224.14464992
0,"65",1674971.00093169,6099224.14464992
0,"66",1684971.00093169,6099224.14464992
0,"67",1694971.00093169,6099224.14464992
0,"68",1704971.00093169,6099224.14464992
0,"69",1714971.00093169,6099224.14464992
0,"70",1724971.00093169,6099224.14464992
0,"71",1614971.00093169,6089224.14464992
0,"72",1624971.00093169,6089224.14464992
