"cell_id";"guild";"status";"richness"
1;"birds";"Exotic";13
1;"birds";"Native";16
1;"plants";"Native";27
2;"birds";"Exotic";13
2;"birds";"Native";17
2;"plants";"Exotic";7
2;"plants";"Native";62
3;"birds";"Exotic";12
3;"birds";"Native";18
3;"plants";"Exotic";4
3;"plants";"Native";34
4;"birds";"Exotic";14
4;"birds";"Native";17
4;"plants";"Exotic";5
4;"plants";"Native";74
5;"birds";"Exotic";13
5;"birds";"Native";21
5;"plants";"Exotic";4
5;"plants";"Native";64
6;"birds";"Exotic";13
6;"birds";"Native";8
6;"plants";"Native";1
7;"birds";"Exotic";14
7;"birds";"Native";23
7;"plants";"Exotic";24
7;"plants";"Native";89
8;"birds";"Exotic";14
8;"birds";"Native";21
8;"plants";"Exotic";12
8;"plants";"Native";80
9;"birds";"Exotic";14
9;"birds";"Native";18
9;"plants";"Exotic";9
9;"plants";"Native";71
10;"birds";"Exotic";14
10;"birds";"Native";21
10;"plants";"Exotic";21
10;"plants";"Native";90
11;"birds";"Exotic";13
11;"birds";"Native";18
11;"plants";"Exotic";5
11;"plants";"Native";31
12;"birds";"Exotic";12
12;"birds";"Native";17
12;"plants";"Exotic";7
12;"plants";"Native";77
13;"birds";"Exotic";13
13;"birds";"Native";19
13;"plants";"Exotic";4
13;"plants";"Native";73
14;"birds";"Exotic";14
14;"birds";"Native";22
14;"plants";"Exotic";13
14;"plants";"Native";90
14;"plants";NA;1
15;"birds";"Exotic";13
15;"birds";"Native";20
15;"plants";"Exotic";11
15;"plants";"Native";87
15;"plants";NA;1
16;"birds";"Exotic";13
16;"birds";"Native";18
16;"plants";"Exotic";7
16;"plants";"Native";78
17;"birds";"Exotic";14
17;"birds";"Native";17
17;"plants";"Exotic";4
17;"plants";"Native";62
18;"birds";"Exotic";14
18;"birds";"Native";21
18;"plants";"Exotic";15
18;"plants";"Native";88
18;"plants";NA;1
19;"birds";"Exotic";14
19;"birds";"Native";19
19;"plants";"Exotic";12
19;"plants";"Native";103
20;"birds";"Exotic";14
20;"birds";"Native";21
20;"plants";"Exotic";9
20;"plants";"Native";96
21;"birds";"Exotic";13
21;"birds";"Native";13
21;"plants";"Exotic";2
21;"plants";"Native";8
22;"birds";"Exotic";10
22;"birds";"Native";18
22;"plants";"Exotic";3
22;"plants";"Native";47
23;"birds";"Exotic";9
23;"birds";"Native";8
24;"birds";"Exotic";14
24;"birds";"Native";19
24;"plants";"Exotic";28
24;"plants";"Native";33
24;"plants";NA;1
25;"birds";"Exotic";14
25;"birds";"Native";18
25;"plants";"Exotic";14
25;"plants";"Native";93
25;"plants";NA;1
26;"birds";"Exotic";13
26;"birds";"Native";16
26;"plants";"Exotic";3
26;"plants";"Native";18
27;"birds";"Exotic";12
27;"birds";"Native";20
27;"plants";"Exotic";7
27;"plants";"Native";104
28;"birds";"Exotic";12
28;"birds";"Native";24
28;"plants";"Exotic";26
28;"plants";"Native";102
28;"plants";NA;1
29;"birds";"Exotic";14
29;"birds";"Native";26
29;"plants";"Exotic";20
29;"plants";"Native";95
30;"birds";"Exotic";14
30;"birds";"Native";22
30;"plants";"Exotic";7
30;"plants";"Native";92
30;"plants";NA;1
31;"birds";"Exotic";9
31;"birds";"Native";20
31;"plants";"Exotic";9
31;"plants";"Native";77
32;"birds";"Exotic";10
32;"birds";"Native";20
32;"plants";"Exotic";8
32;"plants";"Native";92
33;"birds";"Exotic";11
33;"birds";"Native";18
33;"plants";"Exotic";20
33;"plants";"Native";104
34;"birds";"Exotic";11
34;"birds";"Native";13
34;"plants";"Exotic";4
34;"plants";"Native";25
35;"birds";"Exotic";8
35;"birds";"Native";8
35;"plants";"Native";1
36;"birds";"Exotic";9
36;"birds";"Native";19
36;"plants";"Exotic";9
36;"plants";"Native";68
37;"birds";"Exotic";10
37;"birds";"Native";22
37;"plants";"Exotic";21
37;"plants";"Native";106
38;"birds";"Exotic";12
38;"birds";"Native";21
38;"plants";"Exotic";18
38;"plants";"Native";97
39;"birds";"Exotic";11
39;"birds";"Native";15
39;"plants";"Exotic";4
39;"plants";"Native";25
40;"birds";"Exotic";9
40;"birds";"Native";20
40;"plants";"Exotic";1
40;"plants";"Native";85
41;"birds";"Exotic";10
41;"birds";"Native";21
41;"plants";"Exotic";11
41;"plants";"Native";95
42;"birds";"Exotic";11
42;"birds";"Native";15
42;"plants";"Exotic";16
42;"plants";"Native";79
43;"birds";"Exotic";14
43;"birds";"Native";17
43;"plants";"Exotic";31
43;"plants";"Native";78
43;"plants";NA;1
44;"birds";"Exotic";10
44;"birds";"Native";13
44;"plants";"Exotic";8
44;"plants";"Native";52
45;"birds";"Exotic";8
45;"birds";"Native";19
45;"plants";"Native";63
46;"birds";"Exotic";11
46;"birds";"Native";21
46;"plants";"Exotic";8
46;"plants";"Native";95
47;"birds";"Exotic";11
47;"birds";"Native";19
47;"plants";"Exotic";8
47;"plants";"Native";39
48;"birds";"Exotic";11
48;"birds";"Native";14
48;"plants";"Exotic";5
48;"plants";"Native";47
49;"birds";"Exotic";11
49;"birds";"Native";24
49;"plants";"Exotic";4
49;"plants";"Native";93
50;"birds";"Exotic";11
50;"birds";"Native";20
50;"plants";"Exotic";2
50;"plants";"Native";76
51;"birds";"Exotic";13
51;"birds";"Native";20
51;"plants";"Exotic";13
51;"plants";"Native";57
52;"birds";"Exotic";14
52;"birds";"Native";19
52;"plants";"Exotic";17
52;"plants";"Native";63
52;"plants";NA;1
53;"birds";"Exotic";9
53;"birds";"Native";23
53;"plants";"Exotic";3
53;"plants";"Native";76
54;"birds";"Exotic";12
54;"birds";"Native";23
54;"plants";"Exotic";11
54;"plants";"Native";69
54;"plants";NA;1
55;"birds";"Exotic";13
55;"birds";"Native";21
55;"plants";"Exotic";1
55;"plants";"Native";49
