grid_id,name,macronated,grp_macron,TARGET_FID,grp_ascii,grp_name,name_ascii,X,Y
"125",North Island or Te Ika-a-M?ui,Y,N,"3",,,North Island or Te Ika-a-Maui,174.392182754601,-36.7253410085481
"126",North Island or Te Ika-a-M?ui,Y,N,"3",,,North Island or Te Ika-a-Maui,174.965142254267,-37.2301879220814
"127",North Island or Te Ika-a-M?ui,Y,N,"3",,,North Island or Te Ika-a-Maui,175.678808761598,-37.2488441834819
"129",North Island or Te Ika-a-M?ui,Y,N,"3",,,North Island or Te Ika-a-Maui,178.136124120124,-37.620699323791
"130",North Island or Te Ika-a-M?ui,Y,N,"3",,,North Island or Te Ika-a-Maui,178.465468865025,-37.6592322007781
"138",North Island or Te Ika-a-M?ui,Y,N,"3",,,North Island or Te Ika-a-Maui,174.086087100982,-35.9907948704744
"139",North Island or Te Ika-a-M?ui,Y,N,"3",,,North Island or Te Ika-a-Maui,174.599731115606,-36.317874760613
"140",North Island or Te Ika-a-M?ui,Y,N,"3",,,North Island or Te Ika-a-Maui,175.492343112418,-36.6009028604581
"150",North Island or Te Ika-a-M?ui,Y,N,"3",,,North Island or Te Ika-a-Maui,173.250084552701,-35.1039414952805
"151",North Island or Te Ika-a-M?ui,Y,N,"3",,,North Island or Te Ika-a-Maui,173.855713000427,-35.3749466070423
"152",North Island or Te Ika-a-M?ui,Y,N,"3",,,North Island or Te Ika-a-Maui,174.468185070823,-35.5890492882249
"163",North Island or Te Ika-a-M?ui,Y,N,"3",,,North Island or Te Ika-a-Maui,172.872142899749,-34.5306489160708
