"cell_id";"guild";"record.type";"richness"
116;"birds";"GBIF";21
117;"birds";"GBIF";27
117;"plants";"GBIF";1
118;"birds";"GBIF";1
118;"plants";"NVS";11
119;"birds";"GBIF";26
119;"plants";"NVS";26
120;"birds";"GBIF";17
120;"birds";"TIER1";12
120;"plants";"NVS";21
121;"birds";"GBIF";17
122;"birds";"GBIF";11
123;"birds";"GBIF";10
124;"birds";"GBIF";15
125;"birds";"GBIF";25
126;"birds";"GBIF";28
126;"birds";"TIER1";10
126;"plants";"NVS";19
127;"birds";"GBIF";25
127;"plants";"GBIF";3
128;"birds";"GBIF";19
130;"birds";"GBIF";21
130;"plants";"GBIF";14
131;"birds";"GBIF";19
131;"plants";"NVS";21
132;"birds";"GBIF";13
132;"birds";"TIER1";14
132;"plants";"GBIF";2
132;"plants";"NVS";26
133;"birds";"GBIF";20
134;"birds";"GBIF";19
134;"birds";"TIER1";18
134;"plants";"GBIF";1
134;"plants";"NVS";14
135;"birds";"GBIF";20
136;"birds";"GBIF";23
137;"birds";"GBIF";21
138;"birds";"GBIF";24
138;"birds";"TIER1";16
138;"plants";"GBIF";3
138;"plants";"NVS";29
139;"birds";"GBIF";21
140;"birds";"GBIF";7
141;"birds";"GBIF";15
141;"plants";"NVS";10
142;"birds";"GBIF";15
143;"birds";"GBIF";16
144;"birds";"GBIF";16
145;"birds";"GBIF";20
146;"birds";"GBIF";21
147;"birds";"GBIF";22
148;"birds";"GBIF";27
148;"plants";"NVS";39
149;"birds";"GBIF";28
149;"plants";"GBIF";3
149;"plants";"NVS";32
150;"birds";"GBIF";17
151;"birds";"GBIF";19
152;"birds";"GBIF";10
154;"birds";"GBIF";19
155;"birds";"GBIF";20
156;"birds";"GBIF";22
156;"plants";"NVS";15
157;"birds";"GBIF";22
158;"birds";"GBIF";8
159;"birds";"GBIF";21
160;"birds";"GBIF";11
160;"plants";"GBIF";1
161;"birds";"GBIF";17
162;"birds";"GBIF";16
163;"birds";"GBIF";19
164;"birds";"GBIF";22
165;"birds";"GBIF";26
166;"birds";"GBIF";1
167;"birds";"GBIF";18
168;"birds";"GBIF";17
169;"birds";"GBIF";20
170;"birds";"GBIF";22
171;"birds";"GBIF";21
172;"birds";"GBIF";19
173;"birds";"GBIF";23
174;"birds";"GBIF";19
174;"birds";"TIER1";13
174;"plants";"NVS";1
175;"birds";"GBIF";22
176;"birds";"GBIF";14
177;"birds";"GBIF";21
178;"birds";"GBIF";20
179;"birds";"GBIF";20
180;"birds";"GBIF";20
180;"plants";"NVS";23
181;"birds";"GBIF";24
182;"birds";"GBIF";20
183;"birds";"GBIF";21
184;"birds";"GBIF";23
185;"birds";"GBIF";22
185;"plants";"NVS";17
186;"birds";"GBIF";22
186;"plants";"NVS";33
187;"birds";"GBIF";22
188;"birds";"GBIF";21
188;"plants";"NVS";35
189;"birds";"GBIF";27
189;"plants";"NVS";35
190;"birds";"GBIF";24
