"cell_id";"ecoregion"
207;"Coromandel"
208;"Eastern Northland"
209;"Kaipara"
210;"Kaipara"
211;"Rodney"
212;"Rodney"
213;"Auckland"
214;"Auckland"
215;"Coromandel"
216;"Coromandel"
217;"Coromandel"
218;"Coromandel"
219;"Auckland"
220;"Kaipara"
221;"Rodney"
222;"Rodney"
223;"Auckland"
224;"Coromandel"
225;"Coromandel"
226;"Coromandel"
227;"Coromandel"
228;"Kaipara"
229;"Rodney"
230;"Auckland"
231;"Auckland"
232;"Auckland"
233;"Auckland"
234;"Coromandel"
235;"Auckland"
236;"Coromandel"
237;"Auckland"
238;"Auckland"
239;"Auckland"
240;"Auckland"
241;"Auckland"
242;"Auckland"
243;"Auckland"
244;"Auckland"
245;"Auckland"
246;"Coromandel"
247;"Coromandel"
248;"Coromandel"
249;"Auckland"
250;"Auckland"
251;"Auckland"
252;"Auckland"
253;"Auckland"
254;"Auckland"
255;"Auckland"
256;"Auckland"
257;"Auckland"
258;"Auckland"
259;"Auckland"
260;"Coromandel"
261;"Coromandel"
262;"Coromandel"
263;"Auckland"
264;"Auckland"
265;"Auckland"
266;"Auckland"
267;"Auckland"
268;"Auckland"
269;"Auckland"
270;"Auckland"
271;"Auckland"
272;"Coromandel"
273;"Coromandel"
274;"Coromandel"
275;"Coromandel"
276;"Auckland"
277;"Auckland"
278;"Auckland"
279;"Auckland"
280;"Auckland"
281;"Auckland"
282;"Auckland"
283;"Auckland"
284;"Coromandel"
285;"Coromandel"
286;"Coromandel"
287;"Coromandel"
288;"Auckland"
289;"Auckland"
290;"Auckland"
291;"Auckland"
292;"Auckland"
293;"Waikato"
294;"Waikato"
295;"Auckland"
296;"Waikato"
297;"Coromandel"
298;"Coromandel"
299;"Coromandel"
300;"Auckland"
301;"Auckland"
302;"Waikato"
303;"Waikato"
304;"Waikato"
305;"Waikato"
306;"Waikato"
307;"Waikato"
308;"Waikato"
309;"Waikato"
310;"Coromandel"
311;"Coromandel"
312;"Tainui"
313;"Tainui"
314;"Waikato"
315;"Waikato"
316;"Waikato"
317;"Waikato"
318;"Waikato"
319;"Waikato"
320;"Waikato"
321;"Coromandel"
322;"Coromandel"
323;"Coromandel"
324;"Tainui"
325;"Tainui"
326;"Waikato"
327;"Waikato"
328;"Waikato"
329;"Waikato"
330;"Waikato"
331;"Waikato"
332;"Waikato"
333;"Coromandel"
334;"Coromandel"
335;"Coromandel"
336;"Auckland"
337;"Tainui"
338;"Tainui"
339;"Waikato"
340;"Waikato"
341;"Waikato"
342;"Waikato"
343;"Waikato"
344;"Waikato"
345;"Waikato"
346;"Northern Volcanic Plateau"
347;"Coromandel"
348;"Auckland"
349;"Tainui"
350;"Tainui"
351;"Tainui"
352;"Waikato"
353;"Waikato"
354;"Waikato"
355;"Waikato"
356;"Waikato"
357;"Waikato"
358;"Coromandel"
359;"Northern Volcanic Plateau"
360;"Coromandel"
361;"Coromandel"
362;"East Cape"
363;"East Cape"
364;"East Cape"
365;"East Cape"
366;"East Cape"
367;"Tainui"
368;"Tainui"
369;"Waikato"
370;"Waikato"
371;"Waikato"
372;"Waikato"
373;"Waikato"
374;"Waikato"
375;"Waikato"
376;"Northern Volcanic Plateau"
377;"Northern Volcanic Plateau"
378;"Northern Volcanic Plateau"
379;"Northern Volcanic Plateau"
380;"Northern Volcanic Plateau"
381;"Coromandel"
382;"East Cape"
383;"Raukumara"
384;"East Cape"
385;"East Cape"
386;"East Cape"
387;"East Cape"
388;"East Cape"
389;"East Cape"
390;"Auckland"
391;"Tainui"
392;"Tainui"
393;"Tainui"
394;"Waikato"
395;"Waikato"
396;"Waikato"
397;"Waikato"
398;"Waikato"
399;"Waikato"
400;"Northern Volcanic Plateau"
401;"Northern Volcanic Plateau"
402;"Northern Volcanic Plateau"
403;"Northern Volcanic Plateau"
404;"Northern Volcanic Plateau"
405;"Northern Volcanic Plateau"
406;"Coromandel"
407;"Coromandel"
408;"East Cape"
409;"Raukumara"
410;"Raukumara"
411;"Raukumara"
412;"Raukumara"
413;"Raukumara"
414;"East Cape"
415;"East Cape"
416;"East Cape"
417;"Auckland"
418;"Tainui"
419;"Tainui"
420;"Waikato"
421;"Waikato"
422;"Waikato"
423;"Waikato"
424;"Waikato"
425;"Waikato"
426;"Waikato"
427;"Northern Volcanic Plateau"
428;"Northern Volcanic Plateau"
429;"Northern Volcanic Plateau"
430;"Northern Volcanic Plateau"
431;"Northern Volcanic Plateau"
432;"Northern Volcanic Plateau"
433;"Northern Volcanic Plateau"
434;"Northern Volcanic Plateau"
435;"Coromandel"
436;"Coromandel"
437;"East Cape"
438;"Raukumara"
439;"Raukumara"
440;"Raukumara"
441;"Raukumara"
442;"Raukumara"
443;"Raukumara"
444;"East Cape"
445;"East Cape"
446;"East Cape"
447;"Auckland"
448;"Tainui"
449;"Tainui"
450;"Tainui"
451;"Waikato"
452;"Waikato"
453;"Waikato"
454;"Waikato"
455;"Waikato"
456;"Waikato"
457;"Western Volcanic Plateau"
458;"Northern Volcanic Plateau"
459;"Northern Volcanic Plateau"
460;"Northern Volcanic Plateau"
461;"Northern Volcanic Plateau"
462;"Northern Volcanic Plateau"
463;"Northern Volcanic Plateau"
464;"Northern Volcanic Plateau"
465;"Whakatane"
466;"Whakatane"
467;"Whakatane"
468;"Coromandel"
469;"Coromandel"
470;"Coromandel"
471;"Raukumara"
472;"Raukumara"
473;"Raukumara"
474;"Raukumara"
475;"Raukumara"
476;"Raukumara"
477;"Raukumara"
478;"East Cape"
479;"East Cape"
480;"Auckland"
481;"Tainui"
482;"Tainui"
483;"Tainui"
484;"Tainui"
485;"Waikato"
486;"Waikato"
487;"Western Volcanic Plateau"
488;"Western Volcanic Plateau"
489;"Western Volcanic Plateau"
490;"Western Volcanic Plateau"
491;"Western Volcanic Plateau"
492;"Western Volcanic Plateau"
493;"Northern Volcanic Plateau"
494;"Northern Volcanic Plateau"
495;"Northern Volcanic Plateau"
496;"Northern Volcanic Plateau"
497;"Northern Volcanic Plateau"
498;"Whakatane"
499;"Whakatane"
500;"Whakatane"
501;"Whakatane"
502;"Whakatane"
503;"Whakatane"
504;"Raukumara"
505;"Raukumara"
506;"Raukumara"
507;"Raukumara"
508;"Raukumara"
509;"Raukumara"
510;"East Cape"
511;"East Cape"
512;"East Cape"
513;"East Cape"
514;"Auckland"
515;"Tainui"
516;"Tainui"
517;"Tainui"
518;"King Country"
519;"Waikato"
520;"Waikato"
521;"Western Volcanic Plateau"
522;"Western Volcanic Plateau"
523;"Western Volcanic Plateau"
524;"Western Volcanic Plateau"
525;"Western Volcanic Plateau"
526;"Western Volcanic Plateau"
527;"Northern Volcanic Plateau"
528;"Northern Volcanic Plateau"
529;"Northern Volcanic Plateau"
530;"Northern Volcanic Plateau"
531;"Eastern Volcanic Plateau"
532;"Eastern Volcanic Plateau"
533;"Eastern Volcanic Plateau"
534;"Whakatane"
535;"Whakatane"
536;"Raukumara"
537;"Raukumara"
538;"Raukumara"
539;"Raukumara"
540;"Raukumara"
541;"Raukumara"
542;"Raukumara"
543;"East Cape"
544;"East Cape"
545;"East Cape"
546;"East Cape"
547;"East Cape"
548;"Auckland"
549;"King Country"
550;"King Country"
551;"King Country"
552;"King Country"
553;"Waikato"
554;"Western Volcanic Plateau"
555;"Western Volcanic Plateau"
556;"Western Volcanic Plateau"
557;"Western Volcanic Plateau"
558;"Western Volcanic Plateau"
559;"Western Volcanic Plateau"
560;"Central Volcanic Plateau"
561;"Central Volcanic Plateau"
562;"Central Volcanic Plateau"
563;"Northern Volcanic Plateau"
564;"Northern Volcanic Plateau"
565;"Eastern Volcanic Plateau"
566;"Eastern Volcanic Plateau"
567;"Eastern Volcanic Plateau"
568;"Urewera"
569;"Urewera"
570;"Raukumara"
571;"Raukumara"
572;"Raukumara"
573;"Raukumara"
574;"Raukumara"
575;"East Cape"
576;"East Cape"
577;"East Cape"
578;"East Cape"
579;"East Cape"
580;"East Cape"
581;"East Cape"
582;"Tainui"
583;"Tainui"
584;"King Country"
585;"King Country"
586;"King Country"
587;"Western Volcanic Plateau"
588;"Western Volcanic Plateau"
589;"Western Volcanic Plateau"
590;"Western Volcanic Plateau"
591;"Western Volcanic Plateau"
592;"Central Volcanic Plateau"
593;"Central Volcanic Plateau"
594;"Central Volcanic Plateau"
595;"Central Volcanic Plateau"
596;"Central Volcanic Plateau"
597;"Central Volcanic Plateau"
598;"Eastern Volcanic Plateau"
599;"Eastern Volcanic Plateau"
600;"Eastern Volcanic Plateau"
601;"Urewera"
602;"Urewera"
603;"Urewera"
604;"Raukumara"
605;"Raukumara"
606;"Raukumara"
607;"Raukumara"
608;"Raukumara"
609;"East Cape"
610;"East Cape"
611;"East Cape"
612;"East Cape"
613;"East Cape"
614;"East Cape"
615;"Tainui"
616;"Tainui"
617;"King Country"
618;"King Country"
619;"King Country"
620;"King Country"
621;"Western Volcanic Plateau"
622;"Western Volcanic Plateau"
623;"Western Volcanic Plateau"
624;"Western Volcanic Plateau"
625;"Central Volcanic Plateau"
626;"Central Volcanic Plateau"
627;"Central Volcanic Plateau"
628;"Central Volcanic Plateau"
629;"Central Volcanic Plateau"
630;"Central Volcanic Plateau"
631;"Eastern Volcanic Plateau"
632;"Eastern Volcanic Plateau"
633;"Eastern Volcanic Plateau"
634;"Urewera"
635;"Urewera"
636;"Urewera"
637;"Raukumara"
638;"Raukumara"
639;"Raukumara"
640;"Raukumara"
641;"Wairoa"
642;"East Cape"
643;"East Cape"
644;"East Cape"
645;"East Cape"
646;"East Cape"
647;"East Cape"
648;"Taranaki"
649;"King Country"
650;"King Country"
651;"King Country"
652;"King Country"
653;"King Country"
654;"King Country"
655;"Western Volcanic Plateau"
656;"Western Volcanic Plateau"
657;"Central Volcanic Plateau"
658;"Central Volcanic Plateau"
659;"Central Volcanic Plateau"
660;"Central Volcanic Plateau"
661;"Central Volcanic Plateau"
662;"Central Volcanic Plateau"
663;"Eastern Volcanic Plateau"
664;"Eastern Volcanic Plateau"
665;"Eastern Volcanic Plateau"
666;"Eastern Volcanic Plateau"
667;"Urewera"
668;"Urewera"
669;"Urewera"
670;"Raukumara"
671;"Raukumara"
672;"Urewera"
673;"Wairoa"
674;"Wairoa"
675;"East Cape"
676;"East Cape"
677;"East Cape"
678;"East Cape"
679;"East Cape"
680;"East Cape"
681;"Taranaki"
682;"Taranaki"
683;"King Country"
684;"King Country"
685;"King Country"
