"";"mean.wc";"sd.wc";"total.wc";"network.category";"landscape.category";"dispersal.category";"replicate"
"1";0,00241548447311;0,0402333497461092;2934,83778967338;"dd01";"sa01";"dk01";1
"2";0,00157657237930905;0,0309831128796952;1810,04698296093;"dd01";"sa01";"dk01";10
"3";0,00127189176153843;0,0285115765121034;1494,36598089969;"dd01";"sa01";"dk01";2
"4";0,0012599556386971;0,0325629931032036;1538,82414012121;"dd01";"sa01";"dk01";3
"5";0,00123307790291213;0,0302637128740856;1466,57106845177;"dd01";"sa01";"dk01";4
"6";0,000831588894563492;0,0226999454310062;1007,80923403265;"dd01";"sa01";"dk01";5
"7";0,00129690751320437;0,034836444410336;1528,62338477357;"dd01";"sa01";"dk01";6
"8";0,00306707225861197;0,0476865787976268;3643,39967258323;"dd01";"sa01";"dk01";7
"9";0,00246268862872005;0,0378256582860622;2899,39720325098;"dd01";"sa01";"dk01";8
"10";0,00176301108055953;0,0296170856379145;2141,72349077452;"dd01";"sa01";"dk01";9
"11";0,00216791943148609;0,0416297832436926;2634,04378844992;"dd01";"sa01";"dk02";1
"12";0,00151396608125626;0,0293123906519815;1738,1693182295;"dd01";"sa01";"dk02";10
"13";0,00185315060514113;0,0300858593240807;2177,29629639;"dd01";"sa01";"dk02";2
"14";0,00185862705278819;0,035191424679351;2270,00069563591;"dd01";"sa01";"dk02";3
"15";0,00176318207554188;0,0349568710857587;2097,05470700234;"dd01";"sa01";"dk02";4
"16";0,000899980053429263;0,0225067787759734;1090,69302659135;"dd01";"sa01";"dk02";5
"17";0,00335319378938347;0,0433857662905663;3952,30221734503;"dd01";"sa01";"dk02";6
"18";0,00380444833612723;0,0457839730205617;4519,33461407222;"dd01";"sa01";"dk02";7
"19";0,00174349487477499;0,037194987303992;2052,66882091884;"dd01";"sa01";"dk02";8
"20";0,00128094647854386;0,0302557541672962;1556,10659159986;"dd01";"sa01";"dk02";9
"21";0,00240555464859295;0,0421358852515543;2922,77295358692;"dd01";"sa01";"dk03";1
