"cell.id";"communicability";"scaled.communicability"
1;521,883429165415;0,000129800267639137
2;545037,404115172;0,135559009874341
3;18891,2241443505;0,0046985319190704
4;0;0
5;0;0
6;0;0
7;39738,8915057762;0,00988366072741785
8;3595,54870367313;0,000894267106339561
9;344,287274826919;8,56294297152682e-05
10;0;0
11;0;0
12;502,242413952426;0,000124915251390533
13;0;0
14;0;0
15;1632,70306234154;0,000406077837738739
16;90011,685227587;0,0223872615612161
17;356351,047565455;0,0886298716582206
18;425,303484165601;0,000105779380964125
19;17239,6044263326;0,00428774922420762
20;99254,1688873234;0,0246860064257592
21;726,970484664695;0,000180808506654696
22;0;0
23;1181,19083730107;0,000293779948253501
24;2718,97872316347;0,000676250952317312
25;1358,9040228082;0,000337979893591326
26;2481,49886692109;0,000617186135968461
27;0;0
28;0;0
29;923,40046490926;0,00022966360069144
30;1121,59129139644;0,000278956643704507
31;3349,093143623;0,000832969897292671
32;50148,018580864;0,0124725673773125
33;180591,83209072;0,0449159080913983
34;19064,1919676585;0,00474155162137105
35;78869,5500314004;0,0196160447535675
36;237,93429807823;5,91778428766618e-05
37;932,379587603277;0,000231896843717975
38;2354,61395025159;0,000585627946490383
39;788,852963330052;0,00019619961095893
40;6393,96645306047;0,00159027574071499
41;10107,0226587556;0,00251376873229958
42;74404,1398098033;0,0185054299888704
43;746319,054304123;0,18562078728535
44;35243,2099074043;0,00876551701547399
45;164,263925312211;4,08549118010454e-05
46;728,31631668813;0,000181143235345198
47;6228,55649478703;0,0015491357932589
48;8275,26973679603;0,00205818419707233
49;18351,2687150546;0,00456423687286077
50;4101,95944354424;0,001020219083155
51;21698,7745699878;0,00539681198755401
52;2406088,45588596;0,598430431172871
53;86728,1816780703;0,0215706047836616
54;289823,085681763;0,0720833657233629
58;0;0
59;197,043669145739;4,90077277077289e-05
60;1169,03385213943;0,000290756322977278
61;1781,78683361239;0,000443157216638649
62;2409,87561041187;0,000599372353532505
63;1124,73588257522;0,000279738750883641
64;1670,66381275961;0,000415519248001425
65;41860,9641677984;0,0104114521537919
66;4020665,27795093;1
71;11,9982666039345;2,98414958084977e-06
73;127,600276294168;3,17361101890078e-05
74;184,334650860813;4,58468034809294e-05
75;519,776458089069;0,000129276232204528
