"";"source.guild";"recipient.guild";"source.cell";"recipient.cell";"avg.communicability";"scaled.avg.communicability"
"51";"birds";"birds";"1";"84";0;0
"52";"birds";"birds";"1";"85";0;0
"53";"birds";"birds";"1";"86";0;0
"54";"birds";"birds";"1";"87";0;0
"55";"birds";"birds";"1";"88";0;0
"56";"birds";"birds";"1";"89";0;0
"57";"birds";"birds";"1";"99";0;0
"58";"birds";"birds";"100";"1";0,0678389147501274;6,25199485801316e-07
"59";"birds";"birds";"100";"100";99101,4888576686;0,913426503560791
"60";"birds";"birds";"100";"101";76982,0868029248;0,7095501711835
"61";"birds";"birds";"100";"102";70254,8246125679;0,647544447027127
"62";"birds";"birds";"100";"103";1765,55167605211;0,0162732336857426
"63";"birds";"birds";"100";"113";19874,4134186941;0,183184088982822
"64";"birds";"birds";"100";"114";29316,5351371628;0,270212894782231
"65";"birds";"birds";"100";"115";8733,69035761676;0,0804991361028945
"66";"birds";"birds";"100";"116";6326,21477464603;0,0583092373466266
"67";"birds";"birds";"100";"117";19,6185495655165;0,000180825693738901
"68";"birds";"birds";"100";"125";0,44023832395621;4,05763520628332e-06
"69";"birds";"birds";"100";"126";2598,66526089997;0,0239521095302209
"70";"birds";"birds";"100";"127";2010,43579533891;0,0185303505813111
"71";"birds";"birds";"100";"129";132,541612649682;0,00122164677404797
"72";"birds";"birds";"100";"130";129,104825317643;0,0011899696249694
"73";"birds";"birds";"100";"138";190,527630359489;0,00175610862751858
"74";"birds";"birds";"100";"139";253,329699530068;0,0023349604200089
"75";"birds";"birds";"100";"14";0,0654862161601391;6,03514471055938e-07
"76";"birds";"birds";"100";"140";0,0727380518502234;6,70355231933561e-07
"77";"birds";"birds";"100";"15";0,977273678323379;9,00753385789879e-06
"78";"birds";"birds";"100";"150";8,38910938451474e-06;0
"79";"birds";"birds";"100";"151";0,00447627004036101;4,11808228564012e-08
"80";"birds";"birds";"100";"152";0,00371580667922902;3,41715700478857e-08
"81";"birds";"birds";"100";"16";2,73443462093761;2,52034295466785e-05
"82";"birds";"birds";"100";"163";0,000179983637309462;1,58160075587793e-09
"83";"birds";"birds";"100";"17";4,39774482574773;4,05342953324325e-05
"84";"birds";"birds";"100";"18";5,45013170397556;5,02342310017631e-05
"85";"birds";"birds";"100";"2";0,327714768509637;3,0204964204462e-06
"86";"birds";"birds";"100";"28";0,753051684686523;6,94086145925669e-06
"87";"birds";"birds";"100";"29";9,46939294377089;8,7280089583638e-05
"88";"birds";"birds";"100";"3";0,57413318947896;5,29175509973109e-06
"89";"birds";"birds";"100";"30";20,8447139649226;0,000192127350990929
"90";"birds";"birds";"100";"31";52,7479160017273;0,000486181765583954
"91";"birds";"birds";"100";"32";38,6785673544754;0,000356503431873123
"92";"birds";"birds";"100";"33";39,2681362114751;0,000361937536102138
"93";"birds";"birds";"100";"4";1,05197936832747;9,696102294245e-06
"94";"birds";"birds";"100";"43";19,5492090498704;0,000180186576552094
"95";"birds";"birds";"100";"44";84,7454776108193;0,000781105900048926
"96";"birds";"birds";"100";"45";174,100255081825;0,00160469617007933
"97";"birds";"birds";"100";"46";345,098011799082;0,00318079643707465
"98";"birds";"birds";"100";"5";0,848578679932299;7,82134156380612e-06
"99";"birds";"birds";"100";"57";65,38375648761;0,00060264733768172
"100";"birds";"birds";"100";"58";348,884808636209;0,00321569965230175
"101";"birds";"birds";"100";"59";359,061262244417;0,00330949685500706
"102";"birds";"birds";"100";"60";229,941842627823;0,00211939263587108
"103";"birds";"birds";"100";"71";821,567292306992;0,00757245264730958
"104";"birds";"birds";"100";"72";1370,94260552502;0,0126360897058663
"105";"birds";"birds";"100";"73";372,903603849372;0,00343708284629865
"106";"birds";"birds";"100";"74";968,98149241198;0,00893118134998223
"107";"birds";"birds";"100";"75";355,917923079923;0,00328052444161682
"108";"birds";"birds";"100";"84";5611,98822184599;0,0517261529707034
"109";"birds";"birds";"100";"85";4916,1250388471;0,0453123252716054
"110";"birds";"birds";"100";"86";8003,12419910831;0,0737654482488087
"111";"birds";"birds";"100";"87";60243,1301653457;0,555265842943252
"112";"birds";"birds";"100";"88";108494,212145824;1
"113";"birds";"birds";"100";"89";6390,26286685125;0,0588995738350292
"114";"birds";"birds";"100";"99";44795,0926813144;0,412880021804125
"115";"birds";"birds";"101";"1";0,0398532597186918;3,32948438743655e-07
"116";"birds";"birds";"101";"100";50025,4257948312;0,417938553206904
"117";"birds";"birds";"101";"101";119695,647626964;1
"118";"birds";"birds";"101";"102";17258,6497652202;0,144187780480868
"119";"birds";"birds";"101";"103";279,560673248397;0,00233559597205041
"120";"birds";"birds";"101";"113";3482,56737985769;0,0290951880719442
"121";"birds";"birds";"101";"114";4748,24577278718;0,0396693268817552
"122";"birds";"birds";"101";"115";1201,1487214765;0,0100350242011058
"123";"birds";"birds";"101";"116";905,463695829696;0,00756471695509594
"124";"birds";"birds";"101";"117";1,96836286018868;1,64447255895122e-05
"125";"birds";"birds";"101";"125";0,0465812329896835;3,89157443869752e-07
"126";"birds";"birds";"101";"126";298,462842496609;0,00249351457329516
"127";"birds";"birds";"101";"127";239,225493163957;0,00199861479617333
"128";"birds";"birds";"101";"129";14,5453552635975;0,000121519493576795
"129";"birds";"birds";"101";"130";14,2287050461653;0,000118874032161012
"130";"birds";"birds";"101";"138";20,2695412539119;0,000169342335123978
"131";"birds";"birds";"101";"139";26,0224488095971;0,000217405131639786
"132";"birds";"birds";"101";"14";0,0383259792014643;3,20188739059358e-07
"133";"birds";"birds";"101";"140";0,0077324603861429;6,45944929689172e-08
"134";"birds";"birds";"101";"15";0,52981031549152;4,42630576200233e-06
"135";"birds";"birds";"101";"150";7,80717143393621e-07;0
"136";"birds";"birds";"101";"151";0,000442213779253793;3,68796251881288e-09
"137";"birds";"birds";"101";"152";0,000376711003464127;3,14071809440211e-09
"138";"birds";"birds";"101";"16";1,40400685837197;1,17298005858962e-05
"139";"birds";"birds";"101";"163";1,74795393125462e-05;1,39510688152204e-10
"140";"birds";"birds";"101";"17";2,11823467374306;1,76968330514513e-05
"141";"birds";"birds";"101";"18";2,70411452228477;2,25915795201905e-05
"142";"birds";"birds";"101";"2";0,192284693260707;1,60644030386198e-06
"143";"birds";"birds";"101";"28";0,394682428465106;3,29737676828965e-06
"144";"birds";"birds";"101";"29";4,52696204179204;3,78206004216032e-05
"145";"birds";"birds";"101";"3";0,324895470285719;2,71434004503857e-06
"146";"birds";"birds";"101";"30";9,25933568725312;7,73573232625251e-05
"147";"birds";"birds";"101";"31";23,8068655181732;0,000198894990833804
"148";"birds";"birds";"101";"32";16,8811041231568;0,000141033560344319
"149";"birds";"birds";"101";"33";18,158345660286;0,000151704303704329
"150";"birds";"birds";"101";"4";0,597798228344316;4,994312320312e-06
"151";"birds";"birds";"101";"43";8,79030439504568;7,3438790705082e-05
"152";"birds";"birds";"101";"44";36,2839869290905;0,000303135384351571
"153";"birds";"birds";"101";"45";68,5481060295553;0,000572686698374513
"154";"birds";"birds";"101";"46";140,855751307685;0,00117678255910247
"155";"birds";"birds";"101";"5";0,48255076114001;4,03147474442762e-06
"156";"birds";"birds";"101";"57";27,9406322481737;0,00023343063863706
"157";"birds";"birds";"101";"58";113,824492569396;0,000950949295534612
"158";"birds";"birds";"101";"59";136,980694644118;0,00114440831041075
"159";"birds";"birds";"101";"60";78,7034339982388;0,000657529615974985
"160";"birds";"birds";"101";"71";258,002527461759;0,00215548795463974
"161";"birds";"birds";"101";"72";526,115581212036;0,00439544453675048
"162";"birds";"birds";"101";"73";124,768071412831;0,00104237767292736
"163";"birds";"birds";"101";"74";177,026147713353;0,00147896895537504
"164";"birds";"birds";"101";"75";224,220765488729;0,0018732574588532
"165";"birds";"birds";"101";"84";3827,17852895555;0,0319742497248299
"166";"birds";"birds";"101";"85";1066,41009933531;0,00890934732969618
"167";"birds";"birds";"101";"86";7700,3077195755;0,0643323953001474
"168";"birds";"birds";"101";"87";60209,7534185602;0,50302374908249
"169";"birds";"birds";"101";"88";40961,6504736061;0,342215036930591
"170";"birds";"birds";"101";"89";1282,27453637787;0,0107127916597416
"171";"birds";"birds";"101";"99";11090,3839842828;0,092654864261548
"172";"birds";"birds";"102";"1";0,443257839831717;1,87949884765506e-06
"173";"birds";"birds";"102";"100";102459,492386472;0,434531326128103
"174";"birds";"birds";"102";"101";163597,309210671;0,693817176803791
"175";"birds";"birds";"102";"102";235793,108983408;1
"176";"birds";"birds";"102";"103";9851,42070242584;0,0417799343818206
"177";"birds";"birds";"102";"113";100506,373702821;0,426248137985855
"178";"birds";"birds";"102";"114";166029,452739541;0,704131912209894
"179";"birds";"birds";"102";"115";58602,5695778816;0,248533851420392
"180";"birds";"birds";"102";"116";40559,1625682534;0,172011653236053
"181";"birds";"birds";"102";"117";185,489495600944;0,000786661711634083
"182";"birds";"birds";"102";"125";3,92520408287878;1,66464539097164e-05
"183";"birds";"birds";"102";"126";21395,2305334394;0,0907373016473136
"184";"birds";"birds";"102";"127";15829,4008191007;0,0671325841882642
"185";"birds";"birds";"102";"129";1141,40614677745;0,004840710006948
"186";"birds";"birds";"102";"130";1105,64261675986;0,00468903665998434
"187";"birds";"birds";"102";"138";1692,78772672052;0,00717912262010265
"188";"birds";"birds";"102";"139";2348,64759187867;0,00996062827233366
"189";"birds";"birds";"102";"14";0,426794664420049;1,80967842122878e-06
"190";"birds";"birds";"102";"140";0,645579442428581;2,73754598712428e-06
"191";"birds";"birds";"102";"15";6,04186312241097;2,56232176897124e-05
"192";"birds";"birds";"102";"150";8,49633720874915e-05;0
"193";"birds";"birds";"102";"151";0,0430985308545229;1,82420799672145e-07
"194";"birds";"birds";"102";"152";0,0345729692280461;1,46263841284745e-07
"195";"birds";"birds";"102";"16";16,1881444625268;6,86536581784792e-05
"196";"birds";"birds";"102";"163";0,00174675982731266;7,04768881070608e-09
"197";"birds";"birds";"102";"17";24,7116043665297;0,000104801703148164
"198";"birds";"birds";"102";"18";31,2504097409524;0,000132532816262412
"199";"birds";"birds";"102";"2";2,13066388439369;9,03579808152596e-06
"200";"birds";"birds";"102";"28";4,55019723384869;1,9297053640513e-05
"201";"birds";"birds";"102";"29";53,6129571983139;0,000227372515190988
"202";"birds";"birds";"102";"3";3,61287164489455;1,53218501524508e-05
"203";"birds";"birds";"102";"30";111,181759925591;0,000471522155510086
"204";"birds";"birds";"102";"31";281,050788534358;0,00119193773254856
"205";"birds";"birds";"102";"32";200,427870649339;0,000850015450503648
"206";"birds";"birds";"102";"33";211,448142354422;0,000896752489412743
"207";"birds";"birds";"102";"4";6,62778306544608;2,81081077094943e-05
"208";"birds";"birds";"102";"43";104,951402921527;0,00044509917379883
"209";"birds";"birds";"102";"44";443,556850056672;0,00188112692167072
"210";"birds";"birds";"102";"45";845,63274706078;0,00358633323105987
"211";"birds";"birds";"102";"46";1675,61267099831;0,00710628310497665
"212";"birds";"birds";"102";"5";5,33563284112665;2,26280907982454e-05
"213";"birds";"birds";"102";"57";340,832346693521;0,00144547168202844
"214";"birds";"birds";"102";"58";1732,66895877549;0,00734825916629469
"215";"birds";"birds";"102";"59";1732,39166466173;0,00734708316028224
"216";"birds";"birds";"102";"60";1070,04812787592;0,00453808021749021
"217";"birds";"birds";"102";"71";3241,91705357268;0,0137489894584052
"218";"birds";"birds";"102";"72";5829,02623549052;0,0247209351357155
"219";"birds";"birds";"102";"73";1762,82893912197;0,00747616782523464
"220";"birds";"birds";"102";"74";4227,99574720649;0,0179309551580835
"221";"birds";"birds";"102";"75";1474,59441763069;0,00625376347746626
"222";"birds";"birds";"102";"84";16446,3364073427;0,0697490117468307
"223";"birds";"birds";"102";"85";16841,7353637877;0,0714259011109524
"224";"birds";"birds";"102";"86";22224,6030350302;0,0942546754393867
"225";"birds";"birds";"102";"87";160059,113475839;0,678811667307091
"226";"birds";"birds";"102";"88";201488,744907212;0,854514984613184
"227";"birds";"birds";"102";"89";25971,5768406908;0,11014561399635
"228";"birds";"birds";"102";"99";135052,848531522;0,572759946537394
"229";"birds";"birds";"103";"1";0,247418039294926;2,65904823659313e-06
"230";"birds";"birds";"103";"100";56417,2884420838;0,606593598769969
"231";"birds";"birds";"103";"101";61351,2262408765;0,659642853242969
"232";"birds";"birds";"103";"102";63016,768804165;0,677550616753309
"233";"birds";"birds";"103";"103";6249,82266446584;0,0671975287681123
"234";"birds";"birds";"103";"113";38357,1144249642;0,412412235661727
"235";"birds";"birds";"103";"114";76923,7161093431;0,827076860621954
"236";"birds";"birds";"103";"115";40101,9365426504;0,43117240579478
"237";"birds";"birds";"103";"116";20956,1153976409;0,22531826262648
"238";"birds";"birds";"103";"117";215,618920437827;0,00231831402867997
"239";"birds";"birds";"103";"125";4,13089593106163;4,44138524765277e-05
"240";"birds";"birds";"103";"126";20035,598932374;0,215420952566252
"241";"birds";"birds";"103";"127";13455,867905368;0,144676277653458
"242";"birds";"birds";"103";"129";1144,74452586687;0,0123081887879132
"243";"birds";"birds";"103";"130";1095,69751722885;0,0117808397720795
"244";"birds";"birds";"103";"138";1772,64604555913;0,0190593293293057
"245";"birds";"birds";"103";"139";2673,18747097776;0,0287418695616129
"246";"birds";"birds";"103";"14";0,237808898877817;2,55573162498552e-06
"247";"birds";"birds";"103";"140";0,67099850409093;7,21334721301181e-06
"248";"birds";"birds";"103";"15";3,24555775340906;3,48947761937975e-05
"249";"birds";"birds";"103";"150";0,000108652317259645;0
"250";"birds";"birds";"103";"151";0,0526949223536497;5,65402835363871e-07
"251";"birds";"birds";"103";"152";0,0386462020203961;4,14352260676621e-07
"252";"birds";"birds";"103";"16";8,43746345275014;9,07176782805569e-05
