"species";"guild";"communicability";"scaled.communicability"
"Coprosma_areolata";"plants";14757,5780040717;0,0259613134587623
"Coprosma_cheesemanii";"plants";0;0
"Coprosma_colensoi";"plants";0;0
"Coprosma_crassifolia";"plants";0;0
"Coprosma_cuneata";"plants";0;0
"Coprosma_depressa";"plants";0;0
"Coprosma_foetidissima";"plants";0;0
"Coprosma_fowerakeri";"plants";0;0
"Coprosma_grandifolia";"plants";215847,192996553;0,37971519683185
"Coprosma_intertexta";"plants";0;0
"Coprosma_linariifolia";"plants";0;0
"Coprosma_lucida";"plants";108999,816406033;0,191750868596718
"Coprosma_macrocarpa";"plants";0;0
"Coprosma_parviflora";"plants";4703,84698784473;0,00827493821003682
"Coprosma_perpusilla";"plants";0;0
"Coprosma_petriei";"plants";0;0
"Coprosma_propinqua";"plants";67145,1662031543;0,118120785576049
"Coprosma_pseudocuneata";"plants";0;0
"Coprosma_repens";"plants";81773,592452041;0,143854897172881
"Coprosma_rhamnoides";"plants";112980,485181944;0,198753602367694
"Coprosma_rigida";"plants";29,6893420751334;5,22290524762462e-05
"Coprosma_robusta";"plants";248602,055292798;0,437337067245598
"Coprosma_rotundifolia";"plants";0;0
"Coprosma_rugosa";"plants";0;0
"Coprosma_serrulata";"plants";0;0
"Coprosma_tenuifolia";"plants";0;0
"Cordyline_australis";"plants";142841,271408559;0,251284256865359
"Coriaria_angustissima";"plants";0;0
"Coriaria_arborea";"plants";84800,9491483133;0,149180578400636
"Coriaria_plumosa";"plants";0;0
"Coriaria_sarmentosa";"plants";0;0
"Corokia_cotoneaster";"plants";11315,4999652947;0,0199060605649909
"Corokia_macrocarpa";"plants";0;0
"Corynocarpus_laevigatus";"plants";33568,6026766457;0,0590533904832214
"Cotoneaster_coriaceus";"plants";0;0
"Cotoneaster_franchetii";"plants";0;0
"Cotoneaster_glaucophyllus";"plants";20289,4150092348;0,0356928394892665
"Crataegus_monogyna";"plants";0;0
"Cyanoramphus_auriceps";"birds";0;0
"Cyanoramphus_malherbi";"birds";0;0
"Cyanoramphus_novaezelandiae";"birds";0;0
"Dacrycarpus_dacrydioides";"plants";233507,063652572;0,410782180697063
"Dacrydium_cupressinum";"plants";141698,940897905;0,249274685887492
"Dracaena_draco";"plants";0;0
"Dracophyllum_longifolium";"plants";0;0
"Dysoxylum_spectabile";"plants";169202,129172468;0,297657888857132
"Elaeocarpus_dentatus";"plants";29545,4145339804;0,0519758572696756
"Elaeocarpus_hookerianus";"plants";0;0
"Euonymus_europaeus";"plants";0;0
"Ficus_carica";"plants";14583,6462620237;0,0256553353047257
"Ficus_macrophylla";"plants";0;0
"Finschia_novaeseelandiae";"birds";0;0
"Fragaria_ananassa";"plants";0;0
"Freycinetia_banksii";"plants";6456,86626809719;0,0113588238599267
"Fringilla_coelebs";"birds";8682,24282889631;0,0152736734675485
"Fuchsia_excorticata";"plants";94743,6274687675;0,166671591385676
"Fuchsia_perscandens";"plants";0;0
"Gallirallus_australis";"birds";0;0
"Gaultheria_antipoda";"plants";0;0
"Gaultheria_depressa";"plants";0;0
"Gaultheria_macrostigma";"plants";0;0
"Geniostoma_ligustrifolium";"plants";54804,1848081092;0,0964107132120666
"Geniostoma_rupestre";"plants";0;0
"Gerygone_igata";"birds";40154,3219771701;0,0706388906964109
"Griselinia_littoralis";"plants";72046,2781218992;0,126742749341642
"Griselinia_lucida";"plants";0;0
"Gunnera_tinctoria";"plants";0;0
"Halocarpus_biformis";"plants";0;0
"Hedera_helix";"plants";32808,3238894842;0,0577159192596844
"Hedycarya_arborea";"plants";63635,8047100318;0,111947168622243
"Hedychium_gardnerianum";"plants";43048,3792829279;0,0757300736033669
"Hemiphaga_novaeseelandiae";"birds";568444,968222162;1
"Hymenolaimus_malacorhynchos";"birds";0;0
"Ileostylus_micranthus";"plants";826,074745662683;0,00145321850283286
"Ilex_aquifolium";"plants";0;0
"Isolepis_habra";"plants";0;0
"Knightia_excelsa";"plants";61,2376228185569;0,000107728322426849
"Lantana_camara";"plants";23426,8548091826;0,0412121772885969
"Laurus_nobilis";"plants";0;0
"Lepidothamnus_intermedius";"plants";0;0
"Lepidothamnus_laxifolius";"plants";0;0
"Leptecophylla_juniperina";"plants";1107,29710722235;0,00194794073151087
