"species";"guild";"cell";"aggregated.communicability";"scaled.aggregated.communicability"
"Hedycarya_arborea";"plants";"45";0,999999999999998;0
"Hedycarya_arborea";"plants";"46";31394585,6723124;1
"Hedychium_gardnerianum";"plants";"45";0,999999999999998;0
"Hedychium_gardnerianum";"plants";"46";18744828,4691503;1
"Hemiphaga_novaeseelandiae";"birds";"45";89385821,3188722;0
"Hemiphaga_novaeseelandiae";"birds";"46";164780597,262221;1
"Hymenolaimus_malacorhynchos";"birds";"45";9,48632012366332;1
"Hymenolaimus_malacorhynchos";"birds";"46";0,999999999999998;0
"Ileostylus_micranthus";"plants";"45";28796497,6522701;0
"Ileostylus_micranthus";"plants";"46";50139411,4231809;1
"Ilex_aquifolium";"plants";"45";22004725,7481254;0
"Ilex_aquifolium";"plants";"46";38621729,4478795;1
"Isolepis_habra";"plants";"45";0,999999999999998;0
"Isolepis_habra";"plants";"46";2,71828182845905;1
"Laurus_nobilis";"plants";"45";6740996,79969208;0
"Laurus_nobilis";"plants";"46";12397498,8499585;1
"Lepidothamnus_laxifolius";"plants";"45";163745,684428449;1
"Lepidothamnus_laxifolius";"plants";"46";2,71828182845905;0
"Leptecophylla_juniperina";"plants";"45";2,71828182845905;NA
"Leptecophylla_juniperina";"plants";"46";2,71828182845905;NA
"Leptospermum_scoparium";"plants";"45";643287,586325984;1
"Leptospermum_scoparium";"plants";"46";2,71828182845905;0
"Leucopogon_fasciculatus";"plants";"45";14261540,6102864;0
"Leucopogon_fasciculatus";"plants";"46";24330839,5168336;1
"Leycesteria_formosa";"plants";"45";26452725,8212738;0
"Leycesteria_formosa";"plants";"46";45949464,7618809;1
"Ligustrum_lucidum";"plants";"45";0,999999999999998;0
"Ligustrum_lucidum";"plants";"46";44272204,7136881;1
"Ligustrum_ovalifolium";"plants";"45";0,999999999999998;0
"Ligustrum_ovalifolium";"plants";"46";9746800,89948665;1
"Ligustrum_sinense";"plants";"45";0,999999999999998;0
"Ligustrum_sinense";"plants";"46";45103899,3955906;1
"Lonicera_japonica";"plants";"45";15575896,2918265;0
"Lonicera_japonica";"plants";"46";27222501,1707406;1
"Lophomyrtus_bullata";"plants";"45";0,999999999999998;0
"Lophomyrtus_bullata";"plants";"46";28011503,7406562;1
"Lophomyrtus_obcordata";"plants";"45";22749107,9361453;0
