"";"sp";"wc";"bc";"network.category";"landscape.category";"dispersal.category";"degree";"dispersal.distance";"presences"
"1";"sp01";101,039108491287;107287281596121;"dd04";"sa03";"dk03";14;0,224665835499763;45
"2";"sp02";249,713536822404;1444911688503015;"dd04";"sa03";"dk03";13;0,121378811076283;35
"3";"sp03";8,96820534115118;499532970727,591;"dd04";"sa03";"dk03";20;1,77360695964637;6
"4";"sp04";183,014413090426;159952226003136;"dd04";"sa03";"dk03";15;1,76935473076048;17
"5";"sp05";25,9588308103815;890223968584,24;"dd04";"sa03";"dk03";18;0,902754822745919;7
"6";"sp06";877,918614153018;4090469405031926;"dd04";"sa03";"dk03";13;2,40995960860493;52
"7";"sp07";314,718887292837;947189382215693;"dd04";"sa03";"dk03";12;3,92297509668355;61
"8";"sp08";756,280921590028;61832272133788696;"dd04";"sa03";"dk03";14;1,46251405358504;49
"9";"sp09";1482,96358263564;12534965843867498;"dd04";"sa03";"dk03";17;2,1054725254977;57
"10";"sp10";31,8643928251075;6981430199720,3;"dd04";"sa03";"dk03";12;0,922845949418843;12
"11";"sp11";597,152952251059;542061556321093632;"dd04";"sa03";"dk03";14;5,32964138248199;62
"12";"sp12";25,7040241556026;55023001601989;"dd04";"sa03";"dk03";16;0,936991787515581;10
"13";"sp13";2,34781326604365;1285184501200,41;"dd04";"sa03";"dk03";9;3,34059996886139;31
"14";"sp14";221,301130467667;327756579304673;"dd04";"sa03";"dk03";13;0,461973307312347;63
"15";"sp15";150,082597934608;1854918375381334;"dd04";"sa03";"dk03";15;1,95524675576928;35
"16";"sp16";188,476520483234;743857551248210;"dd04";"sa03";"dk03";13;0,778333271853626;29
"17";"sp17";27,9042147617862;38660114206111,1;"dd04";"sa03";"dk03";11;0,742631454645126;10
"18";"sp18";21,2300723784585;19159526066902,2;"dd04";"sa03";"dk03";13;1,45603312619084;8
"19";"sp19";578,353613889373;4381858268691900;"dd04";"sa03";"dk03";14;2,13653610265794;57
"20";"sp20";569,808732274122;147584882606355392;"dd04";"sa03";"dk03";13;2,88062236813788;63
"21";"sp21";20,7499808601543;241890440428,06;"dd04";"sa03";"dk03";10;3,00305564312224;7
"22";"sp22";503,913642127091;110995851669953808;"dd04";"sa03";"dk03";10;0,473341251723468;63
"23";"sp23";13,1948127935397;1261888057968,26;"dd04";"sa03";"dk03";6;0,6912590736094;33
"24";"sp24";212,894992850389;2101897066443101;"dd04";"sa03";"dk03";11;2,45806049808635;28
"25";"sp25";727,958802477938;8256978249910704;"dd04";"sa03";"dk03";20;1,70483561136311;52
"26";"sp26";736,193135976641;99021660628883760;"dd04";"sa03";"dk03";18;1,79431552058997;56
"27";"sp27";781,312734619521;70387655989924344;"dd04";"sa03";"dk03";15;3,08772379143124;47
"28";"sp28";331,251718762284;17016898015421990;"dd04";"sa03";"dk03";12;3,85713259113913;29
"29";"sp29";39,3263807858308;61093587959853048;"dd04";"sa03";"dk03";8;11,7351305180027;25
"30";"sp30";471,027552864313;4306155696038696;"dd04";"sa03";"dk03";17;0,676247233524919;35
"31";"sp01";231,048468829138;3962185279,04162;"dd04";"sa04";"dk03";8;2,92695452519765;37
"32";"sp02";894,313630643573;11841944823170,8;"dd04";"sa04";"dk03";10;4,20739262337949;51
"33";"sp03";33,8634916270857;14007802958,8863;"dd04";"sa04";"dk03";10;1,61347839786651;5
"34";"sp04";307,574346626374;1556829111185,26;"dd04";"sa04";"dk03";14;4,16155846044589;25
"35";"sp05";29,2758647385206;4796929766,08119;"dd04";"sa04";"dk03";12;0,874555717132594;5
"36";"sp06";152,925977329899;177928361597,535;"dd04";"sa04";"dk03";10;0,645133088342845;60
"37";"sp07";389,379646455016;123802322828,837;"dd04";"sa04";"dk03";13;0,108211585320532;61
"38";"sp08";244,101847370383;173086250062,438;"dd04";"sa04";"dk03";15;0,183882545679808;58
"39";"sp09";586,717923500156;5911139544268,49;"dd04";"sa04";"dk03";12;3,46054195595865;60
"40";"sp10";89,8291853711166;89603003639,2229;"dd04";"sa04";"dk03";22;2,45102753109279;15
"41";"sp11";233,288388973116;630339489533,048;"dd04";"sa04";"dk03";12;0,197717417525159;56
"42";"sp12";120,306263303458;153657764521,303;"dd04";"sa04";"dk03";20;1,63389887420651;8
