"PLANTSPECIES";"BIRDSPECIES";"REFERENCE";"PLANTSTATUS";"BIRDSTATUS"
"Arbutus_unedo";"Turdus_merula";"Williams & Karl 1996, NZJE 20: 127-145.";"Exotic";"Exotic"
"Arbutus_unedo";"Zosterops_lateralis";"Williams & Karl 1996, NZJE 20: 127-145.";"Exotic";"Native"
"Arbutus_unedo";"Zosterops_lateralis";"Sibson 1993, Notornis 40: 177.";"Exotic";"Native"
"Arbutus_unedo";"Zosterops_lateralis";"Williams & Karl 1996, NZ J Ecol 20 127-145.";"Exotic";"Native"
"Archontophoenix_cunninghamiana";"Turdus_merula";"Williams 2006, NZJE 30: 285-291.";"Exotic";"Exotic"
"Aristotelia_fruticosa";"Anthornis_melanura";"Williams & Karl 1996, NZJE 20: 127-145.";"Native";"Native"
"Aristotelia_fruticosa";"Carduelis_carduelis";"Williams & Karl 1996, NZJE 20: 127-145.";"Native";"Exotic"
"Aristotelia_fruticosa";"Fringilla_coelebs";"Young et al. 2012. Biol. Cons. 147, 133-142.";"Native";"Exotic"
"Aristotelia_fruticosa";"Prosthemadera_novaeseelandiae";"Williams & Karl 1996, NZJE 20: 127-145.";"Native";"Native"
"Aristotelia_fruticosa";"Turdus_merula";"Williams & Karl 1996, NZJE 20: 127-145.";"Native";"Exotic"
"Aristotelia_fruticosa";"Turdus_merula";"Young et al. 2012. Biol. Cons. 147, 133-142.";"Native";"Exotic"
"Aristotelia_fruticosa";"Zosterops_lateralis";"Williams & Karl 1996, NZJE 20: 127-145.";"Native";"Native"
"Aristotelia_serrata";"Anthornis_melanura";"Baker 1999, Notornis 46: 270-272.";"Native";"Native"
"Aristotelia_serrata";"Anthornis_melanura";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Native"
"Aristotelia_serrata";"Anthornis_melanura";"Burrows 1994, NZ J Bot 32, 169-181.";"Native";"Native"
"Aristotelia_serrata";"Anthornis_melanura";"Burrows 1994 NZ Nat Sci 21, 87-108.";"Native";"Native"
"Aristotelia_serrata";"Cyanoramphus_malherbi";"Ortiz-Catedral & Bruton 2010, NZ J Zool 36, 385-388.";"Native";"Native"
"Aristotelia_serrata";"Hemiphaga_novaeseelandiae";"Baker 1999, Notornis 46: 270-272.";"Native";"Native"
"Aristotelia_serrata";"Hemiphaga_novaeseelandiae";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Native"
"Aristotelia_serrata";"Hemiphaga_novaeseelandiae";"Burrows 1994 NZ Nat Sci 21, 87-108.";"Native";"Native"
"Aristotelia_serrata";"Hemiphaga_novaeseelandiae";"Campbell et al. Notornis 55, 173-183.";"Native";"Native"
"Aristotelia_serrata";"Hemiphaga_novaeseelandiae";"Campbell et al. Notornis 55, 173-183.";"Native";"Native"
"Aristotelia_serrata";"Hemiphaga_novaeseelandiae";"Emeny et al. 2009 NZ J Ecol 33, 114-24.";"Native";"Native"
"Aristotelia_serrata";"Hemiphaga_novaeseelandiae";"McEwen 1978 NZ J Ecol 1, 99-108.";"Native";"Native"
"Aristotelia_serrata";"Hemiphaga_novaeseelandiae";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Aristotelia_serrata";"Hemiphaga_novaeseelandiae";"Clout et al. 1986, Notornis 33: 37-44.";"Native";"Native"
"Aristotelia_serrata";"Notiomystis_cincta";"Perrott & Armstrong 2000, NZJE 24: 19-30.";"Native";"Native"
"Aristotelia_serrata";"Prosthemadera_novaeseelandiae";"Baker 1999, Notornis 46: 270-272.";"Native";"Native"
"Aristotelia_serrata";"Prosthemadera_novaeseelandiae";"Williams & Karl 1996, NZ J Ecol 20 127-145.";"Native";"Native"
"Aristotelia_serrata";"Prosthemadera_novaeseelandiae";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Aristotelia_serrata";"Prosthemadera_novaeseelandiae";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Aristotelia_serrata";"Prosthemadera_novaeseelandiae";"Kikkawa 1966. Trans Roy Soc NZ. Zool. 7, 215-277.";"Native";"Native"
"Aristotelia_serrata";"Turdus_merula";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Exotic"
"Aristotelia_serrata";"Turdus_merula";"Burrows 1994, NZ J Bot 32, 169-181.";"Native";"Exotic"
"Aristotelia_serrata";"Turdus_merula";"Burrows 1994 NZ Nat Sci 21, 87-108.";"Native";"Exotic"
"Aristotelia_serrata";"Turdus_merula";"Williams & Karl 1996, NZ J Ecol 20 127-145.";"Native";"Exotic"
"Aristotelia_serrata";"Turdus_merula";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Exotic"
"Aristotelia_serrata";"Turdus_merula";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Exotic"
"Aristotelia_serrata";"Zosterops_lateralis";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Native"
"Aristotelia_serrata";"Zosterops_lateralis";"Burrows 1994, NZ J Bot 32, 169-181.";"Native";"Native"
"Aristotelia_serrata";"Zosterops_lateralis";"Burrows 1994 NZ Nat Sci 21, 87-108.";"Native";"Native"
"Aristotelia_serrata";"Zosterops_lateralis";"Williams & Karl 1996, NZ J Ecol 20 127-145.";"Native";"Native"
"Aristotelia_serrata";"Zosterops_lateralis";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Aristotelia_serrata";"Zosterops_lateralis";"Garcia et al. 2014. J Ecol. 83, 1441-1450.";"Native";"Native"
"Ascarina_lucida";"Anthornis_melanura";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Native"
"Ascarina_lucida";"Petroica_macrocephala";"O'Donnell & Dilks 1989, Notornis 36: 72-76.";"Native";"Native"
"Ascarina_lucida";"Petroica_macrocephala";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Native"
"Ascarina_lucida";"Rhipidura_fuliginosa";"O'Donnell & Dilks 1989, Notornis 36: 72-76.";"Native";"Native"
"Ascarina_lucida";"Rhipidura_fuliginosa";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Native"
"Ascarina_lucida";"Zosterops_lateralis";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Native"
"Asparagus_asparagoides";"Zosterops_lateralis";"Williams & Karl 1996, NZJE 20: 127-145.";"Exotic";"Native"
"Asparagus_scandens";"Turdus_merula";"Wotton & McAlpine. 2015. NZ J Ecol 39, 155-169.";"Exotic";"Exotic"
"Astelia_banksii";"Hemiphaga_novaeseelandiae";"McEwen 1978 NZ J Ecol 1, 99-108.";"Native";"Native"
"Astelia_fragrans";"Mohoua_ochrocephala";"Child 1978, Notornis 25: 253.";"Native";"Native"
"Astelia_fragrans";"Petroica_australis";"Powlesland 1981, Notornis 28: 89-102.";"Native";"Native"
"Astelia_nervosa";"Nestor_notabilis";"Clarke 1970, Notornis 17: 105-114.";"Native";"Native"
"Astelia_nervosa";"Strigops_habroptila";"Butler, 2006, Notornis 53, 55-79.";"Native";"Native"
"Astelia_nivicola";"Nestor_notabilis";"Campbell 1976, Unpub. wildlife management thesis, Otago University.";"Native";"Native"
"Astelia_sp";"Nestor_notabilis";"Greer et al. 2015 NZ J Ecol 39, 254-61.";"Native";"Native"
"Astelia_sp";"Notiomystis_cincta";"Perrott & Armstrong 2000, NZJE 24: 19-30.";"Native";"Native"
"Astelia_sp";"Strigops_habroptila";"Atkinson & Merton, 2006, Notornis 53, 37-54.";"Native";"Native"
"Beilschmiedia_tarairi";"Hemiphaga_novaeseelandiae";"McEwen 1978 NZ J Ecol 1, 99-108.";"Native";"Native"
