"";"dist";"hwi";"disp.rate";"species"
"1";0;13,925;1;"Acanthisitta_chloris"
"2";10;13,925;0,487661942200256;"Acanthisitta_chloris"
"3";20;13,925;0,237814169870526;"Acanthisitta_chloris"
"4";30;13,925;0,115972919961802;"Acanthisitta_chloris"
"5";40;13,925;0,0565555793912075;"Acanthisitta_chloris"
"6";50;13,925;0,027580003688177;"Acanthisitta_chloris"
"7";60;13,925;0,0134497181644666;"Acanthisitta_chloris"
"8";70;13,925;0,00655891568212987;"Acanthisitta_chloris"
"9";80;13,925;0,00319853356027517;"Acanthisitta_chloris"
"10";90;13,925;0,00155980308819649;"Acanthisitta_chloris"
"11";100;13,925;0,000760656603439858;"Acanthisitta_chloris"
"12";110;13,925;0,000370943276580931;"Acanthisitta_chloris"
"13";120;13,925;0,000180894918703584;"Acanthisitta_chloris"
"14";130;13,925;8,82155673891471e-05;"Acanthisitta_chloris"
"15";140;13,925;4,30193749252891e-05;"Acanthisitta_chloris"
"16";150;13,925;2,09789119283075e-05;"Acanthisitta_chloris"
"17";160;13,925;1,02306169362066e-05;"Acanthisitta_chloris"
"18";170;13,925;4,98908252501732e-06;"Acanthisitta_chloris"
"19";180;13,925;2,43298567394731e-06;"Acanthisitta_chloris"
"20";190;13,925;1,18647451910254e-06;"Acanthisitta_chloris"
"21";200;13,925;5,78598468356662e-07;"Acanthisitta_chloris"
"22";210;13,925;2,82160452832903e-07;"Acanthisitta_chloris"
"23";220;13,925;1,37598914440597e-07;"Acanthisitta_chloris"
"24";230;13,925;6,71017538607487e-08;"Acanthisitta_chloris"
"25";240;13,925;3,27229716127762e-08;"Acanthisitta_chloris"
"26";250;13,925;1,59577478912503e-08;"Acanthisitta_chloris"
"27";260;13,925;7,78198632978915e-09;"Acanthisitta_chloris"
"28";270;13,925;3,79497856776083e-09;"Acanthisitta_chloris"
"29";280;13,925;1,85066661896259e-09;"Acanthisitta_chloris"
"30";290;13,925;9,02499677768479e-10;"Acanthisitta_chloris"
"31";300;13,925;4,40114745695682e-10;"Acanthisitta_chloris"
"32";0;23,59;1;"Acridotheres_tristis"
"33";10;23,59;0,654483806465978;"Acridotheres_tristis"
"34";20;23,59;0,428349052926196;"Acridotheres_tristis"
"35";30;23,59;0,280347518655234;"Acridotheres_tristis"
"36";40;23,59;0,183482911142769;"Acridotheres_tristis"
"37";50;23,59;0,120086594106179;"Acridotheres_tristis"
"38";60;23,59;0,0785947312161467;"Acridotheres_tristis"
"39";70;23,59;0,0514389788545141;"Acridotheres_tristis"
"40";80;23,59;0,0336659786814254;"Acridotheres_tristis"
"41";90;23,59;0,0220338378758218;"Acridotheres_tristis"
"42";100;23,59;0,0144207900840221;"Acridotheres_tristis"
"43";110;23,59;0,0094381735864376;"Acridotheres_tristis"
"44";120;23,59;0,00617713177493834;"Acridotheres_tristis"
"45";130;23,59;0,00404283271710359;"Acridotheres_tristis"
"46";140;23,59;0,00264596854559515;"Acridotheres_tristis"
"47";150;23,59;0,00173174356551036;"Acridotheres_tristis"
"48";160;23,59;0,00113339812057819;"Acridotheres_tristis"
"49";170;23,59;0,000741790716197398;"Acridotheres_tristis"
"50";180;23,59;0,000485490011537998;"Acridotheres_tristis"
"51";190;23,59;0,0003177453507526;"Acridotheres_tristis"
"52";200;23,59;0,000207959186647429;"Acridotheres_tristis"
"53";210;23,59;0,000136105920066579;"Acridotheres_tristis"
"54";220;23,59;8,90791206477284e-05;"Acridotheres_tristis"
"55";230;23,59;5,83008419581674e-05;"Acridotheres_tristis"
"56";240;23,59;3,81569569649529e-05;"Acridotheres_tristis"
"57";250;23,59;2,49731104375809e-05;"Acridotheres_tristis"
"58";260;23,59;1,63444963784832e-05;"Acridotheres_tristis"
"59";270;23,59;1,06972082045591e-05;"Acridotheres_tristis"
"60";280;23,59;7,00114954427892e-06;"Acridotheres_tristis"
"61";290;23,59;4,58213900337722e-06;"Acridotheres_tristis"
"62";300;23,59;2,99893577668654e-06;"Acridotheres_tristis"
"63";0;48,5;1;"Anas_chlorotis"
"64";10;48,5;0,813682069723415;"Anas_chlorotis"
"65";20;48,5;0,662078510589381;"Anas_chlorotis"
"66";30;48,5;0,538721412815764;"Anas_chlorotis"
"67";40;48,5;0,438347954184253;"Anas_chlorotis"
"68";50;48,5;0,356675870619668;"Anas_chlorotis"
"69";60;48,5;0,290220760626212;"Anas_chlorotis"
"70";70;48,5;0,23614742918304;"Anas_chlorotis"
"71";80;48,5;0,19214892893752;"Anas_chlorotis"
"72";90;48,5;0,156348138193019;"Anas_chlorotis"
"73";100;48,5;0,127217676682298;"Anas_chlorotis"
"74";110;48,5;0,103514742468257;"Anas_chlorotis"
"75";120;48,5;0,0842280898984573;"Anas_chlorotis"
"76";130;48,5;0,0685348865174266;"Anas_chlorotis"
"77";140;48,5;0,0557656083097591;"Anas_chlorotis"
"78";150;48,5;0,04537547558887;"Anas_chlorotis"
"79";160;48,5;0,0369212108918361;"Anas_chlorotis"
"80";170;48,5;0,0300421272951639;"Anas_chlorotis"
"81";180;48,5;0,0244447403164233;"Anas_chlorotis"
"82";190;48,5;0,0198902468945187;"Anas_chlorotis"
"83";200;48,5;0,0161843372604417;"Anas_chlorotis"
"84";210;48,5;0,013168905039178;"Anas_chlorotis"
"85";220;48,5;0,0107153019082695;"Anas_chlorotis"
"86";230;48,5;0,00871884903443196;"Anas_chlorotis"
"87";240;48,5;0,0070943711279426;"Anas_chlorotis"
"88";250;48,5;0,00577256258277037;"Anas_chlorotis"
"89";260;48,5;0,00469703066995654;"Anas_chlorotis"
"90";270;48,5;0,0038218896370846;"Anas_chlorotis"
"91";280;48,5;0,00310980307015747;"Anas_chlorotis"
"92";290;48,5;0,00253039099855796;"Anas_chlorotis"
"93";300;48,5;0,00205893378491614;"Anas_chlorotis"
"94";0;19,125;1;"Anthornis_melanura"
"95";10;19,125;0,592813271758992;"Anthornis_melanura"
"96";20;19,125;0,351427575173601;"Anthornis_melanura"
"97";30;19,125;0,208330930624991;"Anthornis_melanura"
"98";40;19,125;0,123501340592397;"Anthornis_melanura"
"99";50;19,125;0,0732132337832003;"Anthornis_melanura"
"100";60;19,125;0,043401776655075;"Anthornis_melanura"
"101";70;19,125;0,025729149219048;"Anthornis_melanura"
"102";80;19,125;0,0152525811281192;"Anthornis_melanura"
"103";90;19,125;0,00904193252132979;"Anthornis_melanura"
"104";100;19,125;0,00536017760099355;"Anthornis_melanura"
"105";110;19,125;0,00317758442085425;"Anthornis_melanura"
"106";120;19,125;0,00188371421681701;"Anthornis_melanura"
"107";130;19,125;0,00111669078793022;"Anthornis_melanura"
"108";140;19,125;0,00066198911953604;"Anthornis_melanura"
"109";150;19,125;0,000392435935821014;"Anthornis_melanura"
"110";160;19,125;0,000232641231069857;"Anthornis_melanura"
"111";170;19,125;0,000137912809336562;"Anthornis_melanura"
"112";180;19,125;8,17565437202814e-05;"Anthornis_melanura"
"113";190;19,125;4,84663641705271e-05;"Anthornis_melanura"
"114";200;19,125;2,8731503914193e-05;"Anthornis_melanura"
"115";210;19,125;1,7032416837929e-05;"Anthornis_melanura"
"116";220;19,125;1,00970427516556e-05;"Anthornis_melanura"
"117";230;19,125;5,9856609486994e-06;"Anthornis_melanura"
"118";240;19,125;3,54837925063853e-06;"Anthornis_melanura"
"119";250;19,125;2,10352631301275e-06;"Anthornis_melanura"
"120";260;19,125;1,24699831584822e-06;"Anthornis_melanura"
"121";270;19,125;7,39237151495934e-07;"Anthornis_melanura"
"122";280;19,125;4,38229594384101e-07;"Anthornis_melanura"
"123";290;19,125;2,59788319628455e-07;"Anthornis_melanura"
"124";300;19,125;1,54005963723715e-07;"Anthornis_melanura"
"125";0;22,6375;1;"Anthus_novaeseelandiae"
"126";10;22,6375;0,642913626737671;"Anthus_novaeseelandiae"
"127";20;22,6375;0,413337931444986;"Anthus_novaeseelandiae"
"128";30;22,6375;0,265740588573543;"Anthus_novaeseelandiae"
"129";40;22,6375;0,17084824557122;"Anthus_novaeseelandiae"
"130";50;22,6375;0,109840665181961;"Anthus_novaeseelandiae"
"131";60;22,6375;0,070618060415413;"Anthus_novaeseelandiae"
"132";70;22,6375;0,0454013133348532;"Anthus_novaeseelandiae"
"133";80;22,6375;0,0291891230147639;"Anthus_novaeseelandiae"
"134";90;22,6375;0,0187660849387139;"Anthus_novaeseelandiae"
"135";100;22,6375;0,0120649717276157;"Anthus_novaeseelandiae"
"136";110;22,6375;0,00775673472988889;"Anthus_novaeseelandiae"
"137";120;22,6375;0,00498691045683492;"Anthus_novaeseelandiae"
"138";130;22,6375;0,00320615268801976;"Anthus_novaeseelandiae"
"139";140;22,6375;0,00206127925252952;"Anthus_novaeseelandiae"
"140";150;22,6375;0,00132522451996287;"Anthus_novaeseelandiae"
"141";160;22,6375;0,000852004902371017;"Anthus_novaeseelandiae"
"142";170;22,6375;0,000547765561781626;"Anthus_novaeseelandiae"
"143";180;22,6375;0,000352165943927023;"Anthus_novaeseelandiae"
"144";190;22,6375;0,000226412284223618;"Anthus_novaeseelandiae"
"145";200;22,6375;0,000145563542788167;"Anthus_novaeseelandiae"
"146";210;22,6375;9,35847852147245e-05;"Anthus_novaeseelandiae"
"147";220;22,6375;6,01669336698645e-05;"Anthus_novaeseelandiae"
