"species"
"Acer pseudoplatanus"
"Acrothamnus colensoi"
"Actinidia arguta"
"Actinidia chinensis"
"Alectryon excelsus"
"Alepis flavida"
"Alnus glutinosa"
"Alseuosmia macrophylla"
"Androstoma empetrifolia"
"Arbutus unedo"
"Archontophoenix cunninghamiana"
"Aristotelia fruticosa"
"Aristotelia serrata"
"Ascarina lucida"
"Asparagus asparagoides"
"Asparagus scandens"
"Astelia banksii"
"Astelia fragrans"
"Astelia nervosa"
"Astelia nivicola"
"Beilschmiedia tarairi"
"Beilschmiedia tawa"
"Berberis darwinii"
"Berberis glaucocarpa"
"Carpodetus serratus"
"Cestrum nocturnum"
"Coprosma acerosa"
"Coprosma arborea"
"Coprosma areolata"
"Coprosma cheesemanii"
"Coprosma colensoi"
"Coprosma crassifolia"
"Coprosma cuneata"
"Coprosma depressa"
"Coprosma foetidissima"
"Coprosma fowerakeri"
"Coprosma grandifolia"
"Coprosma intertexta"
"Coprosma linariifolia"
"Coprosma lucida"
"Coprosma macrocarpa"
"Coprosma parviflora"
"Coprosma perpusilla"
"Coprosma petriei"
"Coprosma propinqua"
"Coprosma pseudocuneata"
"Coprosma repens"
"Coprosma rhamnoides"
"Coprosma rigida"
"Coprosma robusta"
"Coprosma rotundifolia"
"Coprosma rugosa"
"Coprosma serrulata"
"Coprosma tenuifolia"
"Cordyline australis"
"Coriaria angustissima"
"Coriaria arborea"
"Coriaria plumosa"
"Coriaria sarmentosa"
"Corokia cotoneaster"
"Corokia macrocarpa"
"Corynocarpus laevigatus"
"Cotoneaster coriaceus"
"Cotoneaster franchetii"
"Cotoneaster glaucophyllus"
"Crataegus monogyna"
"Dacrycarpus dacrydioides"
"Dacrydium cupressinum"
"Dracaena draco"
"Dracophyllum longifolium"
"Dysoxylum spectabile"
"Elaeocarpus dentatus"
"Elaeocarpus hookerianus"
"Euonymus europaeus"
"Ficus carica"
"Ficus macrophylla"
"Fragaria ananassa"
"Freycinetia banksii"
"Fuchsia excorticata"
"Fuchsia perscandens"
"Gaultheria antipoda"
"Gaultheria depressa"
"Gaultheria macrostigma"
"Geniostoma ligustrifolium"
"Geniostoma rupestre"
"Griselinia littoralis"
"Griselinia lucida"
"Gunnera tinctoria"
"Halocarpus biformis"
"Hedera helix"
"Hedycarya arborea"
"Hedychium gardnerianum"
"Ileostylus micranthus"
"Ilex aquifolium"
"Isolepis habra"
"Knightia excelsa"
"Lantana camara"
"Laurus nobilis"
"Lepidothamnus intermedius"
"Lepidothamnus laxifolius"
"Leptecophylla juniperina"
"Leptospermum scoparium"
"Leucopogon fasciculatus"
"Leycesteria formosa"
"Ligustrum lucidum"
"Ligustrum ovalifolium"
"Ligustrum sinense"
"Litsea calicaris"
"Lonicera japonica"
"Lophomyrtus bullata"
"Lophomyrtus obcordata"
"Luzuriaga parviflora"
"Lycium ferocissimum"
"Macropiper excelsum"
"Malus domestica"
"Melicytus alpinus"
"Melicytus chathamicus"
"Melicytus lanceolatus"
"Melicytus obovatus"
"Melicytus ramiflorus"
"Meryta sinclairii"
"Metrosideros umbellata"
"Mida salicifolia"
"Muehlenbeckia astonii"
"Muehlenbeckia australis"
"Muehlenbeckia axillaris"
"Muehlenbeckia complexa"
"Myoporum laetum"
"Myrsine australis"
"Myrsine chathamica"
"Myrsine divaricata"
"Myrsine salicina"
"Neomyrtus pedunculata"
"Neopanax colensoi"
"Nestegis cunninghamii"
"Nestegis lanceolata"
"Paratrophis microphylla"
"Parsonsia heterophylla"
"Passiflora tarminiana"
"Passiflora tetrandra"
"Pennantia corymbosa"
"Pentachondra pumila"
"Peraxilla colensoi"
"Peraxilla tetrapetala"
"Phoenix canariensis"
"Phormium colensoi"
"Phormium tenax"
"Phyllocladus trichomanoides"
"Phytolacca icosandra"
"Pisonia brunoniana"
"Pittosporum crassifolium"
"Pittosporum eugenioides"
"Pittosporum tenuifolium"
"Plagianthus regius"
"Planchonella costata"
"Podocarpus cunninghamii"
"Podocarpus nivalis"
"Podocarpus totara"
"Prumnopitys ferruginea"
"Prumnopitys taxifolia"
"Prunus avium"
"Prunus cerasifera"
"Prunus domestica"
"Prunus laurocerasus"
"Prunus persica"
"Pseudopanax arboreus"
"Pseudopanax crassifolius"
"Pseudopanax lessonii"
"Pseudowintera axillaris"
"Pseudowintera colorata"
"Psidium cattleianum"
"Pyrus communis"
"Raukaua edgerleyi"
"Raukaua simplex"
"Rhamnus alaternus"
"Rhaphiolepis loquata"
"Rhopalostylis sapida"
"Ribes sanguineum"
"Ripogonum scandens"
"Rosa rubiginosa"
"Rubus australis"
"Rubus cissoides"
"Rubus fruticosus"
"Rubus squarrosus"
"Sambucus nigra"
"Schefflera digitata"
"Solanum americanum"
"Solanum aviculare"
"Solanum laciniatum"
"Solanum mauritianum"
"Solanum nigrum"
"Solanum pseudocapsicum"
"Sorbus aucuparia"
"Styphelia nesophila"
"Syzygium australe"
"Syzygium smithii"
"Taxus baccata"
"Toronia toru"
"Trachycarpus fortunei"
"Tropaeolum speciosum"
"Tupeia antarctica"
"Vitex lucens"
"Vitis vinifera"
"Weinmannia racemosa"
