"landscape.category";"network.category";"dispersal.category";"replicate";"normalised.gce"
"sa04";"dd01";"dk01";10;0,0238956215248903
"sa04";"dd01";"dk01";2;0,0175580826201455
"sa04";"dd01";"dk01";3;0,0185919542279655
"sa04";"dd01";"dk01";4;0,0171828749355844
"sa04";"dd01";"dk01";5;0,0343044125253929
"sa04";"dd01";"dk01";6;0,0302682401040957
"sa04";"dd01";"dk01";7;0,0111910837122585
"sa04";"dd01";"dk01";8;0,0403591170031406
"sa04";"dd01";"dk01";9;0,0629699419517087
"sa04";"dd01";"dk02";1;0,00866146401633392
"sa04";"dd01";"dk02";10;0,0212006860946019
"sa04";"dd01";"dk02";2;0,0248294679318859
"sa04";"dd01";"dk02";3;0,0257344696135008
"sa04";"dd01";"dk02";4;0,011008554819805
"sa04";"dd01";"dk02";5;0,0225721888090878
"sa04";"dd01";"dk02";6;0,0175905031390345
"sa04";"dd01";"dk02";7;0,0161498316655892
"sa04";"dd01";"dk02";8;0,0198101813187175
"sa04";"dd01";"dk02";9;0,0458783938802524
"sa04";"dd01";"dk03";1;0,0202662715204435
"sa04";"dd01";"dk03";10;0,0191503723395167
"sa04";"dd01";"dk03";2;0,0259980044209887
"sa04";"dd01";"dk03";3;0,026258786055192
"sa04";"dd01";"dk03";4;0,0155261533115601
"sa04";"dd01";"dk03";5;0,0314361660735294
"sa04";"dd01";"dk03";6;0,0159717780192498
"sa04";"dd01";"dk03";7;0,017599642507524
"sa04";"dd01";"dk03";8;0,0373410990371255
"sa04";"dd01";"dk03";9;0,0559417771886148
"sa04";"dd01";"dk04";1;0,0260191247781787
"sa04";"dd01";"dk04";10;0,0198029667778171
"sa04";"dd01";"dk04";2;0,0123722927976758
"sa04";"dd01";"dk04";3;0,0266104450664887
"sa04";"dd01";"dk04";4;0,0154110937600166
"sa04";"dd01";"dk04";5;0,0270473826715339
"sa04";"dd01";"dk04";6;0,0144945590025169
"sa04";"dd01";"dk04";7;0,0172990959935097
"sa04";"dd01";"dk04";8;0,0203248719658962
"sa04";"dd01";"dk04";9;0,0547099822112776
"sa04";"dd01";"dk05";1;0,0161419645070836
"sa04";"dd01";"dk05";10;0,0193624492788264
"sa04";"dd01";"dk05";2;0,0193434716597544
"sa04";"dd01";"dk05";3;0,0266559526470124
"sa04";"dd01";"dk05";4;0,0146303876928689
"sa04";"dd01";"dk05";5;0,0191008010225771
"sa04";"dd01";"dk05";6;0,0146887223727958
"sa04";"dd01";"dk05";7;0,0249847805588828
"sa04";"dd01";"dk05";8;0,0300349303809512
"sa04";"dd01";"dk05";9;0,0514140817019926
"sa05";"dd01";"dk01";1;0,0181456909989158
"sa05";"dd01";"dk01";10;0,0266541659768751
"sa05";"dd01";"dk01";2;0,0150578663798308
"sa05";"dd01";"dk01";3;0,0137211531594786
"sa05";"dd01";"dk01";4;0,0243979967660453
"sa05";"dd01";"dk01";5;0,0388838002399057
"sa05";"dd01";"dk01";6;0,026152033201016
"sa05";"dd01";"dk01";7;0,0139075660035629
"sa05";"dd01";"dk01";8;0,0448563186410504
"sa05";"dd01";"dk01";9;0,0651162590011088
"sa05";"dd01";"dk02";1;0,017012404725464
"sa05";"dd01";"dk02";10;0,019632272630207
"sa05";"dd01";"dk02";2;0,0227563991374881
"sa05";"dd01";"dk02";3;0,0228171550770569
"sa05";"dd01";"dk02";4;0,017383089073177
"sa05";"dd01";"dk02";5;0,0357457571484237
"sa05";"dd01";"dk02";6;0,0180009502443888
"sa05";"dd01";"dk02";7;0,0161122550675874
"sa05";"dd01";"dk02";8;0,0449139336557459
"sa05";"dd01";"dk02";9;0,0420197720147936
"sa05";"dd01";"dk03";1;0,0180243583007848
"sa05";"dd01";"dk03";10;0,029640842961791
"sa05";"dd01";"dk03";2;0,0261207206694306
