"landscape.category";"network.category";"dispersal.category";"replicate";"raw.communicability";"max.communicability"
"sa01";"dd01";"dk01";1;0,00215546873567838;10346892158972872
"sa01";"dd01";"dk01";10;0,00379676310216575;1,34626802359955e+30
"sa01";"dd01";"dk01";2;0,00414168778892734;4042324217709925888
"sa01";"dd01";"dk01";3;0,00210967547760122;2,00213061637847e+41
"sa01";"dd01";"dk01";4;0,00215350853922016;2,47167260279243e+28
"sa01";"dd01";"dk01";5;0,00195009491136768;4,1082083072273e+49
"sa01";"dd01";"dk01";6;0,00279577536871911;5,62263718397178e+39
"sa01";"dd01";"dk01";7;0,00258303035960514;2,5399013040047e+85
"sa01";"dd01";"dk01";8;0,00369328175770965;1,65062667729605e+50
"sa01";"dd01";"dk01";9;0,00209001604253835;6,51135588020616e+31
"sa01";"dd01";"dk02";1;0,00240425141534494;4973270954936867840
"sa01";"dd01";"dk02";10;0,00363990066386082;2,14141696636632e+27
"sa01";"dd01";"dk02";2;0,00383332195762231;2,09707458271256e+31
"sa01";"dd01";"dk02";3;0,00223229904252465;1,30768868815438e+42
"sa01";"dd01";"dk02";4;0,00252581803911664;1,15235776992464e+23
"sa01";"dd01";"dk02";5;0,001952477703593;5,5523195210973e+56
"sa01";"dd01";"dk02";6;0,00338113447752784;2,49510150889589e+34
"sa01";"dd01";"dk02";7;0,00345810859696648;8,18993632617104e+77
"sa01";"dd01";"dk02";8;0,00444577093693456;7,59811230316001e+56
"sa01";"dd01";"dk02";9;0,00221289237174491;1,32025351503716e+31
"sa01";"dd01";"dk03";1;0,00298181965809531;2,59009181041886e+51
"sa01";"dd01";"dk03";10;0,00383178628838971;5,0485346984235e+29
"sa01";"dd01";"dk03";2;0,00512252196250106;8,56198285941274e+33
"sa01";"dd01";"dk03";3;0,00293194853937512;55520817945550446592
"sa01";"dd01";"dk03";4;0,00371562336191655;2,0376646211194e+29
"sa01";"dd01";"dk03";5;0,00252334049165091;2,78372395934237e+63
"sa01";"dd01";"dk03";6;0,00365696333170372;5,41871045513917e+33
"sa01";"dd01";"dk03";7;0,00366501676571423;8,02360526584506e+82
"sa01";"dd01";"dk03";8;0,00544762995957381;1,45683026135344e+54
"sa01";"dd01";"dk03";9;0,00251188770229475;7,74296316817866e+41
"sa01";"dd01";"dk04";1;0,00379558698734108;6,88668746877304e+59
"sa01";"dd01";"dk04";10;0,00569017866442263;2,5039585168569e+37
"sa01";"dd01";"dk04";2;0,00648008057558842;1,58105732948694e+32
"sa01";"dd01";"dk04";3;0,00372334249627711;1,07688662973326e+38
"sa01";"dd01";"dk04";4;0,00287466846767272;58850899020901,6
"sa01";"dd01";"dk04";5;0,00300006010891254;5,29898481265658e+78
"sa01";"dd01";"dk04";6;0,00386696360842501;3,41541456377987e+28
"sa01";"dd01";"dk04";7;0,00499015274102131;1,83721874157271e+91
"sa01";"dd01";"dk04";8;0,00605515796495706;2,20815258482449e+50
"sa01";"dd01";"dk04";9;0,00298890095163881;3,34084045606934e+44
"sa01";"dd01";"dk05";1;0,00451438708730889;1,35206870104757e+57
"sa01";"dd01";"dk05";10;0,00597303498189992;1,21599209966315e+32
"sa01";"dd01";"dk05";2;0,00717619624035177;4,13857439794742e+32
"sa01";"dd01";"dk05";3;0,0044031630996139;1,31651119585547e+35
"sa01";"dd01";"dk05";4;0,0049856728872308;1,01249168486956e+39
"sa01";"dd01";"dk05";5;0,00361136525254571;1,01737900880015e+46
"sa01";"dd01";"dk05";6;0,00460665898904256;4050211798120964096
"sa01";"dd01";"dk05";7;0,00603973785352054;1,04049582113494e+78
"sa01";"dd01";"dk05";8;0,0073216849315335;1,06763224005163e+51
"sa01";"dd01";"dk05";9;0,00442268460649817;2,75439407071993e+33
