"cell_id";"species";"deg"
1016;"Mohoua_albicilla";24
1016;"Petroica_macrocephala";29
1016;"Prosthemadera_novaeseelandiae";34
1016;"Turdus_merula";36
1016;"Zosterops_lateralis";37
1017;"Beilschmiedia_tawa";1
1017;"Carpodetus_serratus";6
1017;"Coprosma_lucida";5
1017;"Coprosma_rhamnoides";4
1017;"Dacrydium_cupressinum";7
1017;"Elaeocarpus_dentatus";2
1017;"Hedycarya_arborea";3
1017;"Leucopogon_fasciculatus";3
1017;"Melicytus_ramiflorus";7
1017;"Myrsine_australis";6
1017;"Prumnopitys_ferruginea";5
1017;"Pseudopanax_crassifolius";7
1017;"Ripogonum_scandens";5
1017;"Rubus_cissoides";2
1017;"Schefflera_digitata";5
1017;"Anthornis_melanura";35
1017;"Gerygone_igata";30
1017;"Hemiphaga_novaeseelandiae";33
1017;"Mohoua_albicilla";21
1017;"Petroica_australis";16
1017;"Petroica_macrocephala";30
1017;"Prosthemadera_novaeseelandiae";35
1017;"Turdus_merula";38
1017;"Zosterops_lateralis";41
1018;"Leucopogon_fasciculatus";2
1018;"Melicytus_ramiflorus";4
1018;"Anthornis_melanura";20
1018;"Prosthemadera_novaeseelandiae";25
1018;"Turdus_merula";30
1018;"Zosterops_lateralis";30
1023;"Carpodetus_serratus";5
1023;"Coprosma_foetidissima";3
1023;"Coprosma_tenuifolia";1
1023;"Griselinia_littoralis";5
1023;"Myrsine_divaricata";2
1023;"Pseudopanax_crassifolius";6
1023;"Pseudowintera_colorata";4
1023;"Raukaua_simplex";6
1023;"Rubus_cissoides";2
1023;"Acanthisitta_chloris";2
1023;"Anthornis_melanura";15
1023;"Gerygone_igata";27
1023;"Mohoua_albicilla";2
1023;"Petroica_australis";2
1023;"Petroica_macrocephala";10
1023;"Prosthemadera_novaeseelandiae";4
1023;"Rhipidura_fuliginosa";10
1023;"Turdus_merula";29
1023;"Turdus_philomelos";1
1023;"Zosterops_lateralis";29
1028;"Coprosma_tenuifolia";1
1028;"Griselinia_littoralis";5
1028;"Leucopogon_fasciculatus";3
1028;"Podocarpus_cunninghamii";4
1028;"Raukaua_simplex";6
1028;"Acanthisitta_chloris";7
1028;"Anthornis_melanura";21
1028;"Gerygone_igata";27
1028;"Petroica_australis";6
1028;"Petroica_macrocephala";21
1028;"Prosthemadera_novaeseelandiae";22
1028;"Turdus_merula";29
1028;"Zosterops_lateralis";28
103;"Coprosma_lucida";4
103;"Coprosma_rhamnoides";2
103;"Coprosma_robusta";4
103;"Geniostoma_ligustrifolium";1
103;"Hedycarya_arborea";2
103;"Leucopogon_fasciculatus";2
103;"Melicytus_ramiflorus";4
103;"Myrsine_australis";4
103;"Pseudopanax_arboreus";4
103;"Pseudopanax_crassifolius";5
103;"Ripogonum_scandens";4
103;"Gerygone_igata";27
103;"Hemiphaga_novaeseelandiae";29
103;"Petroica_macrocephala";23
103;"Prosthemadera_novaeseelandiae";32
103;"Turdus_merula";34
103;"Zosterops_lateralis";35
1031;"Melicytus_ramiflorus";4
1031;"Myrsine_australis";3
1031;"Pseudopanax_crassifolius";4
1031;"Gerygone_igata";28
1031;"Petroica_macrocephala";17
1031;"Prosthemadera_novaeseelandiae";25
1031;"Turdus_merula";30
1031;"Turdus_philomelos";14
1031;"Zosterops_lateralis";30
1033;"Melicytus_ramiflorus";3
1033;"Myrsine_australis";3
1033;"Prosthemadera_novaeseelandiae";18
1033;"Turdus_merula";22
1033;"Zosterops_lateralis";20
1035;"Hedycarya_arborea";1
1035;"Melicytus_ramiflorus";3
1035;"Myrsine_australis";3
1035;"Prosthemadera_novaeseelandiae";17
1035;"Turdus_merula";19
1035;"Zosterops_lateralis";19
1036;"Carpodetus_serratus";4
1036;"Coprosma_lucida";4
1036;"Coprosma_robusta";5
1036;"Hedycarya_arborea";2
1036;"Macropiper_excelsum";5
1036;"Melicytus_ramiflorus";5
1036;"Myrsine_australis";4
1036;"Pseudopanax_crassifolius";5
1036;"Ripogonum_scandens";4
1036;"Anthornis_melanura";20
1036;"Gerygone_igata";21
1036;"Petroica_macrocephala";14
1036;"Prosthemadera_novaeseelandiae";25
1036;"Turdus_merula";28
1036;"Turdus_philomelos";7
1036;"Zosterops_lateralis";28
1037;"Beilschmiedia_tawa";1
1037;"Carpodetus_serratus";5
1037;"Coprosma_lucida";5
1037;"Hedycarya_arborea";3
1037;"Leucopogon_fasciculatus";2
1037;"Melicytus_ramiflorus";6
1037;"Myrsine_australis";6
1037;"Pseudopanax_crassifolius";7
1037;"Ripogonum_scandens";5
1037;"Anthornis_melanura";23
1037;"Gerygone_igata";24
1037;"Hemiphaga_novaeseelandiae";21
1037;"Mohoua_albicilla";14
1037;"Petroica_macrocephala";18
1037;"Prosthemadera_novaeseelandiae";26
1037;"Turdus_merula";30
1037;"Zosterops_lateralis";30
1038;"Beilschmiedia_tawa";1
1038;"Coprosma_lucida";5
1038;"Elaeocarpus_dentatus";2
1038;"Hedycarya_arborea";3
1038;"Leucopogon_fasciculatus";3
1038;"Melicytus_ramiflorus";6
1038;"Prumnopitys_ferruginea";5
1038;"Rhopalostylis_sapida";1
1038;"Ripogonum_scandens";5
1038;"Anthornis_melanura";26
1038;"Hemiphaga_novaeseelandiae";25
1038;"Petroica_australis";9
1038;"Prosthemadera_novaeseelandiae";28
1038;"Turdus_merula";31
1038;"Zosterops_lateralis";31
1039;"Beilschmiedia_tawa";1
1039;"Carpodetus_serratus";5
1039;"Coprosma_lucida";5
1039;"Dacrydium_cupressinum";7
1039;"Elaeocarpus_dentatus";2
1039;"Hedycarya_arborea";3
1039;"Leucopogon_fasciculatus";2
1039;"Melicytus_ramiflorus";6
1039;"Myrsine_australis";6
1039;"Prumnopitys_ferruginea";5
1039;"Pseudopanax_crassifolius";7
1039;"Rhopalostylis_sapida";1
1039;"Ripogonum_scandens";5
1039;"Rubus_cissoides";2
1039;"Schefflera_digitata";5
1039;"Anthornis_melanura";34
1039;"Gerygone_igata";29
1039;"Hemiphaga_novaeseelandiae";32
1039;"Mohoua_albicilla";20
1039;"Petroica_macrocephala";26
1039;"Prosthemadera_novaeseelandiae";34
1039;"Turdus_merula";37
1039;"Zosterops_lateralis";38
104;"Beilschmiedia_tawa";1
104;"Coprosma_lucida";4
104;"Coprosma_rhamnoides";2
104;"Geniostoma_ligustrifolium";1
104;"Hedycarya_arborea";2
104;"Leucopogon_fasciculatus";2
104;"Melicytus_ramiflorus";4
104;"Myrsine_australis";4
104;"Pseudopanax_crassifolius";5
104;"Ripogonum_scandens";4
104;"Gerygone_igata";25
104;"Hemiphaga_novaeseelandiae";25
104;"Petroica_macrocephala";21
104;"Prosthemadera_novaeseelandiae";27
104;"Turdus_merula";30
104;"Zosterops_lateralis";32
1040;"Beilschmiedia_tawa";1
1040;"Carpodetus_serratus";5
1040;"Coprosma_lucida";5
1040;"Coprosma_robusta";6
1040;"Hedycarya_arborea";3
1040;"Leucopogon_fasciculatus";2
1040;"Melicytus_ramiflorus";6
1040;"Myrsine_australis";6
1040;"Pseudopanax_arboreus";6
1040;"Pseudopanax_crassifolius";7
1040;"Ripogonum_scandens";5
1040;"Rubus_cissoides";2
1040;"Anthornis_melanura";33
1040;"Gerygone_igata";29
1040;"Hemiphaga_novaeseelandiae";29
1040;"Mohoua_albicilla";22
1040;"Petroica_macrocephala";26
1040;"Prosthemadera_novaeseelandiae";34
1040;"Turdus_merula";37
1040;"Zosterops_lateralis";38
1041;"Aristotelia_serrata";5
1041;"Beilschmiedia_tawa";1
1041;"Carpodetus_serratus";6
1041;"Coprosma_lucida";5
1041;"Coprosma_rhamnoides";4
1041;"Coprosma_robusta";7
1041;"Dacrycarpus_dacrydioides";5
1041;"Dacrydium_cupressinum";7
1041;"Elaeocarpus_dentatus";2
1041;"Griselinia_littoralis";6
1041;"Hedycarya_arborea";3
1041;"Leucopogon_fasciculatus";3
1041;"Melicytus_ramiflorus";7
1041;"Myrsine_australis";6
1041;"Podocarpus_cunninghamii";5
1041;"Prumnopitys_ferruginea";5
1041;"Pseudopanax_arboreus";7
1041;"Pseudopanax_crassifolius";7
1041;"Ripogonum_scandens";5
1041;"Rubus_cissoides";2
1041;"Schefflera_digitata";5
1041;"Anthornis_melanura";40
1041;"Gerygone_igata";31
1041;"Hemiphaga_novaeseelandiae";35
1041;"Mohoua_albicilla";19
1041;"Petroica_australis";16
1041;"Petroica_macrocephala";28
1041;"Prosthemadera_novaeseelandiae";41
1041;"Turdus_merula";44
1041;"Zosterops_lateralis";47
1042;"Beilschmiedia_tawa";1
1042;"Carpodetus_serratus";6
1042;"Coprosma_lucida";5
1042;"Coprosma_rhamnoides";5
1042;"Coprosma_robusta";7
1042;"Elaeocarpus_dentatus";2
1042;"Geniostoma_ligustrifolium";1
1042;"Hedycarya_arborea";3
1042;"Leucopogon_fasciculatus";3
1042;"Macropiper_excelsum";6
1042;"Melicytus_ramiflorus";7
1042;"Myrsine_australis";5
1042;"Pseudopanax_crassifolius";6
1042;"Rhopalostylis_sapida";1
1042;"Ripogonum_scandens";5
1042;"Anthornis_melanura";29
1042;"Gerygone_igata";29
1042;"Hemiphaga_novaeseelandiae";26
1042;"Petroica_australis";11
1042;"Petroica_macrocephala";26
1042;"Prosthemadera_novaeseelandiae";31
1042;"Turdus_merula";37
1042;"Turdus_philomelos";10
1042;"Zosterops_lateralis";38
1043;"Carpodetus_serratus";4
1043;"Coprosma_lucida";4
1043;"Coprosma_rhamnoides";2
1043;"Dacrydium_cupressinum";6
1043;"Griselinia_littoralis";5
1043;"Hedycarya_arborea";2
1043;"Leucopogon_fasciculatus";2
