"x";"y";"cell"
1;1;1
2;1;2
3;1;3
4;1;4
5;1;5
6;1;6
7;1;7
8;1;8
9;1;9
10;1;10
11;1;11
12;1;12
13;1;13
14;1;14
15;1;15
16;1;16
17;1;17
18;1;18
19;1;19
20;1;20
1;2;21
2;2;22
3;2;23
4;2;24
5;2;25
6;2;26
7;2;27
8;2;28
9;2;29
10;2;30
11;2;31
12;2;32
13;2;33
14;2;34
15;2;35
16;2;36
17;2;37
18;2;38
19;2;39
20;2;40
1;3;41
2;3;42
3;3;43
4;3;44
5;3;45
6;3;46
7;3;47
8;3;48
9;3;49
10;3;50
11;3;51
12;3;52
13;3;53
14;3;54
15;3;55
16;3;56
17;3;57
18;3;58
19;3;59
20;3;60
1;4;61
2;4;62
3;4;63
4;4;64
5;4;65
6;4;66
7;4;67
8;4;68
9;4;69
10;4;70
11;4;71
12;4;72
13;4;73
14;4;74
15;4;75
16;4;76
17;4;77
18;4;78
19;4;79
20;4;80
1;5;81
2;5;82
3;5;83
4;5;84
5;5;85
6;5;86
7;5;87
8;5;88
9;5;89
10;5;90
11;5;91
12;5;92
13;5;93
14;5;94
15;5;95
16;5;96
17;5;97
18;5;98
19;5;99
20;5;100
1;6;101
2;6;102
3;6;103
4;6;104
5;6;105
6;6;106
7;6;107
8;6;108
9;6;109
10;6;110
11;6;111
12;6;112
13;6;113
14;6;114
15;6;115
16;6;116
17;6;117
18;6;118
19;6;119
20;6;120
1;7;121
2;7;122
3;7;123
4;7;124
5;7;125
6;7;126
7;7;127
8;7;128
9;7;129
10;7;130
11;7;131
12;7;132
13;7;133
14;7;134
15;7;135
16;7;136
17;7;137
18;7;138
19;7;139
20;7;140
1;8;141
2;8;142
3;8;143
4;8;144
5;8;145
6;8;146
7;8;147
8;8;148
9;8;149
10;8;150
11;8;151
12;8;152
13;8;153
14;8;154
15;8;155
16;8;156
17;8;157
18;8;158
19;8;159
20;8;160
1;9;161
2;9;162
3;9;163
4;9;164
5;9;165
6;9;166
7;9;167
8;9;168
9;9;169
10;9;170
11;9;171
12;9;172
13;9;173
14;9;174
15;9;175
16;9;176
17;9;177
18;9;178
19;9;179
20;9;180
1;10;181
2;10;182
3;10;183
4;10;184
5;10;185
6;10;186
7;10;187
8;10;188
9;10;189
10;10;190
11;10;191
12;10;192
13;10;193
14;10;194
15;10;195
16;10;196
17;10;197
18;10;198
19;10;199
20;10;200
1;11;201
2;11;202
3;11;203
4;11;204
5;11;205
6;11;206
7;11;207
8;11;208
9;11;209
10;11;210
11;11;211
12;11;212
13;11;213
14;11;214
15;11;215
16;11;216
17;11;217
18;11;218
19;11;219
20;11;220
1;12;221
2;12;222
3;12;223
4;12;224
5;12;225
6;12;226
7;12;227
8;12;228
9;12;229
10;12;230
11;12;231
12;12;232
13;12;233
14;12;234
15;12;235
16;12;236
17;12;237
18;12;238
19;12;239
20;12;240
1;13;241
2;13;242
3;13;243
4;13;244
5;13;245
6;13;246
7;13;247
8;13;248
9;13;249
10;13;250
11;13;251
12;13;252
13;13;253
14;13;254
15;13;255
16;13;256
17;13;257
18;13;258
19;13;259
20;13;260
1;14;261
2;14;262
3;14;263
4;14;264
5;14;265
6;14;266
7;14;267
8;14;268
9;14;269
10;14;270
11;14;271
12;14;272
13;14;273
14;14;274
15;14;275
16;14;276
17;14;277
18;14;278
19;14;279
20;14;280
1;15;281
2;15;282
3;15;283
4;15;284
5;15;285
6;15;286
7;15;287
8;15;288
9;15;289
10;15;290
11;15;291
12;15;292
13;15;293
14;15;294
15;15;295
16;15;296
17;15;297
18;15;298
19;15;299
20;15;300
1;16;301
2;16;302
3;16;303
4;16;304
5;16;305
6;16;306
7;16;307
8;16;308
9;16;309
10;16;310
11;16;311
12;16;312
13;16;313
14;16;314
15;16;315
16;16;316
17;16;317
18;16;318
19;16;319
20;16;320
1;17;321
2;17;322
3;17;323
4;17;324
5;17;325
6;17;326
7;17;327
8;17;328
9;17;329
10;17;330
11;17;331
12;17;332
13;17;333
14;17;334
15;17;335
16;17;336
17;17;337
18;17;338
19;17;339
20;17;340
1;18;341
2;18;342
3;18;343
4;18;344
5;18;345
6;18;346
7;18;347
8;18;348
9;18;349
10;18;350
11;18;351
12;18;352
13;18;353
14;18;354
15;18;355
16;18;356
17;18;357
18;18;358
19;18;359
20;18;360
1;19;361
2;19;362
3;19;363
4;19;364
5;19;365
6;19;366
7;19;367
8;19;368
9;19;369
10;19;370
11;19;371
12;19;372
13;19;373
14;19;374
15;19;375
16;19;376
17;19;377
18;19;378
19;19;379
20;19;380
1;20;381
2;20;382
3;20;383
4;20;384
5;20;385
6;20;386
7;20;387
8;20;388
9;20;389
10;20;390
11;20;391
12;20;392
13;20;393
14;20;394
15;20;395
16;20;396
17;20;397
18;20;398
19;20;399
20;20;400
