"species";"guild";"cell";"aggregated.communicability";"scaled.aggregated.communicability"
"Acanthisitta_chloris";"birds";"1";1200496,16610803;0,0320351699270372
"Acanthisitta_chloris";"birds";"100";14657388,9841955;0,391131866263559
"Acanthisitta_chloris";"birds";"101";8493364,71500327;0,226645102407499
"Acanthisitta_chloris";"birds";"102";37474288,4422786;1
"Acanthisitta_chloris";"birds";"103";8715060,46953288;0,232561045569089
"Acanthisitta_chloris";"birds";"113";35812892,2817893;0,955665703769596
"Acanthisitta_chloris";"birds";"114";28471623,6441518;0,759764216678075
"Acanthisitta_chloris";"birds";"115";11753929,2771292;0,313653149382326
"Acanthisitta_chloris";"birds";"116";25418846,7558855;0,678300976237054
"Acanthisitta_chloris";"birds";"117";0,999999999999996;0
"Acanthisitta_chloris";"birds";"125";0,999999999999996;0
"Acanthisitta_chloris";"birds";"126";6763772,05956605;0,180490985185088
"Acanthisitta_chloris";"birds";"127";5362737,16423262;0,143104419863695
"Acanthisitta_chloris";"birds";"129";4404801,06846129;0,117541929923177
"Acanthisitta_chloris";"birds";"130";0,999999999999996;0
"Acanthisitta_chloris";"birds";"138";1394216,855877;0,0372045995010445
"Acanthisitta_chloris";"birds";"139";9550449,17327313;0,254853362801991
"Acanthisitta_chloris";"birds";"14";1532118,66018072;0,0408845041427575
"Acanthisitta_chloris";"birds";"140";0,999999999999996;0
"Acanthisitta_chloris";"birds";"15";5403455,29704298;0,144190981759584
"Acanthisitta_chloris";"birds";"150";0,999999999999996;0
"Acanthisitta_chloris";"birds";"151";4222784,39532362;0,112684821608095
"Acanthisitta_chloris";"birds";"152";0,999999999999996;0
"Acanthisitta_chloris";"birds";"16";4809189,7344397;0,128333026794633
"Acanthisitta_chloris";"birds";"163";0,999999999999996;0
"Acanthisitta_chloris";"birds";"17";0,999999999999996;0
"Acanthisitta_chloris";"birds";"18";1232450,82147774;0,0328878787455552
"Acanthisitta_chloris";"birds";"2";6072164,15895177;0,16203545346405
"Acanthisitta_chloris";"birds";"28";1491758,24656235;0,0398074879705209
"Acanthisitta_chloris";"birds";"29";3666917,7148944;0,0978515394199965
"Acanthisitta_chloris";"birds";"3";5828616,41532404;0,155536390766651
"Acanthisitta_chloris";"birds";"30";2161800,36971692;0,0576875377029312
"Acanthisitta_chloris";"birds";"31";3658471,81566342;0,097626160905622
"Acanthisitta_chloris";"birds";"32";0,999999999999996;0
"Acanthisitta_chloris";"birds";"33";8000508,54160365;0,213493253312069
"Acanthisitta_chloris";"birds";"4";8516126,8928131;0,227252510296038
"Acanthisitta_chloris";"birds";"43";1456667,88132308;0,0388711028479669
"Acanthisitta_chloris";"birds";"44";2890840,54013659;0,0771419481848543
