"cell_id";"bin.communicability";"weighted.communicability";"scaled.bin.communicability";"scaled.weighted.communicability"
1;3163,30870288969;781,842917361417;4,1130144880232e-11;3,16055603600816e-05
2;39201,1183911621;4517,66758014203;5,09702918789666e-10;0,00018262417196645
3;16197,5486735715;969,519378654893;2,10604650453503e-10;3,91922757908431e-05
4;0;0;0;0
5;13703,718838982;500,963458404948;1,78179240214657e-10;2,02511661501612e-05
6;0;0;0;0
7;0;0;0;0
8;169261,896315608;7727,94653523557;2,2007862564296e-09;0,000312397893816265
9;43695,3042808069;1515,07937760014;5,68137467586919e-10;6,12462320189064e-05
10;0;0;0;0
11;264602,20391946;2448,39599941681;3,44042520190784e-09;9,89750317187807e-05
12;290103,823338939;3375,66600678954;3,7720037482715e-09;0,000136459400429337
13;0;0;0;0
14;0;0;0;0
15;109765,303023828;1660,5395812837;1,42719640737829e-09;6,7126378970964e-05
16;566665,05925845;2050,63617523779;7,36792332805657e-09;8,28958144581936e-05
17;0;0;0;0
18;0;0;0;0
19;566217,293336355;1608,5514724884;7,36210136157212e-09;6,50247889021028e-05
20;2449236,08549282;2415,24337607519;3,18455909630913e-08;9,76348555595403e-05
21;215731,607284778;1196,21799426413;2,80499726592054e-09;4,83564398704579e-05
22;0;0;0;0
23;380115,300556772;1780,2358399887;4,94235588477695e-09;7,19650329324834e-05
24;6184644,06910699;2914,99207174825;8,04143163019992e-08;0,000117836915609239
25;17826261,0376318;5449,73243469695;2,31781583150849e-07;0,000220302369678547
26;22675035,7248284;10709,8176271425;2,94826585743805e-07;0,000432938356214137
27;0;0;0;0
28;0;0;0;0
29;60199242,5533381;12996,6598107335;7,8272587358837e-07;0,000525382665758295
30;1102489113,33384;28976,0561811642;1,4334844057071e-05;0,00117134077996329
31;3070515761,09307;46910,7789060994;3,99236274333348e-05;0,00189634186270922
32;2370977944,44104;86246,6829526035;3,08280586948758e-05;0,00348647366802871
33;829934811,653417;64013,0719035954;1,07910236561074e-05;0,00258769244173902
34;115944121,822293;40464,1168881589;1,50753498202875e-06;0,00163573917513013
35;15961710,5735955;20195,6965313653;2,07538223452107e-07;0,000816399677687297
36;2075052,16947719;8050,08463469515;2,69803564497742e-08;0,000325420145371747
37;95532707,6701565;6401,6963253571;1,24214058010999e-06;0,000258784974737396
38;3987983401,03226;134915,995278985;5,18527752016674e-05;0,00545390325555549
39;0;0;0;0
40;71920878942,8627;240467,629293188;0,000935133573315601;0,00972076871645857
41;54352267547,2295;721684,382417365;0,000706702016386998;0,0291736854078021
42;5567244444,79836;181095,750969314;7,23867292461999e-05;0,00732069391576916
43;1753684336,25518;68533,5508968611;2,28018500876879e-05;0,00277043026350034
44;204882606,214835;31814,191688207;2,66393579272164e-06;0,00128607081215525
45;0;0;0;0
46;44648794,1097887;69159,6712416431;5,80534985025551e-07;0,00279574082641554
47;15283443619,1388;533765,345577768;0,00019871922387777;0,0215771639969715
48;1721748655281,61;1354591,91409779;0,0223866142354007;0,054758616537426
49;2909788231257,97;2157115,19943983;0,0378338071820517;0,0872001691460348
50;2394880825627,41;1281961,53487329;0,0311388500398217;0,0518225742921338
51;6814056920667,25;2288155,4835922;0,0885981023961306;0,0924973989583316
52;696611437903,417;433773,887487908;0,00905751921714782;0,0175350655217215
53;29817343973,3087;186162,237962035;0,000387692695450681;0,0075255038039273
54;1069573498,86747;30067,2827620973;1,39068668600979e-05;0,00121545300097899
55;27080224,3987103;15894,9891388991;3,52103970090139e-07;0,000642545999326472
56;0;0;0;0
57;0;0;0;0
58;0;0;0;0
59;23312647,3623876;90483,7629441482;3,03116974540248e-07;0,00365775524448041
60;2211744928,72847;344779,704479487;2,87576704965973e-05;0,0139375257086588
61;547480495617,966;555280,656919998;0,00711848074874829;0,0224469083614631
62;7755180097827,19;3186656,79892954;0,100834825480214;0,128818809467931
63;6735187718834,95;2235475,4167982;0,0875726249601195;0,0903678368764113
64;15534774464676,4;1611809,7562654;0,201987091500172;0,0651565031918884
65;4214432814189,79;581294,970400305;0,0547971281074412;0,02349852235792
66;1104851798404,54;246372,114356644;0,0143655642897109;0,00995945420547988
67;9568210897,03684;147185,726924685;0,000124408313384096;0,00594990025894195
68;1069665511,89666;39973,882487865;1,39080632369226e-05;0,00161592172512193
69;10087368,6562616;17777,075602392;1,31158534705558e-07;0,000718628286450807
70;0;0;0;0
71;8717569,9958512;43889,7667436469;1,13348063881778e-07;0,00177421914454077
72;2080817203,72987;776342,945890351;2,70553148924439e-05;0,0313832271056036
73;198056895521,501;1977039,84112;0,00257518616500717;0,0799207240294272
74;7902993091588,44;2924650,86694769;0,102756727646458;0,118227366974728
75;19623337905608,3;3064871,46705916;0,255147633980244;0,123895705898237
76;19895743852304,5;2439905,39337347;0,258689525431944;0,0986318037431381
77;6543529246228,47;885539,278082113;0,08508063271838;0,0357974274411818
78;1779528205649,06;719539,143493799;0,0231378786553281;0,0290869653304311
79;588256976983,816;748325,516844692;0,0076486669378962;0,0302506382886257
80;25888145918,2885;209225,861588217;0,000336604262279907;0,00845783782199262
81;628993834,154615;120290,369942961;8,1783379231749e-06;0,00486267057428795
82;15030662,9442922;25708,5009478162;1,95432505205684e-07;0,00103925169676739
83;220027182,94449;118101,794336088;2,86084943395793e-06;0,00477419863585934
84;20060356661,7648;377825,900106076;0,000260829863077794;0,0152733995873556
85;967094887128,212;1252681,37184685;0,01257441386741;0,0506389401639275
86;14015943517511,6;970456,940602774;0,182238864952316;0,0392301762054623
87;6827185865746,05;1598599,1211994;0,0887688082816239;0,0646224706967389
88;2244754414785,8;452247,049009903;0,0291868682358884;0,018281832690113
89;1987619405604,65;813993,171869345;0,0258435334005183;0,03290521632278
90;1386541269254,13;454993,282755722;0,0180281624852951;0,0183928476452772
91;243289874628,568;954811,140544898;0,00316331687205409;0,038597703534635
92;12403166970,9231;309040,129984089;0,000161269133809722;0,0124927735034843
93;232365991,550792;78061,3782247241;3,02128176393037e-06;0,00315558732641456
94;0;0;0;0
95;0;0;0;0
96;1164087755,26401;129196,554676778;1,5135765277532e-05;0,00522269808484292
97;60106923270,524;690637,304734708;0,000781525514776119;0,027918624748028
98;3039014366275,41;2524252,0550303;0,0395140382801814;0,102041470118531
99;2651694565745,21;1544341,39803374;0,0344780076530607;0,0624291327429973
100;3311825982304,39;1594623,17891823;0,0430612043477966;0,0644617454654099
101;3207501277597,98;1360053,61267062;0,0417047479844823;0,0549794026315106
102;0;0;0;0
103;2047064798786,87;1216580,68132568;0,0266164575327136;0,049179590046441
104;290712754736,925;672950,179926465;0,00377992122929334;0,0272036326718577
105;1129669059,22294;193075,979719512;1,46882446313603e-05;0,00780498792737169
106;32348753,4124564;50633,6433141838;4,20606725272752e-07;0,00204683656330612
107;25705746,890506;35646,5065192578;3,34232663696483e-07;0,00144098998456444
108;3661872654,63055;359779,383089446;4,76126002752525e-05;0,0145438792832218
109;56116398007,5144;552415,100524751;0,000729639689638068;0,0223310698552823
110;2425200871377,35;1224100,14815162;0,0315330789917198;0,0494835602652222
111;2875398142677,48;1557866,52856782;0,0373866584973635;0,0629758785406257
112;0;0;0;0
113;3024575822986,52;1649070,27984202;0,0393263046654415;0,0666627389085505
114;2340954281672,57;928302,948193071;0,0304376833899381;0,0375261247624696
115;336170933535,881;610191,761667405;0,00437098004005201;0,0246666588982972
116;47920829961,1613;704100,950768245;0,000623078827963589;0,0284628850692902
117;176626349,922274;180969,281553544;2,29654075662403e-06;0,00731558146074137
118;58959957,3786965;42639,4583362967;7,66612372324845e-07;0,00172367613013247
119;9164623923,16867;378490,89796088;0,000119160772828915;0,0153002817517553
120;151926034275,255;634841,766868723;0,00197538096585771;0,0256631214996288
121;958094863983,935;1063934,17223347;0,0124573932758025;0,0430089407385834
122;3232624552644,96;2716392,00458636;0,0420314072010186;0,109808619552808
