"dist";"hwi";"disp.rate";"species"
0;13,925;1;"Acanthisitta_chloris"
10;13,925;0,487661942200256;"Acanthisitta_chloris"
20;13,925;0,237814169870526;"Acanthisitta_chloris"
30;13,925;0,115972919961802;"Acanthisitta_chloris"
40;13,925;0,0565555793912075;"Acanthisitta_chloris"
50;13,925;0,027580003688177;"Acanthisitta_chloris"
60;13,925;0,0134497181644666;"Acanthisitta_chloris"
70;13,925;0,00655891568212987;"Acanthisitta_chloris"
80;13,925;0,00319853356027517;"Acanthisitta_chloris"
90;13,925;0,00155980308819649;"Acanthisitta_chloris"
100;13,925;0,000760656603439858;"Acanthisitta_chloris"
110;13,925;0,000370943276580931;"Acanthisitta_chloris"
120;13,925;0,000180894918703584;"Acanthisitta_chloris"
130;13,925;8,82155673891471e-05;"Acanthisitta_chloris"
140;13,925;4,30193749252891e-05;"Acanthisitta_chloris"
150;13,925;2,09789119283075e-05;"Acanthisitta_chloris"
160;13,925;1,02306169362066e-05;"Acanthisitta_chloris"
170;13,925;4,98908252501732e-06;"Acanthisitta_chloris"
180;13,925;2,43298567394731e-06;"Acanthisitta_chloris"
190;13,925;1,18647451910254e-06;"Acanthisitta_chloris"
200;13,925;5,78598468356662e-07;"Acanthisitta_chloris"
210;13,925;2,82160452832903e-07;"Acanthisitta_chloris"
220;13,925;1,37598914440597e-07;"Acanthisitta_chloris"
230;13,925;6,71017538607487e-08;"Acanthisitta_chloris"
240;13,925;3,27229716127762e-08;"Acanthisitta_chloris"
250;13,925;1,59577478912503e-08;"Acanthisitta_chloris"
260;13,925;7,78198632978915e-09;"Acanthisitta_chloris"
270;13,925;3,79497856776083e-09;"Acanthisitta_chloris"
280;13,925;1,85066661896259e-09;"Acanthisitta_chloris"
290;13,925;9,02499677768479e-10;"Acanthisitta_chloris"
300;13,925;4,40114745695682e-10;"Acanthisitta_chloris"
0;23,59;1;"Acridotheres_tristis"
10;23,59;0,654483806465978;"Acridotheres_tristis"
20;23,59;0,428349052926196;"Acridotheres_tristis"
30;23,59;0,280347518655234;"Acridotheres_tristis"
40;23,59;0,183482911142769;"Acridotheres_tristis"
50;23,59;0,120086594106179;"Acridotheres_tristis"
60;23,59;0,0785947312161467;"Acridotheres_tristis"
70;23,59;0,0514389788545141;"Acridotheres_tristis"
80;23,59;0,0336659786814254;"Acridotheres_tristis"
90;23,59;0,0220338378758218;"Acridotheres_tristis"
100;23,59;0,0144207900840221;"Acridotheres_tristis"
110;23,59;0,0094381735864376;"Acridotheres_tristis"
120;23,59;0,00617713177493834;"Acridotheres_tristis"
130;23,59;0,00404283271710359;"Acridotheres_tristis"
140;23,59;0,00264596854559515;"Acridotheres_tristis"
150;23,59;0,00173174356551036;"Acridotheres_tristis"
160;23,59;0,00113339812057819;"Acridotheres_tristis"
170;23,59;0,000741790716197398;"Acridotheres_tristis"
180;23,59;0,000485490011537998;"Acridotheres_tristis"
190;23,59;0,0003177453507526;"Acridotheres_tristis"
200;23,59;0,000207959186647429;"Acridotheres_tristis"
210;23,59;0,000136105920066579;"Acridotheres_tristis"
220;23,59;8,90791206477284e-05;"Acridotheres_tristis"
230;23,59;5,83008419581674e-05;"Acridotheres_tristis"
240;23,59;3,81569569649529e-05;"Acridotheres_tristis"
250;23,59;2,49731104375809e-05;"Acridotheres_tristis"
