"x";"y";"direct.effect";"net.effect";"diag"
1;1;-0,285200413778033;3,50630627337829;TRUE
2;1;0;-1,0557283129306e-15;FALSE
3;1;0;1,93872695675168e-14;FALSE
4;1;0;1,13190706807487e-15;FALSE
5;1;-0,565301031937927;-23,9540817359639;FALSE
6;1;0;9,64672609913945e-15;FALSE
7;1;0;-15,9558851326436;FALSE
8;1;0;-1,93638508005911e-14;FALSE
9;1;0;-6,85679600235861;FALSE
10;1;0;4,29644967754918;FALSE
11;1;0;-7,81012317941771;FALSE
12;1;0;-24,8500000771777;FALSE
13;1;-1,20387277678208;-3,95974000130271;FALSE
14;1;0;6,48116068734279e-15;FALSE
15;1;0;-5,06443079753362;FALSE
16;1;0;9,24171620325995;FALSE
17;1;0;-4,9439619065339e-16;FALSE
18;1;0;-9,43819675192081e-15;FALSE
19;1;0;6,38308778939542;FALSE
20;1;0;4,17358967617085e-16;FALSE
21;1;0;3,83914762567722;FALSE
22;1;0;-9,79771819231701e-15;FALSE
23;1;0;9,6337868238372e-15;FALSE
24;1;0;17,4799437887316;FALSE
25;1;0;4,13905021368066e-15;FALSE
26;1;0;-7,17201202013734;FALSE
27;1;0;2,06903917006113;FALSE
28;1;0;-2,44249065417534e-15;FALSE
29;1;0;-2,59904944788225e-15;FALSE
30;1;0;3,99883576772397e-15;FALSE
31;1;0;6,77572147694816e-16;FALSE
32;1;0;3,18774412248757e-15;FALSE
33;1;0;-1,24451159299273;FALSE
34;1;0;-2,21090507013244e-15;FALSE
35;1;0;-2,16493489801906e-15;FALSE
36;1;0;3,88597032156823e-15;FALSE
37;1;0;5,71022969011802;FALSE
38;1;0;7,72640307190835;FALSE
39;1;0;-8,14213469866806e-15;FALSE
40;1;0;-1,08680425769947e-15;FALSE
41;1;0;4,20648758880926e-15;FALSE
42;1;0;-1,11056996932035e-14;FALSE
43;1;0;5,7463257242818e-15;FALSE
44;1;0;-17,2109157757867;FALSE
45;1;0;-3,59033549418575e-15;FALSE
46;1;0;1,03528297046296e-14;FALSE
